exposure	group	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	lower_ci	upper_ci
14122_132_ZNRF3_ZNRF3	Male	BMI	14122_132	ZNRF3	ZNRF3	3	IVW-MRE	0.0678411965475178	0.0163476146028817	3.3260004990413e-05	0.0357998719258697	0.0998825211691659
14203_3_ANXA7_ANXA7	Male	BMI	14203_3	ANXA7	ANXA7	3	IVW-MRE	0.0189705695340171	0.00404285711065527	2.70062022364614e-06	0.0110465695971328	0.0268945694709014
14254_27_PTPN4_PTN4	Male	BMI	14254_27	PTN4	PTPN4	6	IVW-MRE	-0.0394599417006435	0.00677215732215433	5.65034825172392e-09	-0.052733370052066	-0.026186513349221
14603_51_KIAA0040_KIAA0040	Male	BMI	14603_51	KIAA0040	KIAA0040	5	IVW-MRE	0.0525065735755949	0.0106797091886139	8.81143240057714e-07	0.0315743435659117	0.0734388035852781
15322_35_CRADD_CRADD	Male	BMI	15322_35	CRADD	CRADD	3	IVW-MRE	-0.06908823493612	0.0127589664853577	6.13308305258521e-08	-0.0940958092474211	-0.0440806606248189
15525_294_ADH1C_ADH1G	Male	BMI	15525_294	ADH1G	ADH1C	3	IVW-MRE	-0.0750419954407074	0.0100222386822829	7.0172085169689e-14	-0.0946855832579819	-0.0553984076234329
16922_53_PLXNB3_PLXB3	Male	BMI	16922_53	PLXB3	PLXNB3	3	IVW-MRE	-0.0514024194181128	0.0123950436481381	3.36839487590043e-05	-0.0756967049684635	-0.0271081338677621
18244_1_ANXA7_ANXA7	Male	BMI	18244_1	ANXA7	ANXA7	3	IVW-MRE	0.01897688690786	0.00378056111561719	5.1780444919298e-07	0.0115669871212503	0.0263867866944697
18271_43_OXSM_OXSM	Male	BMI	18271_43	OXSM	OXSM	8	IVW-MRE	0.0482125331870391	0.00818591148889069	3.86905815006971e-09	0.0321681466688133	0.0642569197052649
18842_24_UBE2D2_UB2D2	Male	BMI	18842_24	UB2D2	UBE2D2	4	IVW-MRE	0.0290096766403275	0.00312033633553386	1.44503525008042e-20	0.0228938174226811	0.0351255358579739
2855_49_MAPK3_ERK_1	Male	BMI	2855_49	ERK_1	MAPK3	4	IVW-MRE	-0.106791561703817	0.0149933468269684	1.05912441940475e-12	-0.136178521484675	-0.0774046019229589
3168_8_ADAMTS5_ADAMTS_5	Male	BMI	3168_8	ADAMTS_5	ADAMTS5	7	IVW-MRE	-0.0209425127282004	0.0040832919500749	2.91547530158348e-07	-0.0289457649503472	-0.0129392605060536
3434_34_FN1_FN1_3	Male	BMI	3434_34	FN1_3	FN1	3	IVW-MRE	0.0769809863882584	0.0173373566599077	8.9883615661532e-06	0.0429997673348393	0.110962205441677
3435_53_FN1_FN1_4	Male	BMI	3435_53	FN1_4	FN1	4	IVW-MRE	0.0711037288105718	0.0136342824511115	1.83748456126659e-07	0.0443805352063933	0.0978269224147503
3805_16_ESM1_Endocan	Male	BMI	3805_16	Endocan	ESM1	7	IVW-MRE	-0.0370490766647361	0.00606698134892806	1.01728786486888e-09	-0.0489403601086351	-0.0251577932208371
4480_59_C3_C3b	Male	BMI	4480_59	C3b	C3	3	IVW-MRE	-0.0222098631950779	0.00368670673485787	1.69832879808746e-09	-0.0294358083953993	-0.0149839179947565
4557_61_KIRREL3_KIRR3	Male	BMI	4557_61	KIRR3	KIRREL3	3	IVW-MRE	-0.0338340811578902	0.00622416584475154	5.45137454340516e-08	-0.0460334462136032	-0.0216347161021772
4876_32_F9_Coagulation_Factor_IX	Male	BMI	4876_32	Coagulation_Factor_IX	F9	3	IVW-MRE	-0.190729825242959	0.0153107739443141	1.27731301839347e-35	-0.220738942173815	-0.160720708312103
5452_71_ASGR1_ASGR1	Male	BMI	5452_71	ASGR1	ASGR1	4	IVW-MRE	0.0302526020162036	0.00597186070889506	4.06563600964047e-07	0.0185477550267693	0.0419574490056379
5481_16_RASA1_RASA1	Male	BMI	5481_16	RASA1	RASA1	3	IVW-MRE	0.0299558197751487	0.00351462092851447	1.55203420879628e-17	0.0230671627552603	0.0368444767950371
6467_65_POGLUT1_KTEL1	Male	BMI	6467_65	KTEL1	POGLUT1	3	IVW-MRE	-0.0306502154404727	0.00382343166703935	1.08876099945192e-15	-0.0381441415078698	-0.0231562893730756
6521_35_NPTX2_NPTX2	Male	BMI	6521_35	NPTX2	NPTX2	6	IVW-MRE	0.0251209262623538	0.00596731102277135	2.55646081414323e-05	0.013424996657722	0.0368168558669856
7251_64_C1QTNF3_C1QT3	Male	BMI	7251_64	C1QT3	C1QTNF3	8	IVW-MRE	-0.0742253246184306	0.0161447331416787	4.27601557040794e-06	-0.105869001576121	-0.0425816476607403
7766_25_ZP4_ZP4	Male	BMI	7766_25	ZP4	ZP4	4	IVW-MRE	0.0335938200658967	0.00765602054934707	1.14452606672749e-05	0.0185880197891764	0.048599620342617
8087_250_RNF13_RNF13	Male	BMI	8087_250	RNF13	RNF13	3	IVW-MRE	0.043161154922593	0.00616789751107305	2.60180873307091e-12	0.0310720758008898	0.0552502340442962
8220_15_C10orf35_CJ035	Male	BMI	8220_15	CJ035	C10orf35	7	IVW-MRE	-0.0232271170867701	0.00508700075684702	4.97178578272174e-06	-0.0331976385701903	-0.0132565956033499
8888_33_SMIM9_CX068	Male	BMI	8888_33	CX068	SMIM9	4	IVW-MRE	0.0307619234688351	0.00316378470565479	2.402546342512e-22	0.0245609054457517	0.0369629414919185
9095_5_MTFR1_MTFR1	Male	BMI	9095_5	MTFR1	MTFR1	3	IVW-MRE	0.0273743069783261	0.00269947724424701	3.6486822969249e-24	0.022083331579602	0.0326652823770502
9348_1_C1RL_C1RL1	Male	BMI	9348_1	C1RL1	C1RL	7	IVW-MRE	-0.030269379523783	0.00543564534479187	2.56673670537898e-08	-0.0409232443995751	-0.0196155146479909
10339_48_ENO2_NSE	Male	WHR	10339_48	NSE	ENO2	3	IVW-MRE	0.0433711488357124	0.00826756216416237	1.55486096470912e-07	0.0271667269939542	0.0595755706774706
12382_2_DDX58_DDX58	Male	WHR	12382_2	DDX58	DDX58	3	IVW-MRE	0.0459552011612527	0.0111379452485913	3.69121639451634e-05	0.0241248284740138	0.0677855738484917
12442_4_RHOD_RHOD	Male	WHR	12442_4	RHOD	RHOD	3	IVW-MRE	0.00502232708785867	0.000216521746812349	5.05687092183788e-119	0.00459794446410647	0.00544670971161087
12580_7_PSMB5_PSB5	Male	WHR	12580_7	PSB5	PSMB5	3	IVW-MRE	0.06296078134476	0.00510193175349542	5.47620619550801e-35	0.052960995107909	0.072960567581611
12620_3_SEPT11_Septin_11	Male	WHR	12620_3	Septin_11	SEPT11	4	IVW-MRE	0.0382850266301009	0.00498873502219483	1.66330272196059e-14	0.028507105986599	0.0480629472736028
12635_9_TRDMT1_TRDMT	Male	WHR	12635_9	TRDMT	TRDMT1	5	IVW-MRE	0.0194485188022726	0.00313876100510055	5.78276584824175e-10	0.0132965472322755	0.0256004903722697
12746_4_CYTH4_CYH4	Male	WHR	12746_4	CYH4	CYTH4	3	IVW-MRE	0.0606999885141723	0.0107827882525759	1.80899782960911e-08	0.0395657235391235	0.0818342534892211
13073_14_ANP32A_AN32A	Male	WHR	13073_14	AN32A	ANP32A	3	IVW-MRE	0.0452994406168329	0.0107882985849722	2.68164926971006e-05	0.0241543753902874	0.0664445058433784
13094_75_RSPO3_RSPO3	Male	WHR	13094_75	RSPO3	RSPO3	4	IVW-MRE	0.0676991324316557	0.0153248930576204	9.9806368106499e-06	0.0376623420387197	0.0977359228245917
13566_2_SSU72_SSU72	Male	WHR	13566_2	SSU72	SSU72	7	IVW-MRE	-0.0349326574279666	0.00645895604323573	6.35881020692129e-08	-0.0475922112727086	-0.0222731035832246
13650_11_KCNIP1_KCIP1	Male	WHR	13650_11	KCIP1	KCNIP1	6	IVW-MRE	0.0523887630692364	0.0113688175634894	4.06345486428995e-06	0.0301058806447972	0.0746716454936756
13946_8_DDX23_DDX23	Male	WHR	13946_8	DDX23	DDX23	5	IVW-MRE	0.0449468369459802	0.00893792075090364	4.93610374884752e-07	0.0274285122742091	0.0624651616177513
14088_38_IGFBP6_IGFBP_6	Male	WHR	14088_38	IGFBP_6	IGFBP6	3	IVW-MRE	-0.0722876538263608	0.0175038587031876	3.63059264552508e-05	-0.106595216884608	-0.0379800907681131
15331_47_RBBP4_RBBP4	Male	WHR	15331_47	RBBP4	RBBP4	3	IVW-MRE	0.0236543802847678	0.00404746943103297	5.08888026987598e-09	0.0157213401999432	0.0315874203695924
15437_11_RAMP3_RAMP3	Male	WHR	15437_11	RAMP3	RAMP3	3	IVW-MRE	0.0799877768214372	0.0172373005617766	3.47754234024719e-06	0.0462026677203551	0.113772885922519
17224_12_OGN_MIME	Male	WHR	17224_12	MIME	OGN	6	IVW-MRE	-0.0250409664459583	0.00605378289678763	3.52771897691253e-05	-0.0369063809236621	-0.0131755519682545
17467_1_DHRS9_DHRS9	Male	WHR	17467_1	DHRS9	DHRS9	5	IVW-MRE	0.0317088044229693	0.00200653553357045	2.97776557234073e-56	0.0277759947771712	0.0356416140687674
17680_12_EPHB1_EPHB1	Male	WHR	17680_12	EPHB1	EPHB1	3	IVW-MRE	-0.0154995517505706	0.00215523199065403	6.40395913091994e-13	-0.0197238064522525	-0.0112752970488887
17725_37_USH1C_USH1C	Male	WHR	17725_37	USH1C	USH1C	3	IVW-MRE	0.0589477904100407	0.0112113899361205	1.45750465323532e-07	0.0369734661352445	0.0809221146848369
17735_130_GABARAP_GBRAP	Male	WHR	17735_130	GBRAP	GABARAP	3	IVW-MRE	-0.11095443540392	0.0207567899106554	9.01914274736205e-08	-0.151637743628805	-0.0702711271790354
17758_79_DCXR_DCXR	Male	WHR	17758_79	DCXR	DCXR	3	IVW-MRE	0.0904012078250652	0.0103267799651223	2.05819294044846e-18	0.0701607190934255	0.110641696556705
17837_5_CLIC2_CLIC2	Male	WHR	17837_5	CLIC2	CLIC2	4	IVW-MRE	-0.0724867899158357	0.00631866678687892	1.82713406392176e-30	-0.0848713768181184	-0.060102203013553
18205_123_MAGEA6_MAGE_6	Male	WHR	18205_123	MAGE_6	MAGEA6	3	IVW-MRE	0.055161784593684	0.00562672119421861	1.08707953215318e-22	0.0441334110530155	0.0661901581343525
18220_141_SRA1_SRA1	Male	WHR	18220_141	SRA1	SRA1	3	IVW-MRE	0.0255465950438901	0.00445886630367077	1.00790953545948e-08	0.0168072170886954	0.0342859729990848
18299_13_CAPNS1_CPNS1	Male	WHR	18299_13	CPNS1	CAPNS1	3	IVW-MRE	-0.0154960357843148	0.00286403174515519	6.28254952399566e-08	-0.021109538004819	-0.00988253356381063
18322_15_JMJD6_JMJD6	Male	WHR	18322_15	JMJD6	JMJD6	3	IVW-MRE	0.0447680235065985	0.00907081084718723	7.99892020816548e-07	0.0269892342461115	0.0625468127670855
18386_36_GLRX_GLRX1	Male	WHR	18386_36	GLRX1	GLRX	3	IVW-MRE	0.0548072597339174	0.0125339171179019	1.22710318066668e-05	0.0302407821828297	0.0793737372850051
18896_23_HS6ST3_H6ST3	Male	WHR	18896_23	H6ST3	HS6ST3	3	IVW-MRE	0.0596743813698411	0.013896732877899	1.7537947692838e-05	0.0324367849291591	0.0869119778105231
19265_9_TCP1_TCPA	Male	WHR	19265_9	TCPA	TCP1	3	IVW-MRE	-0.0862815455640918	0.00749983680321356	1.25276165280583e-30	-0.10098122569839	-0.0715818654297932
2855_49_MAPK3_ERK_1	Male	WHR	2855_49	ERK_1	MAPK3	4	IVW-MRE	-0.0671209213340243	0.0157046607286963	1.92040852780294e-05	-0.097902056362269	-0.0363397863057795
3196_6_HAPLN1_HPLN1	Male	WHR	3196_6	HPLN1	HAPLN1	6	IVW-MRE	-0.0290117063286454	0.00664233430546636	1.25563289709011e-05	-0.0420306815673595	-0.0159927310899313
3342_76_ABL2_ABL2	Male	WHR	3342_76	ABL2	ABL2	3	IVW-MRE	0.122415215681575	0.0254124417337299	1.45632634070456e-06	0.0726068298834644	0.172223601479686
3796_79_ANGPTL4_ANGL4	Male	WHR	3796_79	ANGL4	ANGPTL4	5	IVW-MRE	0.0269445675447041	0.004974754488907	6.08583263927152e-08	0.0171940487464464	0.0366950863429618
4468_21_SPHK2_SPHK2	Male	WHR	4468_21	SPHK2	SPHK2	3	IVW-MRE	0.0779836608110434	0.00141040393843561	0	0.0752192690917096	0.0807480525303772
4876_32_F9_Coagulation_Factor_IX	Male	WHR	4876_32	Coagulation_Factor_IX	F9	3	IVW-MRE	-0.0703744343089705	0.00696023571850017	4.94145472408272e-24	-0.0840164963172308	-0.0567323723007102
5481_16_RASA1_RASA1	Male	WHR	5481_16	RASA1	RASA1	3	IVW-MRE	0.023637518235028	0.00182137488641287	1.6341714380194e-38	0.0200676234576588	0.0272074130123972
5664_57_DEFB106A_D106A	Male	WHR	5664_57	D106A	DEFB106A	3	IVW-MRE	0.0569236805487789	0.00835243506237267	9.41197717440728e-12	0.0405529078265285	0.0732944532710293
5716_49_CSAG1_CSAG1	Male	WHR	5716_49	CSAG1	CSAG1	6	IVW-MRE	0.0288539204390917	0.00662492477961283	1.32849496605256e-05	0.0158690678710506	0.0418387730071328
6385_63_VWA1_VWA1	Male	WHR	6385_63	VWA1	VWA1	6	IVW-MRE	0.0276109948781326	0.00468506724912209	3.78319533087325e-09	0.0184282630698533	0.0367937266864119
6411_58_DEFB135_DB135	Male	WHR	6411_58	DB135	DEFB135	3	IVW-MRE	0.042427670838946	0.00779012270280063	5.14162932824297e-08	0.0271590303414568	0.0576963113364352
6467_65_POGLUT1_KTEL1	Male	WHR	6467_65	KTEL1	POGLUT1	3	IVW-MRE	-0.0249210771216154	0.00420068047461566	2.98122713988322e-09	-0.0331544108518621	-0.0166877433913687
7069_9_TSNARE1_TSNA1	Male	WHR	7069_9	TSNA1	TSNARE1	4	IVW-MRE	0.063173241938377	0.0105158772766186	1.88504237240467e-09	0.0425621224762046	0.0837843614005495
7194_36_NPTN_NPTN	Male	WHR	7194_36	NPTN	NPTN	4	IVW-MRE	-0.101137152973205	0.0172738337421483	4.77200069004559e-09	-0.134993867107816	-0.0672804388385943
7789_182_PRDX4_PRDX4	Male	WHR	7789_182	PRDX4	PRDX4	3	IVW-MRE	0.0755513815762913	0.00843514761711373	3.34434314558218e-19	0.0590184922467484	0.0920842709058342
8013_9_LMAN2L_LMA2L	Male	WHR	8013_9	LMA2L	LMAN2L	3	IVW-MRE	-0.0356520019598548	0.00239415205075495	3.75479563720574e-50	-0.0403445399793345	-0.0309594639403751
8427_118_RSPO3_RSPO3	Male	WHR	8427_118	RSPO3	RSPO3	4	IVW-MRE	0.0642657887578097	0.0133932993970229	1.59975032116843e-06	0.0380149219396448	0.0905166555759746
8877_22_EVA1C_F176C	Male	WHR	8877_22	F176C	EVA1C	3	IVW-MRE	0.0588352855310899	0.0107623747214997	4.5834414075804e-08	0.0377410310769505	0.0799295399852293
9028_5_MTPAP_PAPD1	Male	WHR	9028_5	PAPD1	MTPAP	3	IVW-MRE	0.0591058025038719	0.0103722450758379	1.20895937030339e-08	0.0387762021552296	0.0794354028525142
9095_5_MTFR1_MTFR1	Male	WHR	9095_5	MTFR1	MTFR1	3	IVW-MRE	0.0286468247050469	0.00469522982921587	1.0523461590722e-09	0.0194441742397838	0.03784947517031
9265_10_GLIPR1_GLIP1	Male	WHR	9265_10	GLIP1	GLIPR1	3	IVW-MRE	-0.056697773128183	0.0134154915794945	2.37574580573053e-05	-0.0829921366239922	-0.0304034096323738
9525_1_PTK7_PTK7	Male	WHR	9525_1	PTK7	PTK7	7	IVW-MRE	0.105534249124077	0.0248408391865475	2.15286162612547e-05	0.0568462043184439	0.15422229392971
10003_15_ZNF41_ZNF41	Female	BMI	10003_15	ZNF41	ZNF41	3	IVW-MRE	-0.0504123174054579	0.0122083842402373	3.638387305133e-05	-0.074340750516323	-0.0264838842945928
10430_31_SLC3A2_4F2	Female	BMI	10430_31	4F2	SLC3A2	3	IVW-MRE	-0.0544383503718004	0.00695671767048805	5.06478070197026e-15	-0.068073517005957	-0.0408031837376438
10507_166_ACRV1_sperm_protein_10	Female	BMI	10507_166	sperm_protein_10	ACRV1	3	IVW-MRE	-0.0621869141991782	0.00865720739033167	6.80717755633731e-13	-0.0791550406842283	-0.0452187877141281
10530_8_PSMB6_PSB6	Female	BMI	10530_8	PSB6	PSMB6	3	IVW-MRE	-0.0680385745836888	0.010859290274387	3.71698793740098e-10	-0.0893227835214873	-0.0467543656458903
10961_15_RARRES3_TIG3	Female	BMI	10961_15	TIG3	RARRES3	4	IVW-MRE	0.0241417858419774	0.00495532102419148	1.10534930290041e-06	0.0144293566345621	0.0338542150493927
11158_40_CCDC64_BICR1	Female	BMI	11158_40	BICR1	CCDC64	3	IVW-MRE	-0.0723867669789634	0.00514058669707989	4.94060386325034e-45	-0.08246231690524	-0.0623112170526868
11692_21_SHC4_SHC4	Female	BMI	11692_21	SHC4	SHC4	3	IVW-MRE	-0.0847009317489103	0.00941563162195903	2.34564931972006e-19	-0.10315556972795	-0.0662462937698706
11989_35_EMC1_EMC1	Female	BMI	11989_35	EMC1	EMC1	3	IVW-MRE	-0.0791784745979113	0.0060108588785234	1.26222297197368e-39	-0.0909597579998172	-0.0673971911960054
12633_3_PTPN9_PTN9	Female	BMI	12633_3	PTN9	PTPN9	3	IVW-MRE	-0.0662640042817072	0.0141198384450587	2.69264559994214e-06	-0.0939388876340223	-0.0385891209293922
12635_9_TRDMT1_TRDMT	Female	BMI	12635_9	TRDMT	TRDMT1	5	IVW-MRE	0.020173716481642	0.00338690175029748	2.57866457113591e-09	0.0135353890510589	0.0268120439122251
12768_3_PPP1R3B_PPR3B	Female	BMI	12768_3	PPR3B	PPP1R3B	3	IVW-MRE	0.0416325095960758	0.00710355967698684	4.60655386025529e-09	0.0277095326291816	0.05555548656297
12790_10_CCDC51_CCD51	Female	BMI	12790_10	CCD51	CCDC51	3	IVW-MRE	-0.0813561866971377	0.0177130288089954	4.36890048770335e-06	-0.116073723162769	-0.0466386502315067
12855_16_CASS4_CT032	Female	BMI	12855_16	CT032	CASS4	4	IVW-MRE	-0.0641825481944363	0.0145388142505242	1.01213055966346e-05	-0.0926786241254637	-0.0356864722634089
12976_49_SORBS3_Vinexin_b	Female	BMI	12976_49	Vinexin_b	SORBS3	3	IVW-MRE	-0.0787061177854321	0.00877925320088483	3.1024467851631e-19	-0.0959134540591664	-0.0614987815116978
13451_2_FNDC4_FNDC4	Female	BMI	13451_2	FNDC4	FNDC4	3	IVW-MRE	-0.059907924708691	0.00961293906322996	4.60490417282996e-10	-0.0787492852726217	-0.0410665641447603
13657_2_PNKP_PNKP	Female	BMI	13657_2	PNKP	PNKP	3	IVW-MRE	0.0422812449692642	0.00328561208339423	6.76120206246903e-38	0.0358414452858115	0.0487210446527169
14093_10_FLT3LG_Flt3_ligand	Female	BMI	14093_10	Flt3_ligand	FLT3LG	3	IVW-MRE	-0.0611183047311269	0.0115755013658306	1.29204748346097e-07	-0.0838062874081549	-0.0384303220540989
14128_121_IFNA10_IFN10	Female	BMI	14128_121	IFN10	IFNA10	3	IVW-MRE	-0.0664310341414995	0.0105347210870549	2.86500033000687e-10	-0.0870790874721271	-0.0457829808108719
14143_8_HIST2H2BE_H2B2E	Female	BMI	14143_8	H2B2E	HIST2H2BE	4	IVW-MRE	-0.0454973131188702	0.00889847283679009	3.17191484248204e-07	-0.0629383198789788	-0.0280563063587616
14153_8_EFNA3_Ephrin_A3	Female	BMI	14153_8	Ephrin_A3	EFNA3	5	IVW-MRE	-0.0687514769952266	0.0152894444035021	6.90283063506287e-06	-0.0987187880260907	-0.0387841659643625
14203_3_ANXA7_ANXA7	Female	BMI	14203_3	ANXA7	ANXA7	3	IVW-MRE	0.042571000970832	0.00863750260344457	8.28108509572795e-07	0.0256414958680806	0.0595005060735834
14318_1_VPS29_VPS29	Female	BMI	14318_1	VPS29	VPS29	10	IVW-MRE	0.0194624046606601	0.00456760578521922	2.03546853673827e-05	0.0105098973216304	0.0284149119996898
15336_7_SELM_SELM	Female	BMI	15336_7	SELM	SELM	7	IVW-MRE	-0.105332496789565	0.0207497475827608	3.84801523574996e-07	-0.146002002051776	-0.0646629915273538
15455_40_ADAM15_ADA15	Female	BMI	15455_40	ADA15	ADAM15	5	IVW-MRE	-0.0352069079597515	0.00506248965972131	3.5390208507491e-12	-0.0451293876928053	-0.0252844282266977
15558_63_ENPEP_AMPE	Female	BMI	15558_63	AMPE	ENPEP	7	IVW-MRE	0.0108100035958268	0.00171777901808114	3.11364700366371e-10	0.00744315672038777	0.0141768504712658
15634_139_SLIT1_SLIT1	Female	BMI	15634_139	SLIT1	SLIT1	3	IVW-MRE	-0.0850746132930943	0.00528951303872829	3.32279292882204e-58	-0.0954420588490018	-0.0747071677371869
15641_20_TMEFF1_TEFF1	Female	BMI	15641_20	TEFF1	TMEFF1	4	IVW-MRE	-0.123727255848435	0.0155566945631879	1.81589287311624e-15	-0.154218377192283	-0.0932361345045867
16599_38_GPN1_GPN1	Female	BMI	16599_38	GPN1	GPN1	6	IVW-MRE	0.0364615352155906	0.00834482719456445	1.24612491405278e-05	0.0201056739142443	0.0528173965169369
16845_15_MPZL1_MPZL1	Female	BMI	16845_15	MPZL1	MPZL1	3	IVW-MRE	-0.0958362661493703	0.0103609098501753	2.24928915927682e-20	-0.116143649455714	-0.0755288828430267
17319_1_SELH_SELH	Female	BMI	17319_1	SELH	SELH	3	IVW-MRE	-0.0657907729861732	0.0116889249041243	1.81814229552953e-08	-0.0887010657982568	-0.0428804801740896
17403_14_ACADSB_acyl_Coenzyme_A_dehydrogenase	Female	BMI	17403_14	acyl_Coenzyme_A_dehydrogenase	ACADSB	4	IVW-MRE	-0.0407676570688586	0.00810176270677162	4.85518340063713e-07	-0.056647111974131	-0.0248882021635862
17698_15_WBP2_WBP2	Female	BMI	17698_15	WBP2	WBP2	3	IVW-MRE	-0.0976733827980396	0.0206303486114668	2.19648396711525e-06	-0.138108866076515	-0.0572378995195647
17722_5_FKBP4_FKBP52_protein	Female	BMI	17722_5	FKBP52_protein	FKBP4	3	IVW-MRE	0.028728545756404	0.0065125318600607	1.02765396064933e-05	0.015963983310685	0.041493108202123
18244_1_ANXA7_ANXA7	Female	BMI	18244_1	ANXA7	ANXA7	3	IVW-MRE	0.0421081883865111	0.00908709837238384	3.58939025375205e-06	0.0242974755766388	0.0599189011963834
18271_43_OXSM_OXSM	Female	BMI	18271_43	OXSM	OXSM	8	IVW-MRE	0.0541527340224793	0.00950786981455775	1.22960730153075e-08	0.0355173091859461	0.0727881588590125
18311_44_DCTN6_DCTN6	Female	BMI	18311_44	DCTN6	DCTN6	4	IVW-MRE	0.0552682880070458	0.0108709226500111	3.69475315808271e-07	0.033961279613024	0.0765752964010676
18338_26_IDH1_IDH	Female	BMI	18338_26	IDH	IDH1	3	IVW-MRE	0.0202156154850401	0.00131888928130934	4.98912900539573e-53	0.0176305924936738	0.0228006384764064
18823_52_HIST3H2BB_H2B3B	Female	BMI	18823_52	H2B3B	HIST3H2BB	4	IVW-MRE	-0.04460974476463	0.00918943956444301	1.20716691801869e-06	-0.0626210463109383	-0.0265984432183217
18888_37_FABP12_FBP12	Female	BMI	18888_37	FBP12	FABP12	3	IVW-MRE	-0.0518363989057298	0.0115290602045819	6.91945112463664e-06	-0.0744333569067103	-0.0292394409047493
19110_6_MEMO1_MEMO1	Female	BMI	19110_6	MEMO1	MEMO1	4	IVW-MRE	0.0462350541255326	0.0103141588468744	7.37120730914166e-06	0.0260193027856588	0.0664508054654064
19578_19_DOK2_DOK2	Female	BMI	19578_19	DOK2	DOK2	4	IVW-MRE	0.0764844433639873	0.0156005012059383	9.45324237609456e-07	0.0459074610003482	0.107061425727626
2806_49_ACVR1B_Activin_RIB	Female	BMI	2806_49	Activin_RIB	ACVR1B	3	IVW-MRE	-0.0615659446409643	0.0105522463349141	5.39869695406853e-09	-0.0822483474573959	-0.0408835418245327
2855_49_MAPK3_ERK_1	Female	BMI	2855_49	ERK_1	MAPK3	4	IVW-MRE	-0.0853427360114483	0.015530762172798	3.90539688725444e-08	-0.115783029870132	-0.0549024421527642
2879_9_SERPINA3_a1_Antichymotrypsin	Female	BMI	2879_9	a1_Antichymotrypsin	SERPINA3	3	IVW-MRE	-0.0175500005699684	0.0019014699876163	2.71386901594706e-20	-0.0212768817456963	-0.0138231193942405
3189_61_TMPRSS15_Enterokinase	Female	BMI	3189_61	Enterokinase	TMPRSS15	3	IVW-MRE	-0.0599624116830643	0.00338276466940304	2.64834026427195e-70	-0.0665926304350943	-0.0533321929310343
3881_49_DYNLL1_DLC8	Female	BMI	3881_49	DLC8	DYNLL1	3	IVW-MRE	-0.0834118634107538	0.00996795828152432	5.86049668044447e-17	-0.102949061642541	-0.0638746651789661
4133_54_GZMB_Granzyme_B	Female	BMI	4133_54	Granzyme_B	GZMB	3	IVW-MRE	0.0206067530516093	0.00106826282695646	6.5216843687822e-83	0.0185129579107746	0.022700548192444
4203_50_CFL1_Cofilin_1	Female	BMI	4203_50	Cofilin_1	CFL1	3	IVW-MRE	-0.0737983230347269	0.0157796643371666	2.91387197692254e-06	-0.104726465135573	-0.0428701809338804
4553_65_HDGFRP2_HDGR2	Female	BMI	4553_65	HDGR2	HDGFRP2	4	IVW-MRE	-0.0584104069104729	0.00722187861520502	6.06625628811484e-16	-0.0725652889962747	-0.0442555248246711
4876_32_F9_Coagulation_Factor_IX	Female	BMI	4876_32	Coagulation_Factor_IX	F9	3	IVW-MRE	-0.0691912350562986	0.0163847382974707	2.41170763594466e-05	-0.101305322119341	-0.037077147993256
