ID_adiposity_cancer	b	se	p	exposure	adiposity	cancer	group	method	protein	ID1	order	x_axis	ID
NA	0.168237487047384	0.0494742770550997	0.000775117342557028	WHR	WHR	overall	Sex-combined	MVMR	5HT6R	WHR	2	5HT6R	WHR_13561_5_overall_Sex-combined
NA	0.129546298821478	0.0824299547702776	0.117407866036208	13561_5	BMI	overall	Female	MVMR	5HT6R	protein	2	5HT6R	BMI_13561_5_overall_Female
NA	0.0314803212900626	0.0521453328345951	0.546354723227374	13561_5	BMI	overall	Sex-combined	MVMR	5HT6R	protein	2	5HT6R	BMI_13561_5_overall_Sex-combined
NA	0.0063530831623247	0.0800056536823564	0.936788360931529	13561_5	WHR	overall	Female	MVMR	5HT6R	protein	2	5HT6R	WHR_13561_5_overall_Female
NA	0.0241656197844207	0.0599391248698684	0.687145074594675	13561_5	WHR	overall	Sex-combined	MVMR	5HT6R	protein	2	5HT6R	WHR_13561_5_overall_Sex-combined
NA	0.207786864801467	0.0765324337825933	0.00712333757066102	BMI	BMI	proximal	Female	MVMR	ACAM	BMI	3	ACAM	BMI_9585_80_proximal_Female
NA	0.055408153193486	0.137688998138026	0.6877473805557	9585_80	BMI	proximal	Female	MVMR	ACAM	protein	3	ACAM	BMI_9585_80_proximal_Female
NA	0.212730544121227	0.0757140169957955	0.00538077314882376	BMI	BMI	proximal	Female	MVMR	ACBD7	BMI	4	ACBD7	BMI_13563_259_proximal_Female
NA	0.030692989616708	0.132802334208245	0.817426072031915	13563_259	BMI	proximal	Female	MVMR	ACBD7	protein	4	ACBD7	BMI_13563_259_proximal_Female
NA	0.198571991369238	0.0762740532056655	0.00982564636210049	BMI	BMI	proximal	Female	MVMR	ADA30	BMI	5	ADA30	BMI_8520_8_proximal_Female
NA	0.193234092897895	0.0716911418601609	0.00763579231534749	WHR	WHR	proximal	Female	MVMR	ADA30	WHR	5	ADA30	WHR_8520_8_proximal_Female
NA	0.139977464276649	0.137833270255506	0.310898580260464	8520_8	BMI	proximal	Female	MVMR	ADA30	protein	5	ADA30	BMI_8520_8_proximal_Female
NA	-0.0763028860750694	0.1424722813977	0.59286163718176	8520_8	WHR	proximal	Female	MVMR	ADA30	protein	5	ADA30	WHR_8520_8_proximal_Female
NA	0.142941393241818	0.0375192409595147	0.000159043036007018	BMI	BMI	overall	Sex-combined	MVMR	ADH1B	BMI	6	ADH1B	BMI_9834_62_overall_Sex-combined
NA	0.175610676261448	0.0491678627567496	0.00042039777281517	WHR	WHR	overall	Sex-combined	MVMR	ADH1B	WHR	6	ADH1B	WHR_9834_62_overall_Sex-combined
NA	0.0335993690331009	0.042844185637339	0.433335485041109	9834_62	BMI	overall	Sex-combined	MVMR	ADH1B	protein	6	ADH1B	BMI_9834_62_overall_Sex-combined
NA	0.00263702857473893	0.0488892424989057	0.957024085063363	9834_62	WHR	overall	Sex-combined	MVMR	ADH1B	protein	6	ADH1B	WHR_9834_62_overall_Sex-combined
NA	0.0967510951787734	0.0783623678311826	0.218397472754219	BMI	BMI	rectal	Male	MVMR	Afamin	BMI	7	Afamin	BMI_4763_31_rectal_Male
NA	0.175405237473231	0.0691776147600577	0.0119869760871553	4763_31	BMI	rectal	Male	MVMR	Afamin	protein	7	Afamin	BMI_4763_31_rectal_Male
NA	0.0958269230631803	0.0862717627583488	0.267823022056269	BMI	BMI	distal	Female	MVMR	AK1D1	BMI	8	AK1D1	BMI_18398_1_distal_Female
NA	0.142197267254942	0.0562603552356868	0.0118406199289319	BMI	BMI	distal	Sex-combined	MVMR	AK1D1	BMI	8	AK1D1	BMI_18398_1_distal_Sex-combined
NA	0.0763494259386581	0.0727953884052154	0.295204818292515	WHR	WHR	distal	Sex-combined	MVMR	AK1D1	WHR	8	AK1D1	WHR_18398_1_distal_Sex-combined
NA	0.0654263792453291	0.140278977408678	0.641365500564667	18398_1	BMI	distal	Female	MVMR	AK1D1	protein	8	AK1D1	BMI_18398_1_distal_Female
NA	0.0975574134606435	0.0807366527812225	0.227571051908945	18398_1	BMI	distal	Sex-combined	MVMR	AK1D1	protein	8	AK1D1	BMI_18398_1_distal_Sex-combined
NA	0.24160404371066	0.101609446621575	0.0181193251785934	18398_1	WHR	distal	Sex-combined	MVMR	AK1D1	protein	8	AK1D1	WHR_18398_1_distal_Sex-combined
NA	0.201662736054527	0.051655042807946	0.000109584084024111	BMI	BMI	proximal	Sex-combined	MVMR	annexin I	BMI	9	annexin I	BMI_4960_72_proximal_Sex-combined
NA	0.052862642780781	0.0721230823706976	0.463982545240637	4960_72	BMI	proximal	Sex-combined	MVMR	annexin I	protein	9	annexin I	BMI_4960_72_proximal_Sex-combined
NA	0.14683299643739	0.0606980844293481	0.0163307748626376	BMI	BMI	colon	Female	MVMR	APEX1	BMI	10	APEX1	BMI_9849_13_colon_Female
NA	0.15782978823832	0.112134302989019	0.160615569360254	9849_13	BMI	colon	Female	MVMR	APEX1	protein	10	APEX1	BMI_9849_13_colon_Female
NA	0.251738529688227	0.0633836064074741	0.000100027135519282	BMI	BMI	colon	Male	MVMR	ASPG	BMI	11	ASPG	BMI_10435_2_colon_Male
NA	0.197239661148996	0.0888819972574314	0.0276198748121395	10435_2	BMI	colon	Male	MVMR	ASPG	protein	11	ASPG	BMI_10435_2_colon_Male
NA	0.146027749355477	0.037409869541085	0.000109835069672111	BMI	BMI	overall	Sex-combined	MVMR	ATS6	BMI	12	ATS6	BMI_6441_62_overall_Sex-combined
NA	0.210442788217378	0.0514747386775638	5.17518376792806e-05	BMI	BMI	proximal	Sex-combined	MVMR	ATS6	BMI	12	ATS6	BMI_6441_62_proximal_Sex-combined
NA	0.00546528861298442	0.0589214706779977	0.926140434396699	6441_62	BMI	overall	Sex-combined	MVMR	ATS6	protein	12	ATS6	BMI_6441_62_overall_Sex-combined
NA	-0.00947331355660445	0.0811063610299306	0.907071440641856	6441_62	BMI	proximal	Sex-combined	MVMR	ATS6	protein	12	ATS6	BMI_6441_62_proximal_Sex-combined
NA	-0.00470707079401246	0.0854373973477229	0.95611115138903	BMI	BMI	rectal	Female	MVMR	B4GT5	BMI	13	B4GT5	BMI_10425_3_rectal_Female
NA	0.222809375975879	0.158423214023247	0.160937849276946	10425_3	BMI	rectal	Female	MVMR	B4GT5	protein	13	B4GT5	BMI_10425_3_rectal_Female
NA	0.264860473739109	0.0642289638655384	5.51475236299253e-05	BMI	BMI	colon	Male	MVMR	BAG3	BMI	14	BAG3	BMI_10078_5_colon_Male
NA	0.126554357367796	0.11737186252578	0.282261226723221	10078_5	BMI	colon	Male	MVMR	BAG3	protein	14	BAG3	BMI_10078_5_colon_Male
NA	0.161368858526334	0.0604544397631433	0.00813876846659754	BMI	BMI	colon	Female	MVMR	BAG5	BMI	15	BAG5	BMI_12743_18_colon_Female
NA	0.186325828209678	0.04239627364161	1.39376330156324e-05	BMI	BMI	colon	Sex-combined	MVMR	BAG5	BMI	15	BAG5	BMI_12743_18_colon_Sex-combined
NA	0.190949574166865	0.0771730078941944	0.0140661642500705	BMI	BMI	proximal	Female	MVMR	BAG5	BMI	15	BAG5	BMI_12743_18_proximal_Female
NA	0.204305278863079	0.0517348961198935	9.14598849224719e-05	BMI	BMI	proximal	Sex-combined	MVMR	BAG5	BMI	15	BAG5	BMI_12743_18_proximal_Sex-combined
NA	0.171506222222179	0.0573108428870545	0.00311851629787458	WHR	WHR	colon	Female	MVMR	BAG5	WHR	15	BAG5	WHR_12743_18_colon_Female
NA	0.175917010531614	0.0572844086868023	0.00235326549200272	WHR	WHR	colon	Sex-combined	MVMR	BAG5	WHR	15	BAG5	WHR_12743_18_colon_Sex-combined
NA	0.188693498856472	0.0716122651528475	0.0090813580749809	WHR	WHR	proximal	Female	MVMR	BAG5	WHR	15	BAG5	WHR_12743_18_proximal_Female
NA	0.187232690577867	0.06902262220507	0.0071073196016259	WHR	WHR	proximal	Sex-combined	MVMR	BAG5	WHR	15	BAG5	WHR_12743_18_proximal_Sex-combined
NA	0.0531211232369456	0.100334636908044	0.597006819922567	12743_18	BMI	colon	Female	MVMR	BAG5	protein	15	BAG5	BMI_12743_18_colon_Female
NA	0.0477149214943487	0.0633278107805065	0.451580691095618	12743_18	BMI	colon	Sex-combined	MVMR	BAG5	protein	15	BAG5	BMI_12743_18_colon_Sex-combined
NA	0.148383022817279	0.127467736030515	0.245586095329434	12743_18	BMI	proximal	Female	MVMR	BAG5	protein	15	BAG5	BMI_12743_18_proximal_Female
NA	0.0326629936503172	0.0772003646734647	0.672435452749952	12743_18	BMI	proximal	Sex-combined	MVMR	BAG5	protein	15	BAG5	BMI_12743_18_proximal_Sex-combined
NA	0.00374809264055072	0.107116027845736	0.972122199450501	12743_18	WHR	colon	Female	MVMR	BAG5	protein	15	BAG5	WHR_12743_18_colon_Female
NA	0.0275028480857919	0.0791818236847237	0.728610094743549	12743_18	WHR	colon	Sex-combined	MVMR	BAG5	protein	15	BAG5	WHR_12743_18_colon_Sex-combined
NA	-0.0139029861522468	0.133454634613022	0.917133843359117	12743_18	WHR	proximal	Female	MVMR	BAG5	protein	15	BAG5	WHR_12743_18_proximal_Female
NA	0.00811902320207478	0.0953705882346913	0.932220559371485	12743_18	WHR	proximal	Sex-combined	MVMR	BAG5	protein	15	BAG5	WHR_12743_18_proximal_Sex-combined
NA	0.204089758492488	0.0747028162848336	0.00677896373218934	BMI	BMI	proximal	Female	MVMR	BATF3	BMI	16	BATF3	BMI_8858_21_proximal_Female
NA	0.0991728417861614	0.0835157582334568	0.236254831210629	8858_21	BMI	proximal	Female	MVMR	BATF3	protein	16	BATF3	BMI_8858_21_proximal_Female
NA	0.162688725673385	0.0524735830953984	0.00205764516379086	BMI	BMI	distal	Sex-combined	MVMR	BDH2	BMI	17	BDH2	BMI_17329_2_distal_Sex-combined
NA	0.128388187136911	0.067199095762931	0.057123696600554	WHR	WHR	distal	Sex-combined	MVMR	BDH2	WHR	17	BDH2	WHR_17329_2_distal_Sex-combined
NA	0.0511895229703445	0.0563519683148247	0.364173274773679	17329_2	BMI	distal	Sex-combined	MVMR	BDH2	protein	17	BDH2	BMI_17329_2_distal_Sex-combined
NA	0.104645588430822	0.0618106912247448	0.0916129068190983	17329_2	WHR	distal	Sex-combined	MVMR	BDH2	protein	17	BDH2	WHR_17329_2_distal_Sex-combined
NA	0.199660260134728	0.0782080307068648	0.0113235577118673	BMI	BMI	proximal	Female	MVMR	BLNK	BMI	18	BLNK	BMI_19225_11_proximal_Female
NA	0.090041330699659	0.144986985364642	0.535189262651783	19225_11	BMI	proximal	Female	MVMR	BLNK	protein	18	BLNK	BMI_19225_11_proximal_Female
NA	0.194062710455209	0.0767981058360166	0.0121729357318718	BMI	BMI	proximal	Female	MVMR	BMP-2	BMI	19	BMP-2	BMI_15666_21_proximal_Female
NA	0.151696564826898	0.142926284667044	0.289628919241388	15666_21	BMI	proximal	Female	MVMR	BMP-2	protein	19	BMP-2	BMI_15666_21_proximal_Female
NA	0.208712832148385	0.0769814815628666	0.00720529058344441	BMI	BMI	proximal	Female	MVMR	BRD2	BMI	20	BRD2	BMI_15372_43_proximal_Female
NA	0.0429946494892536	0.134968755512035	0.750352381785453	15372_43	BMI	proximal	Female	MVMR	BRD2	protein	20	BRD2	BMI_15372_43_proximal_Female
NA	0.274907355967482	0.0640629692529416	2.79646479741054e-05	BMI	BMI	colon	Male	MVMR	BRPF1	BMI	21	BRPF1	BMI_11671_19_colon_Male
NA	0.146176859510348	0.0378737347087856	0.000130758284089175	BMI	BMI	overall	Sex-combined	MVMR	BRPF1	BMI	21	BRPF1	BMI_11671_19_overall_Sex-combined
NA	0.0424830007792293	0.111709724955972	0.704138032287853	11671_19	BMI	colon	Male	MVMR	BRPF1	protein	21	BRPF1	BMI_11671_19_colon_Male
NA	0.00211951904097019	0.0567272751447356	0.970212423565372	11671_19	BMI	overall	Sex-combined	MVMR	BRPF1	protein	21	BRPF1	BMI_11671_19_overall_Sex-combined
NA	0.0959059671568241	0.0534910964382023	0.0742862075434352	BMI	BMI	overall	Female	MVMR	C1QL4	BMI	22	C1QL4	BMI_7132_55_overall_Female
NA	0.272598745142869	0.0746057902842003	0.000332007653079239	BMI	BMI	proximal	Male	MVMR	C1QL4	BMI	22	C1QL4	BMI_7132_55_proximal_Male
NA	-0.0018273948503333	0.0845289020479034	0.982770793812004	BMI	BMI	rectal	Female	MVMR	C1QL4	BMI	22	C1QL4	BMI_7132_55_rectal_Female
NA	0.0652293335709017	0.0983758658778461	0.507948870255678	7132_55	BMI	overall	Female	MVMR	C1QL4	protein	22	C1QL4	BMI_7132_55_overall_Female
NA	0.0211081715282096	0.149880599650085	0.888147052220208	7132_55	BMI	proximal	Male	MVMR	C1QL4	protein	22	C1QL4	BMI_7132_55_proximal_Male
NA	0.231365108136399	0.156016163009256	0.139443236401016	7132_55	BMI	rectal	Female	MVMR	C1QL4	protein	22	C1QL4	BMI_7132_55_rectal_Female
NA	0.102240257682567	0.0763140596289295	0.181638233745705	BMI	BMI	distal	Female	MVMR	C43BP	BMI	23	C43BP	BMI_13535_2_distal_Female
NA	0.159206155225579	0.0528386802834546	0.0027365932943941	BMI	BMI	distal	Sex-combined	MVMR	C43BP	BMI	23	C43BP	BMI_13950_9_distal_Sex-combined
NA	0.143506636313331	0.144855738191736	0.322866331274157	13535_2	BMI	distal	Female	MVMR	C43BP	protein	23	C43BP	BMI_13535_2_distal_Female
NA	0.102094887978865	0.0870230262697584	0.241357094970983	13950_9	BMI	distal	Sex-combined	MVMR	C43BP	protein	23	C43BP	BMI_13950_9_distal_Sex-combined
NA	0.143629353075141	0.0393317622359741	0.000292110240688302	BMI	BMI	overall	Sex-combined	MVMR	calgranulin B	BMI	24	calgranulin B	BMI_5339_49_overall_Sex-combined
NA	0.0485089594747131	0.0902871511109219	0.591593129500343	BMI	BMI	rectal	Female	MVMR	calgranulin B	BMI	24	calgranulin B	BMI_5339_49_rectal_Female
NA	0.109480461026464	0.0808734298153952	0.177390771029918	BMI	BMI	rectal	Male	MVMR	calgranulin B	BMI	24	calgranulin B	BMI_5339_49_rectal_Male
NA	0.0734873306062528	0.0544412388454972	0.177765518501147	BMI	BMI	rectal	Sex-combined	MVMR	calgranulin B	BMI	24	calgranulin B	BMI_5339_49_rectal_Sex-combined
NA	0.159473905105271	0.0499276372716891	0.00157027622648325	WHR	WHR	overall	Sex-combined	MVMR	calgranulin B	WHR	24	calgranulin B	WHR_5339_49_overall_Sex-combined
NA	0.0979783585929591	0.0793253119087231	0.21823971590315	WHR	WHR	rectal	Female	MVMR	calgranulin B	WHR	24	calgranulin B	WHR_5339_49_rectal_Female
NA	0.205538885883927	0.0654092944220395	0.00186408103889043	WHR	WHR	rectal	Sex-combined	MVMR	calgranulin B	WHR	24	calgranulin B	WHR_5339_49_rectal_Sex-combined
NA	0.0108277516828774	0.0629550476226111	0.863523780523211	5339_49	BMI	overall	Sex-combined	MVMR	calgranulin B	protein	24	calgranulin B	BMI_5339_49_overall_Sex-combined
NA	-0.0784925437195318	0.156062409762504	0.615472257461823	5339_49	BMI	rectal	Female	MVMR	calgranulin B	protein	24	calgranulin B	BMI_5339_49_rectal_Female
NA	0.209108843093941	0.162770558095938	0.200426484121875	5339_49	BMI	rectal	Male	MVMR	calgranulin B	protein	24	calgranulin B	BMI_5339_49_rectal_Male
NA	0.0170730919697319	0.087133051960459	0.844746245977452	5339_49	BMI	rectal	Sex-combined	MVMR	calgranulin B	protein	24	calgranulin B	BMI_5339_49_rectal_Sex-combined
NA	0.0756574839665075	0.0721783959639087	0.295490272006304	5339_49	WHR	overall	Sex-combined	MVMR	calgranulin B	protein	24	calgranulin B	WHR_5339_49_overall_Sex-combined
NA	-0.0437162395558178	0.145536804067284	0.764203018491696	5339_49	WHR	rectal	Female	MVMR	calgranulin B	protein	24	calgranulin B	WHR_5339_49_rectal_Female
NA	0.00233654188672181	0.0944987560761399	0.98029220657563	5339_49	WHR	rectal	Sex-combined	MVMR	calgranulin B	protein	24	calgranulin B	WHR_5339_49_rectal_Sex-combined
NA	0.139408441055023	0.0373952138940172	0.000218458866284935	BMI	BMI	overall	Sex-combined	MVMR	CAR17	BMI	25	CAR17	BMI_18267_74_overall_Sex-combined
NA	0.16414407386033	0.0493662789112515	0.00100751596869548	WHR	WHR	overall	Sex-combined	MVMR	CAR17	WHR	25	CAR17	WHR_18267_74_overall_Sex-combined
NA	0.0637807445911975	0.0588974762687656	0.279446298078302	18267_74	BMI	overall	Sex-combined	MVMR	CAR17	protein	25	CAR17	BMI_18267_74_overall_Sex-combined
NA	0.0641456324154713	0.0781064815927797	0.412228843503659	18267_74	WHR	overall	Sex-combined	MVMR	CAR17	protein	25	CAR17	WHR_18267_74_overall_Sex-combined
NA	0.192654472498263	0.0422976833172919	6.81676317787272e-06	BMI	BMI	colon	Sex-combined	MVMR	CASC4	BMI	26	CASC4	BMI_8838_10_colon_Sex-combined
NA	0.146016520739521	0.0375882911498687	0.000118393269299802	BMI	BMI	overall	Sex-combined	MVMR	CASC4	BMI	26	CASC4	BMI_8838_10_overall_Sex-combined
NA	0.0703333809997511	0.0518344274655614	0.175519675601075	BMI	BMI	rectal	Sex-combined	MVMR	CASC4	BMI	26	CASC4	BMI_8838_10_rectal_Sex-combined
NA	0.00975442721238034	0.0650451647415663	0.880862436253615	8838_10	BMI	colon	Sex-combined	MVMR	CASC4	protein	26	CASC4	BMI_8838_10_colon_Sex-combined
NA	0.0117598994489137	0.0577230880126361	0.838659892800371	8838_10	BMI	overall	Sex-combined	MVMR	CASC4	protein	26	CASC4	BMI_8838_10_overall_Sex-combined
NA	0.0696441476883636	0.0796736308378717	0.382535259310761	8838_10	BMI	rectal	Sex-combined	MVMR	CASC4	protein	26	CASC4	BMI_8838_10_rectal_Sex-combined
NA	0.149575490624522	0.0529106799493852	0.00491571675321552	BMI	BMI	distal	Sex-combined	MVMR	Catechol O-methyltransferase	BMI	27	Catechol O-methyltransferase	BMI_18382_109_distal_Sex-combined
NA	0.153212509969647	0.0819007741330093	0.0620550960605094	18382_109	BMI	distal	Sex-combined	MVMR	Catechol O-methyltransferase	protein	27	Catechol O-methyltransferase	BMI_18382_109_distal_Sex-combined
NA	0.193600752405073	0.075693181330096	0.0111738373170425	BMI	BMI	proximal	Female	MVMR	CBPZ	BMI	28	CBPZ	BMI_6493_9_proximal_Female
NA	0.177677133433526	0.134765520601002	0.188664240148956	6493_9	BMI	proximal	Female	MVMR	CBPZ	protein	28	CBPZ	BMI_6493_9_proximal_Female
NA	0.221156478757368	0.0762356961382147	0.00407796470287299	BMI	BMI	proximal	Female	MVMR	CD1D	BMI	29	CD1D	BMI_8749_194_proximal_Female
NA	0.0176966182000393	0.0842294987164646	0.833774015829716	BMI	BMI	rectal	Female	MVMR	CD1D	BMI	29	CD1D	BMI_8749_194_rectal_Female
NA	-0.0394362326385774	0.150477338751649	0.793496757352259	8749_194	BMI	proximal	Female	MVMR	CD1D	protein	29	CD1D	BMI_8749_194_proximal_Female
NA	0.10464180827855	0.166000844655812	0.529073513348421	8749_194	BMI	rectal	Female	MVMR	CD1D	protein	29	CD1D	BMI_8749_194_rectal_Female
NA	0.272890879330196	0.0639941454733787	3.12282479311469e-05	BMI	BMI	colon	Male	MVMR	CD26	BMI	30	CD26	BMI_15460_9_colon_Male
NA	0.0638840429469894	0.110330665240864	0.563241589935642	15460_9	BMI	colon	Male	MVMR	CD26	protein	30	CD26	BMI_15460_9_colon_Male
NA	0.193853762029795	0.0768925963139803	0.0123706339418741	BMI	BMI	proximal	Female	MVMR	CD3-zeta	BMI	31	CD3-zeta	BMI_15567_2_proximal_Female
NA	0.135939120359932	0.131088718853	0.300815061376008	15567_2	BMI	proximal	Female	MVMR	CD3-zeta	protein	31	CD3-zeta	BMI_15567_2_proximal_Female
NA	0.157188070386313	0.0528668583458536	0.00310932266742264	BMI	BMI	distal	Sex-combined	MVMR	CDCP1	BMI	32	CDCP1	BMI_8589_13_distal_Sex-combined
NA	0.141238356532126	0.0684153350034116	0.0399359936242367	WHR	WHR	distal	Sex-combined	MVMR	CDCP1	WHR	32	CDCP1	WHR_8589_13_distal_Sex-combined
NA	0.0973750930056352	0.0778819301178335	0.211862269995801	8589_13	BMI	distal	Sex-combined	MVMR	CDCP1	protein	32	CDCP1	BMI_8589_13_distal_Sex-combined
NA	0.0250621261665631	0.0900634543599216	0.781017441322871	8589_13	WHR	distal	Sex-combined	MVMR	CDCP1	protein	32	CDCP1	WHR_8589_13_distal_Sex-combined
NA	0.20844044834458	0.050937527478915	5.09403059924043e-05	BMI	BMI	proximal	Sex-combined	MVMR	CDHR1	BMI	33	CDHR1	BMI_8372_29_proximal_Sex-combined
NA	0.00941418397910779	0.0825560875474048	0.909309625886748	BMI	BMI	rectal	Female	MVMR	CDHR1	BMI	33	CDHR1	BMI_8372_29_rectal_Female
NA	0.00680991752196152	0.0574154516016379	0.905640750359275	8372_29	BMI	proximal	Sex-combined	MVMR	CDHR1	protein	33	CDHR1	BMI_8372_29_proximal_Sex-combined
NA	0.181433267539272	0.103510850402767	0.0809581460064158	8372_29	BMI	rectal	Female	MVMR	CDHR1	protein	33	CDHR1	BMI_8372_29_rectal_Female
NA	0.264573800514422	0.0753533256950578	0.000554321701997694	BMI	BMI	proximal	Male	MVMR	CHC10	BMI	34	CHC10	BMI_11270_17_proximal_Male
NA	0.0804474670278217	0.129713323909796	0.535853957012846	11270_17	BMI	proximal	Male	MVMR	CHC10	protein	34	CHC10	BMI_11270_17_proximal_Male
NA	0.165957373858339	0.059292592162502	0.00555626998888098	BMI	BMI	colon	Female	MVMR	CHIP	BMI	35	CHIP	BMI_11350_30_colon_Female
NA	0.110562650376263	0.0753511379584361	0.143643226676727	BMI	BMI	distal	Female	MVMR	CHIP	BMI	35	CHIP	BMI_11350_30_distal_Female
NA	0.0729298044563964	0.104831864576066	0.487320316963001	11350_30	BMI	colon	Female	MVMR	CHIP	protein	35	CHIP	BMI_11350_30_colon_Female
NA	0.102186790449421	0.133365990875064	0.444324971530663	11350_30	BMI	distal	Female	MVMR	CHIP	protein	35	CHIP	BMI_11350_30_distal_Female
NA	0.171744738628174	0.0778976966436106	0.0284539731411653	BMI	BMI	proximal	Female	MVMR	CHST4	BMI	36	CHST4	BMI_18876_77_proximal_Female
NA	0.265090025423222	0.134920594872078	0.0506325956385256	18876_77	BMI	proximal	Female	MVMR	CHST4	protein	36	CHST4	BMI_18876_77_proximal_Female
NA	0.188827774388447	0.0751137746788986	0.0126105711597005	BMI	BMI	proximal	Female	MVMR	CJ038	BMI	37	CJ038	BMI_5610_32_proximal_Female
NA	0.232744618368306	0.120674632392195	0.054973220978405	5610_32	BMI	proximal	Female	MVMR	CJ038	protein	37	CJ038	BMI_5610_32_proximal_Female
NA	0.214708796508505	0.0764654609557264	0.00541081530494319	BMI	BMI	proximal	Female	MVMR	CO6A5	BMI	38	CO6A5	BMI_11155_16_proximal_Female
