exposure	group	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	OR	lower_ci	upper_ci	ID
2982_82_LGALS4_Galectin_4	Male	distal	2982_82	Galectin_4	LGALS4	2	IVW-MRE	0.5229497	0.0005744312	0	1.686996	1.685098	1.688897	2982_82_distal_Male
3461_58_BCAN_PGCB	Female	distal	3461_58	PGCB	BCAN	3	IVW-MRE	-0.2647285	0.03186604	9.770258e-17	0.7674143	0.7209497	0.8168734	3461_58_distal_Female
4960_72_ANXA1_annexin_I	Sex-combined	proximal	4960_72	annexin_I	ANXA1	2	IVW-MRE	0.1549813	0.012687	2.561213e-34	1.167636	1.138959	1.197035	4960_72_proximal_Sex-combined
5006_71_MAPK13_MK13	Female	rectal	5006_71	MK13	MAPK13	2	IVW-MRE	0.09687735	0.01491989	8.404929e-11	1.101725	1.069974	1.134419	5006_71_rectal_Female
5006_71_MAPK13_MK13	Male	distal	5006_71	MK13	MAPK13	2	IVW-MRE	0.274337	0.03964529	4.523239e-12	1.315658	1.217296	1.421968	5006_71_distal_Male
5355_69_TNFSF14_LIGHT	Female	rectal	5355_69	LIGHT	TNFSF14	2	IVW-MRE	0.0309672	0.003058133	4.228569e-24	1.031452	1.025288	1.037653	5355_69_rectal_Female
5615_62_FAM172A_F172A	Female	proximal	5615_62	F172A	FAM172A	2	IVW-MRE	0.3759877	0.03955302	1.98295e-21	1.456429	1.347787	1.573829	5615_62_proximal_Female
6493_9_CPZ_CBPZ	Female	proximal	6493_9	CBPZ	CPZ	2	IVW-MRE	0.3857826	0.09062517	2.072775e-05	1.470765	1.231407	1.756649	6493_9_proximal_Female
6572_10_LRRTM4_LRRT4	Sex-combined	colon	6572_10	LRRT4	LRRTM4	5	IVW-MRE	0.0349959	0.005085839	5.941407e-12	1.035615	1.025343	1.04599	6572_10_colon_Sex-combined
8932_1_ENTPD6_ENTP6	Female	proximal	8932_1	ENTP6	ENTPD6	3	IVW-MRE	0.2012641	0.01990104	4.826054e-24	1.222948	1.176164	1.271593	8932_1_proximal_Female
8932_1_ENTPD6_ENTP6	Female	overall	8932_1	ENTP6	ENTPD6	3	IVW-MRE	0.05197372	0.01126882	3.984858e-06	1.053348	1.030338	1.076872	8932_1_overall_Female
9834_62_ADH1B_ADH1B	Sex-combined	overall-HRC-EUR	9834_62	ADH1B	ADH1B	2	IVW-MRE	0.09372336	0.02007767	3.040861e-06	1.098256	1.055876	1.142336	9834_62_overall-HRC-EUR_Sex-combined
9834_62_ADH1B_ADH1B	Sex-combined	overall	9834_62	ADH1B	ADH1B	2	IVW-MRE	0.09508938	0.01787813	1.044797e-07	1.099757	1.061888	1.138977	9834_62_overall_Sex-combined
9848_22_CCNH_Cyclin_H	Female	distal	9848_22	Cyclin_H	CCNH	2	IVW-MRE	0.722876	0.14045	2.648873e-07	2.06035	1.564543	2.713279	9848_22_distal_Female
