protein	cancer	group	nsnp_colocalization	h0	h1	h2	h3	h4
10451_11_NUCB1_NUCB1	colon	Female	5739	8.25341297343954e-49	0.97648537124073	2.50684056706445e-51	0.00296571073196225	0.0205489180273077
10462_14_INSL5_INSL5	colon	Female	5404	8.42037172145092e-05	0.974898765765274	4.15291624961519e-07	0.00480798579425067	0.0202086294316352
10490_3_RPN1_RPN1	colon	Female	4797	8.55348369742153e-71	0.982559178323333	2.64376997393375e-73	0.00303681791038651	0.0144040037662798
10499_1_TMEM106A_T106A	colon	Female	3272	0.000198462724958011	0.98828285158164	2.65065026000769e-07	0.00131983967984095	0.0101985809485348
10511_10_COL6A3_Collagen_alpha_3_VI_	colon	Female	6567	8.72384468128987e-46	0.981089134453386	2.28709490573217e-48	0.00257191812212111	0.0163389474244992
10512_13_CSF2RB_IL3RB	colon	Female	6237	0	0.989375330948578	0	0.00310148270385303	0.00752318634740346
10514_5_PTGDS_PGD2_synthase	colon	Female	5297	4.09498947641942e-58	0.985358170347525	1.49381527503572e-60	0.00359438737403909	0.0110474422784499
10521_10_MXRA8_MXRA8	colon	Female	4141	9.94674194349346e-14	0.968340649360761	1.60939312138743e-16	0.00156648424490788	0.0300928663942336
10554_23_GLB1_BGAL	colon	Female	5888	0.076061899297567	0.903094582987569	0.000200583045748254	0.00238137061570497	0.0182615640534114
10558_26_PCDH9_PCDH9	colon	Female	4734	1.33054570969605e-97	0.983552647614913	2.19717469267876e-100	0.00162402519459954	0.0148233271904915
10561_5_PGLYRP3_PGRP_I_alpha	colon	Female	4154	0.00596559941943008	0.928130670060752	1.19867281207294e-05	0.00186426033620773	0.0640274834554896
10565_19_SLITRK3_SLIK3	colon	Female	5398	0	0.973775289566206	0	0.00165377977339543	0.0245709306604426
10571_14_MGAT1_MGAT1	colon	Female	4926	0.000460367100458294	0.972034482585621	9.47209737791455e-07	0.00199971525373233	0.0255044878504508
10603_1_HTN3_HIS3	colon	Female	6881	4.55923780105462e-70	0.968838953856113	9.08247878303381e-73	0.00192973626328724	0.0292313098805857
10605_22_APMAP_APMAP	colon	Female	5764	2.30569125583213e-31	0.984489578557497	3.94649004815789e-34	0.00168494352469354	0.0138254779178031
10613_33_CASC4_CASC4	colon	Female	3258	0.0695357077423389	0.90368265809452	7.26450278129945e-05	0.000943833578156981	0.0257651555571708
10627_87_APLP2_APLP2	colon	Female	5717	1.70567387271989e-55	0.928263721926088	2.17447500701148e-57	0.0118333529091984	0.0599029251647112
10666_7_GNPTG_GNPTG	colon	Female	6960	3.15937981777329e-253	0.981172288704508	1.54097620066567e-255	0.0047854923059186	0.0140422189895659
10668_5_STX4_STX4	colon	Female	2579	0.988283903029418	0.0096317818487818	0.00123438958054942	1.20219405106496e-05	0.000837903600740147
10672_75_SFTPB_SP_B	colon	Female	5521	0	0.989936873458564	0	0.00247101222795296	0.00759211431353755
10708_3_GNRH2_GON2	colon	Female	5889	3.64613700074173e-76	0.941024308235475	6.94791657561408e-79	0.00179260225661591	0.0571830895079065
10714_7_ACE_ACE	colon	Female	3425	0	0.662894632153709	0	0.000882253086601429	0.336223114759295
10722_13_SYK_KSYK	colon	Female	6518	7.45421200467155e-19	0.976263524511521	9.27188373769347e-21	0.0121430883256114	0.0115933871628681
10737_96_SERPINB1_Serpin_B1	colon	Female	6378	1.09189250220535e-13	0.982621021161816	2.8579109248993e-16	0.00257175652987109	0.0148072223082038
10754_113_PROK2_Prokineticin_2	colon	Female	5215	0	0.984952419896281	0	0.00251287894157303	0.012534701162099
10772_21_CSGALNACT2_CGAT2	colon	Female	6603	4.66608909840386e-35	0.91379704788407	1.04838127446693e-37	0.00205228627007545	0.0841506658458529
10800_15_SERPINH1_Collagen_binding_protein	colon	Female	4547	2.61302638099962e-44	0.937824052708392	1.51895089678609e-45	0.0545155875415159	0.00766035975009139
10809_14_KLRB1_KLRB1	colon	Female	2524	0.000359120927733632	0.968589808354383	2.99431569171593e-07	0.000807298414460123	0.0302434728718542
10818_36_SMPD1_ASM	colon	Female	7303	0	0.961723395285764	0	0.00234977801059845	0.0359268267036888
10832_24_B4GALT6_B4GT6	colon	Female	5220	0	0.861194108027508	0	0.00249258376194294	0.136313308210521
10833_64_HHIP_HHIP	colon	Female	4037	1.22597640029526e-61	0.316917879024192	1.70088170052543e-64	0.000432855560664128	0.682649265415141
10835_25_A4GNT_A4GCT	colon	Female	4096	3.01077885507387e-07	0.988064258204051	8.03431228681691e-10	0.00263657253608748	0.00929886737854509
10851_77_EBI3_IL27B	colon	Female	6332	0	0.980211972577238	0	0.0051186774080974	0.0146693500157814
10892_8_OSMR_OSMR	colon	Female	5442	1.10117508846756e-35	0.971160100599646	3.70579931516972e-38	0.00326800241128872	0.0255718969890668
10902_53_ASPRV1_APRV1	colon	Female	4702	2.58022702139317e-07	0.984137624237715	3.34010351053945e-10	0.00127382013099277	0.0145882972745799
10903_50_STX8_STX8	colon	Female	6148	4.20277498834781e-05	0.986204571264966	1.04963591132062e-07	0.00246291625379043	0.0112903797677691
10908_2_GALNT13_GLT13	colon	Female	5950	0.000935497493234586	0.968765902032766	1.74037233947974e-06	0.00180197897121203	0.0284948811304478
10917_40_GNGT2_GBGT2	colon	Female	4791	0.985636233262984	0.00720143966512134	0.0067836912707491	4.9560982301497e-05	0.000329074818843744
10924_258_CYB5D2_NEUFC	colon	Female	6155	7.91357493119201e-146	0.952871574278818	3.28857137000121e-148	0.00395932885430646	0.0431690968668681
10938_13_CD58_sLFA_3	colon	Female	4937	1.03449887847395e-118	0.966348710187857	3.07295800441263e-121	0.00287021149650316	0.0307810783156419
10940_25_SRL_SRCA	colon	Female	6086	2.64767385139872e-37	0.914208595698006	2.23819833433527e-38	0.0772820980974888	0.00850930620450826
10948_14_PLD3_PLD3	colon	Female	5463	0.000134397879933749	0.971523002028186	5.75333183919915e-07	0.00415867363661258	0.0241833511220844
10974_20_SPINK7_ISK7	colon	Female	5018	3.40020831914212e-36	0.883604122889984	9.86658749686917e-39	0.00256286851090896	0.1138330085991
10977_55_UCMA_UCMA	colon	Female	7377	9.32710180468863e-222	0.959207857412115	2.68970750855763e-224	0.0027657400489878	0.0380264025388851
11098_1_PDXK_PDXK	colon	Female	5756	1.71959584381406e-47	0.976621969855807	3.80228725854062e-50	0.00215924713265605	0.0212187830115422
11102_22_REG4_REG4	colon	Female	2776	8.46894808415706e-39	0.971582666778821	6.79813135736125e-41	0.00779881032504308	0.0206185228961379
11103_24_HSPB1_HSP_27	colon	Female	3963	0	0.988647896388011	0	0.00175893662949889	0.00959316698238111
11104_13_CHI3L1_YKL_40	colon	Female	4852	0	0.983575731488161	0	0.00149096665129103	0.0149333018619502
11105_171_ENO1_Alpha_enolase	colon	Female	4679	0.976425304517602	0.0212059911893285	0.00195325009113007	4.24169279524999e-05	0.000373037273986912
11117_2_SPATA20_SPT20	colon	Female	4788	0	0.984724765214522	0	0.00182018155023274	0.0134550532352527
11134_30_MTRF1L_RF1ML	colon	Female	6753	2.17731530643048e-81	0.986073673702291	8.3819561991957e-84	0.00379596181947854	0.0101303644782434
11142_11_ANGPTL1_ANGL1	colon	Female	5362	2.91902173927541e-303	0.989297159207594	4.95366969942685e-306	0.0016787774756833	0.0090240633166982
11145_72_KIAA1549L_K154L	colon	Female	5501	0	0.982058207914661	0	0.00261913679174053	0.0153226552934948
11152_46_KLK13_kallikrein_13	colon	Female	6673	0	0.975817510120386	0	0.00306649906382171	0.0211159908158985
11177_16_KRT5_K2C5	colon	Female	5812	3.175252763605e-53	0.987949156052269	9.46082877673872e-56	0.0029435542055724	0.00910728974216096
11187_11_CLEC12A_CL12A	colon	Female	3872	0	0.989574797106704	0	0.00134793807515734	0.00907726481802239
11192_168_TINAGL1_TINAL	colon	Female	4316	3.57881725355103e-21	0.990067238678623	4.79623801574665e-24	0.0013267763619698	0.00860598495940806
11196_31_COL6A3_Collagen_alpha_3_VI_	colon	Female	6541	1.08452321707438e-06	0.987185853077523	2.85256654006148e-09	0.00259644283072789	0.0102166167159656
11208_15_NAGPA_NAGPA	colon	Female	8150	0	0.913389006387435	0	0.0775952337593254	0.00901575985321141
11211_7_TBCE_TBCE	colon	Female	5760	1.84756646885959e-25	0.984876723632091	4.64596178076652e-28	0.00247648246271858	0.0126467939051914
11214_40_DNAJB9_DNJB9	colon	Female	5402	4.26139372093558e-05	0.897739827530172	8.75194416527884e-08	0.00184275192525287	0.100374719087924
11219_95_FGFBP3_FGFP3	colon	Female	4602	1.48428351049863e-217	0.989331944773768	3.85928579652925e-220	0.00257228119242263	0.00809577403381039
11241_8_ASL_ARLY	colon	Female	4489	8.91716509900487e-32	0.988604488085627	9.68998858572213e-35	0.00107418060884163	0.0103213313055368
11248_43_UROS_HEM4	colon	Female	5909	4.03953639011972e-105	0.942319570192375	8.82227457646577e-108	0.00205745270594446	0.0556229771016802
11257_1_QDPR_DHPR	colon	Female	5789	0	0.974010096239969	0	0.00244031272533366	0.0235495910347651
11265_8_ALDH1A1_Retinal_dehydrogenase_1	colon	Female	4836	1.71358933913602e-19	0.989896068972423	2.95240932024735e-22	0.00170544622204731	0.00839848480553034
11266_8_SELPLG_SELPL	colon	Female	5953	7.29527351816213e-158	0.984489281695199	4.05776140519956e-160	0.00547580483954677	0.0100349134652694
11277_23_ATF6_ATF6A	colon	Female	5510	0.00539602297883749	0.976188958740622	1.16693830488116e-05	0.00211093314274968	0.0162924157547414
11278_4_COL11A2_COL11A2	colon	Female	13061	2.73451428926458e-161	0.468149161607305	3.08357461870934e-161	0.527908290828887	0.00394254756378256
11287_14_CYB5A_Cytochrome_b5	colon	Female	6384	1.64327504358556e-16	0.931279364070421	3.80684473721324e-19	0.0021567552748898	0.0665638806546895
11288_26_NT5C2_5NTC	colon	Female	3864	2.09290355529185e-21	0.9553629235971	2.49232059942408e-24	0.00113725273151394	0.0434998236713838
11302_237_TNR_TENR	colon	Female	5033	9.29336757394719e-51	0.989473969317356	1.49433585224111e-53	0.00159094470159207	0.00893508598104739
11308_8_CREB3L4_CR3L4	colon	Female	4350	1.19124123838288e-127	0.990917201988479	2.04787348338334e-130	0.00170342084425427	0.00737937716728101
11313_100_PCBD1_PHS	colon	Female	7104	2.42347279574312e-41	0.985229406461064	6.80023250928078e-44	0.00276442058039532	0.0120061729585398
11333_82_ARHGAP25_RHG25	colon	Female	5380	7.17543587757541e-67	0.986185779294858	1.06080483046849e-69	0.00145783753604342	0.0123563831690883
11347_9_TALDO1_Transaldolase	colon	Female	5588	2.94229012988084e-18	0.866105775250731	1.59703214004554e-20	0.00469980379651033	0.12919442095276
11351_233_NHEJ1_NHEJ1	colon	Female	4421	5.15108606970981e-24	0.326569068145694	1.05670132616158e-23	0.66992852513364	0.00350240672066925
11356_19_DGCR14_DGC14	colon	Female	4203	1.74621235720373e-16	0.983769443940494	3.34693617074373e-19	0.0018854310735287	0.0143451249859756
11358_15_GRB10_GRB10	colon	Female	5598	0.871359568055265	0.0502663869791414	0.0125585113978148	0.000723815786290435	0.0650917177814879
11360_39_RRM1_RRM1	colon	Female	7009	0.000291921343906452	0.986929254381296	7.00250457418982e-07	0.00236730641608535	0.0104108176082555
11377_19_ADH7_ADH7	colon	Female	6264	5.07849706197057e-160	0.984321229334518	1.43442724576031e-162	0.00278009747142789	0.0128986731940488
11378_37_SYK_KSYK	colon	Female	6518	8.2777079077723e-18	0.976615230298326	1.02914133543177e-19	0.0121418369304524	0.0112429327712212
11382_5_BLVRA_BIEA	colon	Female	4900	0.982237549085289	0.0152465123483447	0.00200102226884192	3.10554794988014e-05	0.000483860818025058
11387_3_ATF6B_ATF6B	colon	Female	16681	2.77371696499913e-96	0.184128268494794	1.22568644128549e-95	0.813650126661047	0.00222160484414759
11388_75_WFDC2_HE4	colon	Female	5006	7.22115454935701e-05	0.98438022025284	1.69856378751437e-07	0.00231533203318564	0.0132320663121014
11390_24_CA8_Carbonic_Anhydrase_VIII	colon	Female	5127	0	0.990612828481997	0	0.00189848200842334	0.00748868950951858
11424_4_FAH_FAAA	colon	Female	6295	0	0.969081271317271	0	0.00238961056558458	0.0285291181169572
11428_31_PDLIM1_PDLI1	colon	Female	5540	3.36048802865436e-06	0.982094731964227	7.48789230924512e-09	0.00218816179954567	0.0157137382603063
11441_11_PYGL_PYGL	colon	Female	5983	9.10567245190625e-34	0.979364123085357	3.66773961046386e-36	0.00394468461472664	0.0166911922999112
11480_1_ALDH3A1_Aldehyde_dehydrogenase__class_3	colon	Female	2744	1.66756626978959e-44	0.991134415220719	1.79395508103866e-47	0.00106617685431238	0.00779940792497434
11493_169_DYNLL2_DYL2	colon	Female	4608	0.0028063606068239	0.982564603393393	4.97560631130593e-06	0.00174193334637196	0.0128821270470992
11510_31_APOL1_Apo_L1	colon	Female	6193	0	0.988328141636612	0	0.00323184078515848	0.00844001757813445
11514_196_CD59_CD59	colon	Female	5543	2.53780789676383e-92	0.987211583030243	6.73796383503051e-95	0.00262097770378379	0.0101674392659604
11516_7_FABP1_FABPL	colon	Female	2662	1.22289554391285e-28	0.990898076921017	1.31329438433948e-31	0.0010640668303719	0.00803785624860637
11530_37_HMBS_HEM3	colon	Female	4884	0.00863475990834492	0.971216202752661	1.65574710833128e-05	0.00186216024129961	0.0182703196266111
11540_37_FOXO3_FOXO3A	colon	Female	4790	0.00744699020699424	0.979066590770174	1.13367209108932e-05	0.00149033527389091	0.0119847470280304
11543_84_LIMA1_LIMA1	colon	Female	4149	3.1353360699428e-09	0.00109630993228981	2.8126833290755e-06	0.983490164398919	0.015410709850125
11547_84_MUSK_MUSK	colon	Female	6531	6.18737849977094e-09	0.974284832526599	1.13473742542816e-10	0.0178678677426701	0.00784729342987847
11551_16_HMG20B_HM20B	colon	Female	6710	0.986301744026559	0.00772171188516621	0.00549572729813212	4.30214232807215e-05	0.000437795366862033
11568_2_FKBP1B_FKB1B	colon	Female	5579	2.64757585285002e-140	0.986088462301868	1.0142405827699e-142	0.00377743325004619	0.0101341044480674
11606_22_DNAJB6_DNJB6	colon	Female	7286	0.0382723637478095	0.951656832393411	8.73812508575946e-05	0.00217268981862683	0.00781073278929504
11615_16_DAPP1_DAPP1	colon	Female	6242	5.20513801800478e-16	0.989956332589516	1.1189904517118e-18	0.00212810972231175	0.00791555768817166
11616_9_HSF1_HSF1	colon	Female	3696	5.26039777565824e-08	0.987223975778064	7.42829041172856e-11	0.0013939606788646	0.0113820108648114
11643_73_DTX3L_DTX3L	colon	Female	5367	1.08459544697513e-06	0.946118511540248	2.6710440674206e-09	0.00232950002293099	0.0515509011703293
11649_3_SMAP1_SMAP1	colon	Female	6120	1.51964553332848e-255	0.989344597875187	3.30363716883028e-258	0.00215070309053204	0.00850469903433603
11656_110_EVL_EVL	colon	Female	5487	1.23694291191116e-74	0.983411390086474	6.52191515214205e-77	0.0051850287739602	0.0114035811395685
11659_31_CLINT1_EPN4	colon	Female	5806	0.000437883856034375	0.98369540003705	1.16583658703185e-06	0.00261889098461218	0.0132466592857161
11681_8_AGFG1_NUPL	colon	Female	6545	4.540756791479e-23	0.989734158045452	1.0047179015149e-25	0.00218987054574911	0.00807597140879582
11696_7_CRABP2_RABP2	colon	Female	4883	1.01863148467472e-264	0.965258171471334	2.81637248411658e-267	0.00266848206234557	0.0320733464663247
11699_16_PTP4A2_TP4A2	colon	Female	3747	0.990109130986018	0.00832524168735789	0.00110789182396686	9.31112239926165e-06	0.000448424380257507
11708_2_LCN1_LCN1	colon	Female	7463	3.389202951959e-09	0.970557657989252	1.477967191731e-11	0.00423216595208833	0.0252101726546783
11969_5_S100A2_S100A2	colon	Female	4229	2.77515743738421e-19	0.973526407454767	4.42143350801425e-22	0.00155079152408292	0.0249228010211521
12008_3_CD7_CD7	colon	Female	5967	1.18741949794639e-106	0.974333508516611	7.97845153170388e-109	0.00654650328076188	0.0191199882026206
12016_60_CBL_CBL	colon	Female	4836	7.42701192595828e-36	0.96965293905057	1.42047426649565e-38	0.00185425234892999	0.0284928086005062
12333_87_RPIA_RPIA	colon	Female	2612	7.68988531195923e-51	0.98584982729961	7.97194265597418e-54	0.00102187853538582	0.0131282941650078
12334_25_SHMT1_cSHMT	colon	Female	2911	0	0.989564193950643	0	0.000868192543194912	0.00956761350597435
12338_27_EGFLAM_EGFLA	colon	Female	5258	6.62943294732633e-138	0.968529895913968	1.70728342540687e-140	0.00249397340032884	0.0289761306856772
12343_14_ACAP2_CENB2	colon	Female	6773	0.0138528465873133	0.96500438100691	3.48056143012771e-05	0.00242441016496136	0.0186835566265148
12347_29_CCM2_CCM2	colon	Female	5320	8.38918748794839e-07	0.00786059247248849	1.29856830575984e-07	0.0012068373908554	0.990931601361078
12348_46_SARS2_SYSM	colon	Female	5715	8.71242879336939e-33	0.986235429927635	2.05569866137496e-35	0.00232690935143263	0.0114376607209289
12356_65_SRI_Sorcin	colon	Female	4820	2.06490277452803e-32	0.988274180243313	3.35734212150237e-35	0.0016067417917828	0.0101190779648968
12357_41_SNAP29_SNP29	colon	Female	4567	5.41101755956752e-21	0.977951086278422	1.16597670718048e-23	0.00210710881891341	0.0199418049026657
12361_102_RRAS2_RRAS2	colon	Female	4516	0.739414609431428	0.242962090233685	0.00120298480065544	0.000395125015600344	0.0160251905186306
12366_16_CRYGD_CRGD	colon	Female	4753	2.04066811687915e-35	0.984645074169541	2.82290227335003e-38	0.00136194182922964	0.0139929840012298
12370_30_APOF_Apo_F	colon	Female	3374	5.93728402688358e-94	0.714176853831665	2.25903958935044e-94	0.271732486216901	0.0140906599514261
12381_26_CBR1_CBR1	colon	Female	6640	4.47428397292129e-291	0.972047998951996	1.0206315497873e-293	0.00221708706092072	0.025734913987103
12382_2_DDX58_DDX58	colon	Female	6633	1.50560037255395e-85	0.989832968012737	2.4326941329619e-88	0.00159925030654685	0.00856778168071942
12386_11_RNPEP_AMPB	colon	Female	5405	6.19270456819613e-246	0.988033199804658	2.5079384531712e-248	0.00400128425218073	0.00796551594313734
12387_7_PDLIM4_PDLI4	colon	Female	3616	5.04275939470671e-58	0.985767033202593	5.82055993563357e-61	0.00113768182984033	0.0130952849675775
12395_86_DARS2_SYDM	colon	Female	3767	1.90287149802704e-17	0.919644784593808	3.73265607213614e-20	0.00180318163823374	0.0785520337679615
12396_19_HIBCH_HIBCH	colon	Female	4586	0	0.989886319955008	0	0.00131464966483708	0.00879903038018941
12401_3_STAMBPL1_STALP	colon	Female	5551	4.26936277413873e-31	0.989528225821545	1.00022814273239e-33	0.00231818943772763	0.00815358474073184
12408_333_RAB22A_RB22A	colon	Female	6200	1.52298919543846e-07	0.990048917326813	2.8077560819195e-10	0.00182515550515962	0.00812577458833191
12411_60_MAX_MAX	colon	Female	5552	3.84674490138515e-98	0.989083402057412	7.23639939282505e-101	0.00186054816486309	0.00905604977773629
12424_107_THYN1_THYN1	colon	Female	6481	0.00484698296001299	0.979884425286682	3.21989253654203e-05	0.00650936938287066	0.00872702344506879
12428_2_LYPLAL1_LYPL1	colon	Female	5683	3.3094436871492e-29	0.986652063214474	5.31607200151182e-32	0.00158477514926263	0.0117631616362626
12432_23_CACYBP_CYBP	colon	Female	4648	2.14929999259161e-42	0.984087931143231	3.34401205482829e-45	0.00153096023027466	0.0143811086264974
12436_84_GSTO1_GST_omega_1	colon	Female	4707	0	0.990656959417469	0	0.00137680177321018	0.00796623880927095
12437_18_ULK3_ULK3	colon	Female	3702	5.62832662375282e-14	0.860547053413748	2.2606879486666e-16	0.00345513514550344	0.135997811440693
12438_127_MPG_3MG	colon	Female	3724	1.004599132338e-14	0.936913495632865	3.33580393561147e-17	0.00311045182757022	0.0599760525395551
12445_50_ANKRD27_ANR27	colon	Female	6090	0.000557104334609161	0.353241239050627	0.0010103929082778	0.640656328466891	0.00453493523959493
12449_16_PPIH_PPIH	colon	Female	4571	1.57059968712465e-17	0.921691477037104	1.79456683755521e-20	0.00105235190578259	0.0772561710571099
12450_42_PMVK_PMVK	colon	Female	3173	6.1819581367296e-16	0.965636834325443	5.91259861565932e-19	0.000923227825338006	0.0334399378492207
12457_10_ADI1_MTND	colon	Female	6974	2.01115558069816e-14	0.966828673987228	4.80994025512381e-17	0.00231198798051518	0.0308593380322376
12459_13_PLEKHA1_PKHA1	colon	Female	6219	1.13163564003242e-262	0.933854824988081	5.37638507207566e-265	0.00443611410001261	0.0617090609118964
12469_19_MAPRE1_MARE1	colon	Female	3795	6.45180316976787e-07	0.989125295370658	1.21924797797507e-09	0.00186913780014447	0.00900492042963128
12475_48_CLIC5_CLIC5	colon	Female	5224	0	0.972560827742959	0	0.0039207947552336	0.0235183775019001
12486_8_GLRX2_GLRX2	colon	Female	5174	7.36787520042853e-239	0.96443467823052	1.42125234113793e-241	0.00186004332422032	0.0337052784452652
12498_12_TAX1BP3_TX1B3	colon	Female	6340	4.8942978902309e-20	0.912524476298734	2.13680805386427e-22	0.00398316787732442	0.0834923558239401
12508_9_VPS24_CHMP3	colon	Female	3432	0.00300474809461656	0.982075882157272	5.29227289944995e-06	0.00172960170117787	0.0131844757740336
12522_6_RAD23B_RD23B	colon	Female	6022	0.00547697416954206	0.837121536118699	1.62171660260378e-05	0.00247714417432897	0.154908128371404
12524_18_SAT2_SAT2	colon	Female	5281	3.40662097261763e-125	0.986983033743058	6.6855775181391e-128	0.0019368676988876	0.0110800985580271
12534_10_CALCOCO2_CACO2	colon	Female	4620	9.92694830915815e-19	0.790113605073398	1.41375145165265e-20	0.0112504572049003	0.198635937721704
12549_33_HPGDS_PTGD2	colon	Female	5472	0	0.984414384043902	0	0.00401345927991	0.0115721566759786
12556_7_UBE2C_UBE2C	colon	Female	5216	8.60957641075211e-56	0.989860775995423	2.20072212489123e-58	0.00253013957409202	0.00760908443048459
12558_3_UBASH3B_UBS3B	colon	Female	5688	4.50356792897117e-41	0.97014595523442	8.35949171427085e-44	0.00180049769244161	0.0280535470731434
12560_9_NT5C_NT5C	colon	Female	5466	0	0.970226047866269	0	0.00191555907328875	0.0278583930605656
12563_2_TNFAIP8_TFIP8	colon	Female	5756	1.341561466741e-83	0.984160900291177	2.36013074612878e-86	0.00173123572182651	0.0141078639870044
12569_25_CCT5_TCP_1_epsilon	colon	Female	6489	0.00111130326219342	0.948904486942976	2.99888857126066e-05	0.0256062576251572	0.0243479632839604
12571_14_ARL3_ARL3	colon	Female	3735	7.27579185477324e-64	0.984615124951185	1.41899169091074e-66	0.00192015211871793	0.0134647229300882
12573_80_TRIM3_TRIM3	colon	Female	7213	1.32203025217497e-31	0.987647872013747	3.53560721632513e-34	0.00264124558188603	0.0097108824043669
12575_30_MTHFD1_C1TC	colon	Female	5370	3.21403894431522e-25	0.988389805610925	9.53160541544629e-28	0.00293109786079388	0.00867909652828016
12594_5_GCA_GRAN	colon	Female	3972	1.40850821361051e-212	0.982528159380108	1.73275347110893e-215	0.00120854815922907	0.0162632924606693
12612_37_PSMB1_PSB1	colon	Female	3256	0	0.981860007106884	0	0.00948414997711782	0.00865584291599013
12620_3_SEPT11_Septin_11	colon	Female	6026	2.55498432747222e-07	0.989852498728173	6.71812785741028e-10	0.00260266288604544	0.00754458221553594
12633_3_PTPN9_PTN9	colon	Female	3465	6.2174238055893e-09	0.417253372825763	2.49194707270734e-11	0.00166654314114848	0.581080077790746
12635_9_TRDMT1_TRDMT	colon	Female	6728	0	0.989362004473526	0	0.00214689608817743	0.00849109943833752
12637_7_CRAT_CACP	colon	Female	4930	5.28949690266328e-18	0.970147708877755	3.21425377622594e-20	0.00589502985308108	0.0239572612691645
12641_3_INPP5B_I5P2	colon	Female	5128	1.24104621123139e-125	0.985605754980114	2.08349155775426e-128	0.00165452595188768	0.0127397190679775
12643_4_ARRB1_ARRB1	colon	Female	4619	4.83312054793185e-12	0.789957721213683	7.80352472409588e-13	0.127545230364702	0.0824970484160025
12646_2_RPE_RPE	colon	Female	5031	3.066355140255e-13	0.989030202917817	5.79783167526154e-16	0.00186995678666554	0.00909984029521184
12656_1_KLC1_KLC1	colon	Female	6043	1.90761234905698e-16	0.980492209418833	7.68626692845312e-19	0.00395050287541173	0.0155572877057576
12659_13_OLA1_GTPB9	colon	Female	5039	1.39875110235802e-53	0.987364879570019	2.84386061357643e-56	0.00200734743401631	0.0106277729959702
12662_82_ECH1_ECH1	colon	Female	5684	4.13761152399235e-221	0.985030713239596	9.7906277417371e-224	0.00233070360426883	0.0126385831561265
12670_15_RAD1_RAD1	colon	Female	5886	0.659801349732367	0.00454793773041844	0.33121170559274	0.00228298409478035	0.00215602284969443
12675_14_DARS_SYDC	colon	Female	3941	7.40999622376768e-07	0.795070784367745	9.02233974912026e-08	0.0968059686655114	0.108122415743724
12677_164_FLII_FLII	colon	Female	3147	1.21108592457065e-13	0.696034737615469	1.63232961270291e-16	0.000935101411945131	0.303030160972463
12682_5_CCBL2_KAT3	colon	Female	4592	1.38397772041052e-265	0.988401054825721	1.7257609842313e-268	0.00123239014705639	0.0103665550272637
12684_5_SCIN_ADSV	colon	Female	9169	2.39509684461502e-21	0.989610792324169	6.62239086424695e-24	0.00273617586172288	0.00765303181410919
12686_15_MPST_THTM	colon	Female	6212	9.75617218563757e-27	0.97611608408557	3.0457610022794e-29	0.00304711003308851	0.0208368058813431
12687_2_DECR1_DECR	colon	Female	4641	6.79276912983454e-09	0.989058018854655	1.05488330923536e-11	0.00153586392011541	0.00940611042191118
