exposure	group	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	lower_ci	upper_ci
BMI	Male	10754_113_PROK2_Prokineticin_2	10754_113	Prokineticin_2	PROK2	191	IVW-MRE	0.151690962749674	0.0326277973194228	3.33333547892681e-06	0.0877404800036053	0.215641445495743
BMI	Male	10760_107_GRIA4_GRIA4	10760_107	GRIA4	GRIA4	191	IVW-MRE	0.135172383486789	0.0318125742947876	2.14704164500676e-05	0.0728197378690053	0.197525029104573
BMI	Male	10866_60_SMEK1_P4R3A	10866_60	P4R3A	SMEK1	191	IVW-MRE	0.203817927649666	0.0286112057554533	1.05060109383784e-12	0.147739964368978	0.259895890930354
BMI	Male	10907_116_NTM_NTRI	10907_116	NTRI	NTM	191	IVW-MRE	-0.170686139970711	0.0400036503969295	1.98328665727867e-05	-0.249093294748693	-0.0922789851927292
BMI	Male	10990_21_LRRK2_LRRK2	10990_21	LRRK2	LRRK2	191	IVW-MRE	0.144713326444024	0.0330146400225115	1.16890820481845e-05	0.0800046319999015	0.209422020888147
BMI	Male	11094_104_CLC_LPPL	11094_104	LPPL	CLC	191	IVW-MRE	0.143284249264802	0.0290854425798768	8.37919670460736e-07	0.0862767818082435	0.200291716721361
BMI	Male	11098_1_PDXK_PDXK	11098_1	PDXK	PDXK	191	IVW-MRE	0.133539936677726	0.0286059051622599	3.03754425231786e-06	0.0774723625596966	0.189607510795755
BMI	Male	11107_25_TENM3_TEN3	11107_25	TEN3	TENM3	191	IVW-MRE	0.143900895077271	0.0295122509641088	1.08274232747844e-06	0.0860568831876178	0.201744906966924
BMI	Male	11117_2_SPATA20_SPT20	11117_2	SPT20	SPATA20	191	IVW-MRE	0.123976442559187	0.0288729037864938	1.75586758128801e-05	0.0673855511376591	0.180567333980715
BMI	Male	11138_16_RUNX3_RUNX3	11138_16	RUNX3	RUNX3	191	IVW-MRE	0.136312613540875	0.0282026805289786	1.3427388204803e-06	0.081035359704077	0.191589867377673
BMI	Male	11146_4_TBX22_TBX22	11146_4	TBX22	TBX22	191	IVW-MRE	0.138447148728888	0.0292397036464581	2.19160324997683e-06	0.0811373295818301	0.195756967875946
BMI	Male	11164_7_TENM2_TEN2	11164_7	TEN2	TENM2	191	IVW-MRE	0.120885326036989	0.0285603055897779	2.30970013657901e-05	0.0649071270810243	0.176863524992954
BMI	Male	11175_45_LPCAT2_PCAT2	11175_45	PCAT2	LPCAT2	191	IVW-MRE	0.14268290369443	0.029638014832069	1.47801407987497e-06	0.0845923946235748	0.200773412765285
BMI	Male	11185_145_GCH1_GCH1	11185_145	GCH1	GCH1	191	IVW-MRE	0.120034519283864	0.0289869597558827	3.45819983761576e-05	0.0632200781623339	0.176848960405394
BMI	Male	11196_31_COL6A3_Collagen_alpha_3_VI_	11196_31	Collagen_alpha_3_VI_	COL6A3	191	IVW-MRE	0.228821209282175	0.0320485318657931	9.34434469370097e-13	0.166006086825221	0.29163633173913
BMI	Male	11198_37_CREB3L1_CR3L1	11198_37	CR3L1	CREB3L1	191	IVW-MRE	0.126328741033537	0.0293298381945357	1.6535291067252e-05	0.068842258172247	0.183815223894827
BMI	Male	11202_70_TBX5_TBX5	11202_70	TBX5	TBX5	191	IVW-MRE	0.137003430670421	0.0288848230476928	2.10478550332944e-06	0.0803891774969431	0.193617683843899
BMI	Male	11208_15_NAGPA_NAGPA	11208_15	NAGPA	NAGPA	191	IVW-MRE	-0.168992798152929	0.0319658751854524	1.2456806380103e-07	-0.231645913516416	-0.106339682789442
BMI	Male	11214_40_DNAJB9_DNJB9	11214_40	DNJB9	DNAJB9	191	IVW-MRE	0.213553111699788	0.0308515397903837	4.45438328662207e-12	0.153084093710636	0.27402212968894
BMI	Male	11220_53_C10orf105_CJ105	11220_53	CJ105	C10orf105	191	IVW-MRE	0.154154936946118	0.0291238455606348	1.20271184003406e-07	0.0970721996472738	0.211237674244962
BMI	Male	11239_49_TMPRSS6_TMPS6	11239_49	TMPS6	TMPRSS6	191	IVW-MRE	0.166567599814879	0.0313021906657695	1.03041862423222e-07	0.105215306109971	0.227919893519787
BMI	Male	11247_20_NAGS_NAGS	11247_20	NAGS	NAGS	191	IVW-MRE	0.14689346858955	0.0282568500284449	2.0089418745843e-07	0.091510042533798	0.202276894645302
BMI	Male	11263_57_CASQ1_CASQ1	11263_57	CASQ1	CASQ1	191	IVW-MRE	0.180290787909521	0.0323248060004163	2.44035251914541e-08	0.116934168148705	0.243647407670337
BMI	Male	11270_17_CHCHD10_CHC10	11270_17	CHC10	CHCHD10	191	IVW-MRE	0.143888157271638	0.0301691187824818	1.84788750782531e-06	0.0847566844579737	0.203019630085302
BMI	Male	11280_6_GAD1_DCE1	11280_6	DCE1	GAD1	191	IVW-MRE	0.116130738580666	0.0269896224505543	1.68658974131374e-05	0.0632310785775796	0.169030398583752
BMI	Male	11284_24_LAIR1_LAIR1	11284_24	LAIR1	LAIR1	191	IVW-MRE	0.134311262176059	0.0276700901406431	1.20981514126005e-06	0.0800778855003985	0.188544638851719
BMI	Male	11311_79_RAG1_RAG_1	11311_79	RAG_1	RAG1	191	IVW-MRE	0.123735624419566	0.0282116670782382	1.15468175384953e-05	0.0684407569462191	0.179030491892913
BMI	Male	11313_100_PCBD1_PHS	11313_100	PHS	PCBD1	191	IVW-MRE	0.165577091699372	0.0323609716459914	3.11146176167414e-07	0.102149587273229	0.229004596125515
BMI	Male	11320_29_CHFR_CHFR	11320_29	CHFR	CHFR	191	IVW-MRE	0.141204871960018	0.0290609482386124	1.18026796978439e-06	0.0842454134123377	0.198164330507698
BMI	Male	11324_3_PXDNL_PXDNL	11324_3	PXDNL	PXDNL	191	IVW-MRE	0.122563416723741	0.0297301120456416	3.74726240343761e-05	0.0642923971142835	0.180834436333199
BMI	Male	11330_15_CSNK2B_CSK2B	11330_15	CSK2B	CSNK2B	191	IVW-MRE	0.126762815796948	0.0292772214296033	1.49284125144691e-05	0.0693794617949255	0.18414616979897
BMI	Male	11334_7_LILRB3_LIRB3	11334_7	LIRB3	LILRB3	191	IVW-MRE	0.116397471393496	0.0282347700530476	3.74803832409017e-05	0.0610573220895227	0.171737620697469
BMI	Male	11348_132_P4HA2_P4HA2	11348_132	P4HA2	P4HA2	191	IVW-MRE	0.13199696070607	0.0297409400796453	9.07041027026774e-06	0.0737047181499652	0.190289203262175
BMI	Male	11352_42_TTN_TITIN	11352_42	TITIN	TTN	191	IVW-MRE	0.134626202308902	0.0284979784125647	2.31180468058898e-06	0.0787701646202752	0.190482239997529
BMI	Male	11365_17_TENM4_TEN4	11365_17	TEN4	TENM4	191	IVW-MRE	0.116687928147668	0.0268195687859849	1.35610634273916e-05	0.0641215733271376	0.169254282968198
BMI	Male	11371_1_GPR101_GP101	11371_1	GP101	GPR101	191	IVW-MRE	0.124555548437362	0.0266398177570024	2.9318032178619e-06	0.0723415056336373	0.176769591241087
BMI	Male	11387_3_ATF6B_ATF6B	11387_3	ATF6B	ATF6B	191	IVW-MRE	0.200131679869121	0.0305675389631257	5.86272574478648e-11	0.140219303501395	0.260044056236847
BMI	Male	11407_57_PLSCR3_PLS3	11407_57	PLS3	PLSCR3	191	IVW-MRE	0.12194569173472	0.0274249557550318	8.72713981928774e-06	0.0681927784548577	0.175698605014582
BMI	Male	11424_4_FAH_FAAA	11424_4	FAAA	FAH	191	IVW-MRE	0.148156934976268	0.0302449325731622	9.65363936983996e-07	0.0888768671328701	0.207437002819666
BMI	Male	11432_11_PQBP1_PQBP1	11432_11	PQBP1	PQBP1	191	IVW-MRE	0.120768038125471	0.0291785590606682	3.48928098733047e-05	0.0635780623665613	0.177958013884381
BMI	Male	11436_6_INA_AINX	11436_6	AINX	INA	191	IVW-MRE	0.149851590743838	0.0308046700178124	1.1470370223703e-06	0.0894744375089257	0.21022874397875
BMI	Male	11440_58_SOCS3_SOCS_3	11440_58	SOCS_3	SOCS3	191	IVW-MRE	0.191497352670313	0.0320206166450196	2.22536707082188e-09	0.128736944046075	0.254257761294551
BMI	Male	11462_8_RBFOX2_RBM9	11462_8	RBM9	RBFOX2	191	IVW-MRE	0.142350896096782	0.0263168416612416	6.3335968983456e-08	0.0907698864407485	0.193931905752816
BMI	Male	11547_84_MUSK_MUSK	11547_84	MUSK	MUSK	191	IVW-MRE	0.15965385061195	0.0337473405837433	2.23573708952383e-06	0.0935090630678131	0.225798638156087
BMI	Male	11556_19_ARFGAP1_ARFG1	11556_19	ARFG1	ARFGAP1	191	IVW-MRE	0.168029174027182	0.0382878545922306	1.14095068230446e-05	0.09298497902641	0.243073369027954
BMI	Male	11557_3_SMURF1_SMUF1	11557_3	SMUF1	SMURF1	191	IVW-MRE	0.127121415567141	0.0283149938893821	7.13757485205938e-06	0.0716240275439521	0.18261880359033
BMI	Male	11560_76_NFATC4_NFAC4	11560_76	NFAC4	NFATC4	191	IVW-MRE	0.128327394904404	0.0270181105082479	2.03738193133243e-06	0.0753718983082381	0.18128289150057
BMI	Male	11567_23_ZNF10_ZNF10	11567_23	ZNF10	ZNF10	191	IVW-MRE	0.140836319634921	0.0297715845665169	2.23899390538992e-06	0.0824840138845479	0.199188625385294
BMI	Male	11573_3_SRSF6_SRSF6	11573_3	SRSF6	SRSF6	191	IVW-MRE	0.211495008743124	0.0318390233826615	3.08124373629269e-11	0.149090522913107	0.273899494573141
BMI	Male	11590_5_RBM23_RBM23	11590_5	RBM23	RBM23	191	IVW-MRE	0.185621511760856	0.0293207541019408	2.44018338628297e-10	0.128152833721052	0.24309018980066
BMI	Male	11591_43_PRC1_PRC1	11591_43	PRC1	PRC1	191	IVW-MRE	0.117108701670013	0.0284234985485942	3.78647554040476e-05	0.0613986445147684	0.172818758825258
BMI	Male	11593_21_CXCL9_MIG	11593_21	MIG	CXCL9	191	IVW-MRE	0.128328598257839	0.0290485181242199	9.97415063777225e-06	0.071393502734368	0.18526369378131
BMI	Male	11601_26_DHX8_DHX8	11601_26	DHX8	DHX8	191	IVW-MRE	0.126845323173506	0.0307800924093694	3.77201507834135e-05	0.066516342051142	0.18717430429587
BMI	Male	11607_15_BRD1_BRD1	11607_15	BRD1	BRD1	191	IVW-MRE	0.130931920106325	0.0284762100327974	4.26687751974258e-06	0.0751185484420421	0.186745291770608
BMI	Male	11616_9_HSF1_HSF1	11616_9	HSF1	HSF1	191	IVW-MRE	0.120541522434898	0.0290394017273727	3.3107728190672e-05	0.0636242950492475	0.177458749820548
BMI	Male	11617_1_ITGAL_LFA_1_alpha_L_chain	11617_1	LFA_1_alpha_L_chain	ITGAL	191	IVW-MRE	0.140544156944852	0.0286411177862551	9.24439676918895e-07	0.084407566083792	0.196680747805912
BMI	Male	11618_83_MYB_MYB	11618_83	MYB	MYB	191	IVW-MRE	0.15907713956711	0.0259651380352892	8.97958010803087e-10	0.108185469017943	0.209968810116277
BMI	Male	11667_29_TNS2_TENC1	11667_29	TENC1	TNS2	191	IVW-MRE	0.124244401471255	0.0288182928600421	1.62295100207032e-05	0.0677605474655725	0.180728255476937
BMI	Male	11671_19_BRPF1_BRPF1	11671_19	BRPF1	BRPF1	191	IVW-MRE	0.136570457379896	0.0288797560754322	2.25701849344122e-06	0.0799661354720489	0.193174779287743
BMI	Male	11672_17_KIF16B_KI16B	11672_17	KI16B	KIF16B	191	IVW-MRE	0.133475670678948	0.0305591809208459	1.25517870561694e-05	0.07357967607409	0.193371665283806
BMI	Male	11690_47_ANAPC7_APC7	11690_47	APC7	ANAPC7	191	IVW-MRE	0.148537150564997	0.02740428395764	5.9526919978067e-08	0.0948247540080226	0.202249547121971
BMI	Male	11692_21_SHC4_SHC4	11692_21	SHC4	SHC4	191	IVW-MRE	0.133761865351517	0.0280172595165576	1.80363353590924e-06	0.0788480366990641	0.18867569400397
BMI	Male	11696_7_CRABP2_RABP2	11696_7	RABP2	CRABP2	191	IVW-MRE	0.212836015929743	0.0317596343263843	2.06343036157134e-11	0.15058713265003	0.275084899209456
BMI	Male	11715_1_POU2F1_PO2F1	11715_1	PO2F1	POU2F1	191	IVW-MRE	0.130710113262886	0.0268392863441505	1.11539579189905e-06	0.078105112028351	0.183315114497421
BMI	Male	11872_9_PCDHGB1_PCDGD	11872_9	PCDGD	PCDHGB1	191	IVW-MRE	0.148451199299745	0.0286363191233398	2.17155737457531e-07	0.092324013817999	0.204578384781491
BMI	Male	11952_1_IGDCC3_IGDC3	11952_1	IGDC3	IGDCC3	191	IVW-MRE	0.129664286719857	0.0285367679205455	5.52590004523898e-06	0.0737322215955878	0.185596351844126
BMI	Male	11955_1_ARHGAP1_RHG01	11955_1	RHG01	ARHGAP1	191	IVW-MRE	0.124581866318602	0.0270824820287888	4.22307577380773e-06	0.071500201542176	0.177663531095028
BMI	Male	12329_21_RPS6KA1_KS6A1	12329_21	KS6A1	RPS6KA1	191	IVW-MRE	0.110957027745119	0.0261528662758065	2.20912003253673e-05	0.0596974098445383	0.1622166456457
BMI	Male	12370_30_APOF_Apo_F	12370_30	Apo_F	APOF	191	IVW-MRE	-0.211087093664772	0.0340597579586557	5.73483879938982e-10	-0.277844219263737	-0.144329968065807
BMI	Male	12373_73_TRA2B_TRA2B	12373_73	TRA2B	TRA2B	191	IVW-MRE	0.234183175764487	0.0302418541573545	9.65815426379762e-15	0.174909141616072	0.293457209912902
BMI	Male	12389_4_ORC6L_ORC6	12389_4	ORC6	ORC6L	191	IVW-MRE	0.120554388672849	0.0289481109294057	3.1203653838717e-05	0.0638160912512138	0.177292686094484
BMI	Male	12400_25_UBE2T_UBE2T	12400_25	UBE2T	UBE2T	191	IVW-MRE	0.140312773605763	0.0297533721621163	2.40690473070678e-06	0.0819961641680151	0.198629383043511
BMI	Male	12403_30_RAB39B_RB39B	12403_30	RB39B	RAB39B	191	IVW-MRE	0.13949257839627	0.0275755964342685	4.22452866619535e-07	0.0854444093851037	0.193540747407436
BMI	Male	12417_46_TPRKB_TPRKB	12417_46	TPRKB	TPRKB	191	IVW-MRE	0.128379453481824	0.0303968089058606	2.40588976028754e-05	0.0688017080263372	0.187957198937311
BMI	Male	12437_18_ULK3_ULK3	12437_18	ULK3	ULK3	191	IVW-MRE	0.123907990659508	0.0281161288471608	1.04808561092769e-05	0.0688003781190728	0.179015603199943
BMI	Male	12438_127_MPG_3MG	12438_127	3MG	MPG	191	IVW-MRE	0.126949723450768	0.0274911757052973	3.87763690801191e-06	0.0730670190683853	0.180832427833151
BMI	Male	12452_32_SUV420H2_SV422	12452_32	SV422	SUV420H2	191	IVW-MRE	0.130406772764213	0.0295573386237164	1.02423399171596e-05	0.0724743890617289	0.188339156466697
BMI	Male	12455_48_MYNN_MYNN	12455_48	MYNN	MYNN	191	IVW-MRE	0.13798868593881	0.0273005668270455	4.31687824717838e-07	0.0844795749578008	0.191497796919819
BMI	Male	12463_7_KLHL13_KLH13	12463_7	KLH13	KLHL13	191	IVW-MRE	0.13500923690026	0.0288994575734192	2.98735112297725e-06	0.0783663000563584	0.191652173744162
BMI	Male	12471_47_STAU1_STAU1	12471_47	STAU1	STAU1	191	IVW-MRE	0.142252104476127	0.0303157682368142	2.70088497230416e-06	0.0828331987319712	0.201671010220283
BMI	Male	12473_48_KCTD5_KCTD5	12473_48	KCTD5	KCTD5	191	IVW-MRE	0.119896781622204	0.0288034572682951	3.14667703415327e-05	0.0634420053763456	0.176351557868062
BMI	Male	12476_50_TIGAR_TIGAR	12476_50	TIGAR	TIGAR	191	IVW-MRE	0.125497567361294	0.0285760583637928	1.12466150077891e-05	0.0694884929682601	0.181506641754328
BMI	Male	12478_15_RPL30_RL30	12478_15	RL30	RPL30	191	IVW-MRE	0.184818903932818	0.0275698711725169	2.03269902223371e-11	0.130781956434685	0.238855851430951
BMI	Male	12488_9_MCTS1_MCTS1	12488_9	MCTS1	MCTS1	191	IVW-MRE	0.1672284734087	0.0286266281134878	5.16675448687334e-09	0.111120282306264	0.223336664511136
BMI	Male	12503_5_GPR68_SPR1	12503_5	SPR1	GPR68	191	IVW-MRE	0.144595937425839	0.0297150856153728	1.13834353669713e-06	0.0863543696197083	0.20283750523197
BMI	Male	12510_3_STAP1_STAP1	12510_3	STAP1	STAP1	191	IVW-MRE	0.17500759420206	0.0290457208386777	1.68853286856752e-09	0.118077981358252	0.231937207045868
BMI	Male	12516_13_TEAD4_TEAD4	12516_13	TEAD4	TEAD4	191	IVW-MRE	0.130824405741658	0.0274650563569977	1.90448833973998e-06	0.0769928952819425	0.184655916201373
BMI	Male	12527_50_THRA_THA	12527_50	THA	THRA	191	IVW-MRE	0.133091350906725	0.0279822989212836	1.97203307939935e-06	0.0782460450210091	0.187936656792441
BMI	Male	12528_40_WRNIP1_WRIP1	12528_40	WRIP1	WRNIP1	191	IVW-MRE	0.121172499373074	0.0291968310501206	3.32194278920995e-05	0.0639467105148376	0.17839828823131
BMI	Male	12533_135_CYTH2_CYH2	12533_135	CYH2	CYTH2	191	IVW-MRE	0.125566907491916	0.0299988419490064	2.84257132602339e-05	0.0667691772718635	0.184364637711969
BMI	Male	12534_10_CALCOCO2_CACO2	12534_10	CACO2	CALCOCO2	191	IVW-MRE	0.129222152007365	0.0297513373753397	1.40290203479898e-05	0.0709095307516992	0.187534773263031
BMI	Male	12540_25_RHOG_RHOG	12540_25	RHOG	RHOG	191	IVW-MRE	0.121410707346543	0.029144251123287	3.10188608573908e-05	0.0642879751449005	0.178533439548186
BMI	Male	12553_5_VRK1_VRK1	12553_5	VRK1	VRK1	191	IVW-MRE	0.121707376945406	0.027368367077073	8.70741579126366e-06	0.0680653774743429	0.175349376416469
BMI	Male	12572_236_EFS_EFS	12572_236	EFS	EFS	191	IVW-MRE	0.175941979134081	0.0345489187943413	3.53285833120118e-07	0.108226098297172	0.24365785997099
BMI	Male	12574_36_EDN2_Endothelin_2	12574_36	Endothelin_2	EDN2	191	IVW-MRE	0.135254626544802	0.0280838634750906	1.46392964898982e-06	0.0802102541336244	0.19029899895598
BMI	Male	12594_5_GCA_GRAN	12594_5	GRAN	GCA	191	IVW-MRE	0.12660311217523	0.0278603425558144	5.51429332484621e-06	0.0719968407658338	0.181209383584626
BMI	Male	12618_50_AKR1C1_Aldo_keto_reductase_1C1	12618_50	Aldo_keto_reductase_1C1	AKR1C1	191	IVW-MRE	0.126171188236969	0.0287424313809749	1.13497387707289e-05	0.0698360227302582	0.18250635374368
BMI	Male	12626_6_SENP7_SENP7	12626_6	SENP7	SENP7	191	IVW-MRE	0.119711635145195	0.0278749494461735	1.75012058239743e-05	0.0650767342306949	0.174346536059695
BMI	Male	12632_14_NAT1_ARY1	12632_14	ARY1	NAT1	191	IVW-MRE	0.15457873213061	0.0294981740211262	1.60331930791957e-07	0.0967623110492026	0.212395153212017
BMI	Male	12661_44_GABARAPL1_GBRL1	12661_44	GBRL1	GABARAPL1	191	IVW-MRE	0.178111377344299	0.0284026564528948	3.5887304198183e-10	0.122442170696625	0.233780583991973
BMI	Male	12664_19_PTPN13_PTN13	12664_19	PTN13	PTPN13	191	IVW-MRE	0.131464263500588	0.0274838092800563	1.72410530394658e-06	0.0775959973116777	0.185332529689498
BMI	Male	12678_66_SNRPA_SNRPA	12678_66	SNRPA	SNRPA	191	IVW-MRE	0.123578294494988	0.0281394376818171	1.1249859551931e-05	0.0684249966386265	0.178731592351349
BMI	Male	12683_156_DPYSL5_DPYL5	12683_156	DPYL5	DPYSL5	191	IVW-MRE	0.128722915945102	0.0289380122739086	8.65810492328272e-06	0.0720044118882411	0.185441420001963
BMI	Male	12700_9_ACLY_ACLY	12700_9	ACLY	ACLY	191	IVW-MRE	0.127365683033376	0.0284787356349887	7.73797928547387e-06	0.0715473611887981	0.183184004877954
BMI	Male	12705_9_HERC1_HERC1	12705_9	HERC1	HERC1	191	IVW-MRE	0.121562875383679	0.0275725497634942	1.03927243816038e-05	0.0675206778472304	0.175605072920128
BMI	Male	12712_9_HMG20A_HM20A	12712_9	HM20A	HMG20A	191	IVW-MRE	0.129350353941447	0.0302627158389454	1.91783439594508e-05	0.070035430897114	0.18866527698578
BMI	Male	12716_3_ZNF175_ZN175	12716_3	ZN175	ZNF175	191	IVW-MRE	0.132826583356376	0.029997371338068	9.51370195500348e-06	0.0740317355337627	0.191621431178989
BMI	Male	12721_4_TAX1BP1_TAXB1	12721_4	TAXB1	TAX1BP1	191	IVW-MRE	0.123135894615894	0.029353252594162	2.72912604466538e-05	0.0656035195313365	0.180668269700452
BMI	Male	12735_39_CSDE1_CSDE1	12735_39	CSDE1	CSDE1	191	IVW-MRE	0.1178650320945	0.0284478147716182	3.42490597549359e-05	0.0621073151421283	0.173622749046872
BMI	Male	12738_43_NISCH_NISCH	12738_43	NISCH	NISCH	191	IVW-MRE	0.121763633240191	0.0291812848629095	3.01061631806245e-05	0.0645683149088884	0.178958951571494
BMI	Male	12743_18_BAG5_BAG5	12743_18	BAG5	BAG5	191	IVW-MRE	0.124885446462459	0.0278099033087195	7.09953098294711e-06	0.0703780359773688	0.179392856947549
BMI	Male	12750_9_ITGB2_LFA_1_beta_2	12750_9	LFA_1_beta_2	ITGB2	191	IVW-MRE	0.145765655090994	0.0292392216363146	6.18727113398134e-07	0.0884567806838174	0.203074529498171
BMI	Male	12751_26_ZHX1_ZHX1	12751_26	ZHX1	ZHX1	191	IVW-MRE	0.144088363097528	0.0280899874624134	2.90470340982348e-07	0.0890319876711977	0.199144738523858
BMI	Male	12758_47_GRID2_GRID2	12758_47	GRID2	GRID2	191	IVW-MRE	-0.128093654872031	0.030433418147379	2.56525846817649e-05	-0.187743154440894	-0.0684441553031682
BMI	Male	12759_47_ILF3_DRBP76	12759_47	DRBP76	ILF3	191	IVW-MRE	0.224634844413797	0.0273396246466393	2.09603954279508e-16	0.171049180106384	0.27822050872121
BMI	Male	12771_19_ZNF180_ZN180	12771_19	ZN180	ZNF180	191	IVW-MRE	0.120888400027817	0.0277603140189663	1.33236994090749e-05	0.0664781845506431	0.175298615504991
BMI	Male	12775_6_HMGB3_HMGB3	12775_6	HMGB3	HMGB3	191	IVW-MRE	0.139651977082207	0.0292648452723403	1.82401311895609e-06	0.08229288034842	0.197011073815994
BMI	Male	12795_2_ZNF566_ZN566	12795_2	ZN566	ZNF566	191	IVW-MRE	0.13492119833647	0.0309567523838124	1.31030514940466e-05	0.0742459636641977	0.195596433008742
BMI	Male	12801_33_IRF2_IRF2	12801_33	IRF2	IRF2	191	IVW-MRE	0.128906820318336	0.0282735880689929	5.13326188399303e-06	0.0734905877031099	0.184323052933562
BMI	Male	12803_9_ZNF329_ZN329	12803_9	ZN329	ZNF329	191	IVW-MRE	0.14118833397953	0.0281706180091333	5.38950768235713e-07	0.0859739226816287	0.196402745277431
