adiposity	sequence_id	protein	gene	group	b_adiposity_protein	cancer	OR_protein_cancer
BMI	7060_2	ERO1A	ERO1L	Male	0.12328861642185	proximal	1.11879084562912
BMI	7069_9	TSNA1	TSNARE1	Male	0.132840073074021	colon	1.20205825500378
BMI	7090_17	GALT1	GALNT1	Male	0.145872242037266	colon	1.51486344562811
BMI	7090_17	GALT1	GALNT1	Male	0.145872242037266	proximal	1.73538345412059
BMI	7132_55	C1QL4	C1QL4	Male	0.113789144472038	proximal	1.14684844755827
BMI	7231_37	TM11A	TMPRSS11A	Male	0.13439286078538	distal	1.22644028964883
BMI	7886_26	SPTC1	SPTLC1	Male	0.145005640356534	overall	1.16232568633796
BMI	9012_1	PRP6	PRPF6	Male	0.120477006669861	colon	1.22095336463865
BMI	9829_91	SULT_2A1	SULT2A1	Male	0.14725487180512	rectal	1.09960665555922
BMI	10015_119	KCAB2	KCNAB2	Female	0.142294655277507	proximal	1.51255768309872
BMI	10063_10	FANCL	FANCL	Female	0.140557919873985	proximal	1.18592733191856
BMI	10063_10	FANCL	FANCL	Female	0.140557919873985	rectal	1.0901115256762
BMI	10425_3	B4GT5	B4GALT5	Female	0.16476057118612	rectal	1.2564467720144
BMI	10490_3	RPN1	RPN1	Female	0.184250721312043	overall	1.16112453382067
BMI	10563_13	LYSM3	LYSMD3	Female	0.143799169029817	proximal	1.28824655905478
BMI	10618_190	megalin	LRP2	Female	0.16174699280486	proximal	1.20470285466067
BMI	10618_190	megalin	LRP2	Female	0.16174699280486	rectal	1.07131173554398
BMI	10842_7	GCNT4	GCNT4	Female	0.152179630479404	rectal	1.18845241174351
BMI	11112_18	KISHA	TMEM167A	Female	0.128524685540338	proximal	1.71595768969959
BMI	11126_102	TRIO	TRIO	Female	0.114082868150935	distal	1.89578668365157
BMI	11146_4	TBX22	TBX22	Female	0.176944102096093	proximal	1.3275527043179
BMI	11149_3	TLR1	TLR1	Female	0.169333944141427	rectal	1.11020692059121
BMI	11155_16	CO6A5	COL6A5	Female	0.122496705099744	proximal	1.46612796805212
BMI	11168_3	MEG10	MEGF10	Female	0.135479078459903	proximal	1.17258388123765
BMI	11205_10	Integrin_beta_7	ITGB7	Female	0.138174115427314	proximal	1.43874759041771
BMI	11284_24	LAIR1	LAIR1	Female	0.169560519262265	proximal	1.3035170762632
BMI	11289_31	KC1D	CSNK1D	Female	0.142375879425949	rectal	1.16763718323058
BMI	11350_30	CHIP	STUB1	Female	0.114401033837802	colon	1.33717062066381
BMI	11350_30	CHIP	STUB1	Female	0.114401033837802	distal	1.33714214965394
BMI	11486_26	ZN174	ZNF174	Female	0.159386632262333	proximal	1.3587793926843
BMI	11591_43	PRC1	PRC1	Female	0.149062816382303	proximal	1.32065259421571
BMI	11592_1	ELAV1	ELAVL1	Female	0.14988221735755	proximal	1.2518113705133
BMI	11593_21	MIG	CXCL9	Female	0.177871705590063	proximal	1.30906096727749
BMI	11667_29	TENC1	TNS2	Female	0.150551924386704	rectal	1.21459324682302
BMI	12361_102	RRAS2	RRAS2	Female	0.119667154585173	colon	1.13912502818683
BMI	12366_16	CRGD	CRYGD	Female	0.120121925524049	proximal	1.30582825915016
BMI	12444_39	NR5A2	NR5A2	Female	0.132248644212335	proximal	1.50625029606075
BMI	12513_8	GLTP	GLTP	Female	0.112648586559732	proximal	1.30215607173675
BMI	12513_8	GLTP	GLTP	Female	0.112648586559732	rectal	1.17479431657833
BMI	12636_113	SMYD2	SMYD2	Female	0.132123646529112	rectal	1.40524721352315
BMI	12647_52	SETD2	SETD2	Female	0.124876271224574	proximal	1.51802744851243
BMI	12661_44	GBRL1	GABARAPL1	Female	0.235457579083496	overall	1.11699064286421
BMI	12661_44	GBRL1	GABARAPL1	Female	0.235457579083496	colon	1.19045940073674
BMI	12664_19	PTN13	PTPN13	Female	0.182800709324904	proximal	1.43910765261547
BMI	12705_9	HERC1	HERC1	Female	0.129662767652233	distal	2.19997158804612
BMI	12705_9	HERC1	HERC1	Female	0.129662767652233	rectal	1.4449244364139
BMI	12712_9	HM20A	HMG20A	Female	0.178513218739125	proximal	1.40116162014253
BMI	12735_39	CSDE1	CSDE1	Female	0.174600536154386	proximal	1.47090540673614
BMI	12743_18	BAG5	BAG5	Female	0.175294096832333	colon	1.11041148153781
BMI	12743_18	BAG5	BAG5	Female	0.175294096832333	proximal	1.37502474099892
BMI	12750_9	LFA_1_beta_2	ITGB2	Female	0.209924463272947	proximal	1.19091691787653
BMI	12795_2	ZN566	ZNF566	Female	0.199893828272562	proximal	1.31195204802902
BMI	12798_46	S4A8	SLC4A8	Female	0.169358966655457	proximal	1.15788294449007
BMI	12801_33	IRF2	IRF2	Female	0.163183728425194	distal	1.41300781357735
BMI	12801_33	IRF2	IRF2	Female	0.163183728425194	rectal	2.17823827258045
BMI	12820_1	GRAP	GRAP	Female	0.117244685727407	proximal	1.25175427517492
BMI	12867_40	DYLT3	DYNLT3	Female	0.136639720630684	rectal	1.07858402568892
BMI	13412_5	WFDC6	WFDC6	Female	0.141746047883281	overall	1.13845293229416
BMI	13481_24	TCEA2	TCEA2	Female	0.186747519008427	rectal	1.12072201869736
BMI	13532_25	NEPR1	CNEP1R1	Female	0.154638054396085	proximal	1.35911322853604
BMI	13535_2	C43BP	COL4A3BP	Female	0.125523290217888	distal	1.36372635063181
BMI	13561_5	5HT6R	HTR6	Female	0.220952828971644	overall	1.01517254499999
BMI	13563_259	ACBD7	ACBD7	Female	0.126203005465741	proximal	1.26514025700621
BMI	13947_371	NUD12	NUDT12	Female	0.134052733687576	overall	1.04770656374919
BMI	13947_371	NUD12	NUDT12	Female	0.134052733687576	colon	1.08780889384328
BMI	14192_31	PDCL2	PDCL2	Female	0.147364096070132	rectal	1.18221522703275
BMI	14227_21	MYL6B	MYL6B	Female	0.148488198483712	rectal	1.17011992212603
BMI	15331_47	RBBP4	RBBP4	Female	0.228939928406137	colon	1.45607263572204
BMI	15331_47	RBBP4	RBBP4	Female	0.228939928406137	distal	1.54422736357155
BMI	15331_47	RBBP4	RBBP4	Female	0.228939928406137	proximal	1.49674618081503
BMI	15372_43	BRD2	BRD2	Female	0.164995468869933	proximal	1.27035452786792
BMI	15381_45	Discoidin_domain_receptor_2	DDR2	Female	0.211909664188073	proximal	1.74540088891349
BMI	15405_23	IFNA4	IFNA4	Female	0.148244566736444	rectal	1.09277768539693
BMI	15567_2	CD3_zeta	CD247	Female	0.170864819576584	proximal	1.32554715265593
BMI	15666_21	BMP_2	BMP2	Female	0.152924436189051	proximal	1.33620999664004
BMI	15692_300	NODAL	NODAL	Female	0.15587346647553	proximal	1.35801724331019
BMI	16293_1	Growth_hormone_releasing_factor	GHRH	Female	0.107629772895472	rectal	1.31647315949788
BMI	16932_5	SULT_1E	SULT1E1	Female	0.139766657515603	proximal	1.21228921711229
BMI	16932_5	SULT_1E	SULT1E1	Female	0.139766657515603	rectal	1.07376886868082
BMI	17204_17	PNMT	PNMT	Female	0.119535609974533	proximal	1.25767972733066
BMI	17474_106	YETS4	YEATS4	Female	0.160874820958862	proximal	1.30621241684739
BMI	17509_6	HPPD	HPD	Female	0.13517485562884	rectal	1.27796376754161
BMI	17785_11	RCL	RCL	Female	0.158871963418536	overall	1.16615092178841
BMI	17797_1	CUL1	CUL1	Female	0.137820333096695	proximal	1.1620049877292
BMI	17797_1	CUL1	CUL1	Female	0.137820333096695	rectal	1.0572727610752
BMI	17805_35	SPF30	SMNDC1	Female	0.161746902314688	distal	1.6283277413751
BMI	17850_42	KLF4	KLF4	Female	0.143493359981904	proximal	1.2983163377037
BMI	17850_42	KLF4	KLF4	Female	0.143493359981904	rectal	1.10185334539863
BMI	18170_46	P5CR1	PYCR1	Female	0.145010199202063	rectal	1.17021336565358
BMI	18177_49	ULA1	NAE1	Female	0.158873134349756	rectal	1.05961741931479
BMI	18348_89	HNRPD	HNRNPD	Female	0.134321153049057	distal	1.38135225653443
BMI	18389_11	IFNA1	IFNA1	Female	0.156580855779574	proximal	1.29328690512236
BMI	18398_1	AK1D1	AKR1D1	Female	0.311876757773838	distal	1.71507892375669
BMI	18876_77	CHST4	CHST4	Female	0.175233622832889	proximal	1.56404388560223
BMI	18878_15	GREM1	GREM1	Female	0.138588330176619	overall	1.21187818797941
BMI	18878_15	GREM1	GREM1	Female	0.138588330176619	colon	1.20765775383568
BMI	18878_15	GREM1	GREM1	Female	0.138588330176619	distal	1.2135799186769
BMI	18878_15	GREM1	GREM1	Female	0.138588330176619	proximal	1.20719424794982
BMI	18878_15	GREM1	GREM1	Female	0.138588330176619	rectal	1.33141333563564
BMI	18904_23	KCC4	CAMK4	Female	0.133353337570413	proximal	1.28723864950714
BMI	18904_23	KCC4	CAMK4	Female	0.133353337570413	rectal	1.09934876819625
BMI	18913_3	p34_protein_kinase	CDC2	Female	0.133565323508018	overall	1.01673859258538
BMI	18913_3	p34_protein_kinase	CDC2	Female	0.133565323508018	proximal	1.05779256820134
BMI	19123_6	IKBD	NFKBID	Female	0.170221110736919	rectal	1.0780122435319
BMI	19166_15	RS19	RPS19	Female	0.213625364195159	proximal	1.17019552425311
BMI	19170_25	DPOE3	POLE3	Female	0.140434242915283	rectal	1.07812085371206
BMI	19176_27	FA49B	FAM49B	Female	0.157466292787393	distal	1.73964256561282
BMI	19190_4	UB2L6	UBE2L6	Female	0.177161958936268	overall	1.13563923763139
BMI	19190_4	UB2L6	UBE2L6	Female	0.177161958936268	proximal	1.20231170443385
BMI	19195_85	RS5	RPS5	Female	0.202741198805169	proximal	1.21480224830363
BMI	19215_7	NDRG1	NDRG1	Female	0.133746903701232	proximal	1.21388002114526
BMI	19225_11	BLNK	BLNK	Female	0.179466795415214	proximal	1.33752167362531
BMI	19243_2	PFD2	PFDN2	Female	0.146442418143042	proximal	1.31077664434184
BMI	19280_29	UB2D3	UBE2D3	Female	0.213615678450739	overall	1.05739463586501
BMI	19311_15	CRBS	CRYGS	Female	0.15130934912623	proximal	1.55505571932745
BMI	19376_74	NNMT	NNMT	Female	0.128629896089401	overall	1.11865667371482
BMI	19376_74	NNMT	NNMT	Female	0.128629896089401	colon	1.08460437873988
BMI	19376_74	NNMT	NNMT	Female	0.128629896089401	proximal	1.25865668039633
BMI	19376_74	NNMT	NNMT	Female	0.128629896089401	rectal	1.15847371886547
BMI	19467_3	RBSK	RBKS	Female	0.176710449296752	proximal	1.17803361382576
BMI	19467_3	RBSK	RBKS	Female	0.176710449296752	rectal	1.06178822482928
BMI	2447_7	GIIE	PLA2G2E	Female	0.151763417015923	proximal	1.25909201356348
BMI	2614_28	Ephrin_A4	EFNA4	Female	0.240211074605324	proximal	1.47259730060723
BMI	2618_10	ERBB4	ERBB4	Female	0.158635214042287	proximal	1.42933483645509
BMI	2732_58	NANOG	NANOG	Female	0.149589539067083	proximal	1.37702420822184
BMI	3202_28	KREM2	KREMEN2	Female	0.125294244205719	proximal	1.22424643547853
BMI	3202_28	KREM2	KREMEN2	Female	0.125294244205719	rectal	1.07239328960704
BMI	3432_21	EPHA3	EPHA3	Female	0.140635086426852	proximal	1.64362554498514
BMI	3447_64	IL_8	CXCL8	Female	0.174692662501661	proximal	1.33955932776542
BMI	3627_71	MMEL2	MMEL1	Female	0.129423178140705	proximal	1.30873562581252
BMI	3864_5	RS7	RPS7	Female	0.178931960039056	proximal	1.19382029864954
BMI	3889_64	Lamin_B1	LMNB1	Female	0.159868049953251	proximal	1.33447679343035
BMI	4122_12	discoidin_domain_receptor_1	DDR1	Female	0.118087882741804	proximal	1.30858539158629
BMI	4163_5	Histone_H2A_z	H2AFZ	Female	0.222493887822359	overall	1.21155311178018
BMI	4261_55	paraoxonase_1	PON1	Female	0.168790502452038	overall	1.23862723770575
BMI	4261_55	paraoxonase_1	PON1	Female	0.168790502452038	rectal	1.28981422967557
BMI	4560_34	LCK	LCK	Female	0.180574144780088	distal	1.89748628057879
BMI	4708_3	17_beta_HSD_1	HSD17B1	Female	0.122847871080895	proximal	1.27796222804727
BMI	4717_55	IL_3	IL3	Female	0.140734105084054	proximal	1.33821548658765
BMI	4995_16	HPG_	HPGD	Female	0.164212198701885	rectal	1.1513780162308
BMI	5006_71	MK13	MAPK13	Female	0.192609633315678	rectal	1.1017252387335
BMI	5031_10	SPTA2	SPTAN1	Female	0.137290714613107	proximal	1.30087615130625
BMI	5035_7	TS	TYMS	Female	0.123518699252708	proximal	1.53404478893612
BMI	5098_79	KLRF1	KLRF1	Female	0.154018439257462	proximal	1.27889522529058
BMI	5339_49	calgranulin_B	S100A9	Female	0.231950947850399	rectal	1.17039476747659
BMI	5352_11	HVEM	TNFRSF14	Female	0.20510205049203	proximal	1.27198376312802
BMI	5355_69	LIGHT	TNFSF14	Female	0.142652762544849	rectal	1.03145167171685
BMI	5484_63	RS3A	RPS3A	Female	0.192369598479024	proximal	1.22656563825164
BMI	5490_53	Testican_1	SPOCK1	Female	0.154383826490648	overall	1.21158764153591
BMI	5490_53	Testican_1	SPOCK1	Female	0.154383826490648	colon	1.14108241640239
BMI	5490_53	Testican_1	SPOCK1	Female	0.154383826490648	proximal	1.33390295837357
BMI	5599_88	PCYXL	PCYOX1L	Female	0.189046581273416	overall	1.33471168201558
BMI	5599_88	PCYXL	PCYOX1L	Female	0.189046581273416	colon	1.30744140314188
BMI	5610_32	CJ038	FAM171A1	Female	0.130446317532587	proximal	1.40963160894319
BMI	5611_56	D108B	DEFB108B	Female	0.136355271978599	proximal	1.4856124329547
BMI	5615_62	F172A	FAM172A	Female	0.118253797278196	proximal	1.45642921958151
BMI	5679_16	HBD_3	DEFB103A	Female	0.150133936956349	proximal	1.36941028737565
BMI	5764_4	GALT2	GALNT2	Female	0.142270760437542	proximal	1.37640234684495
BMI	5822_22	GDNF	GDNF	Female	0.154937494006521	proximal	1.86835263732207
BMI	5879_51	Dynactin_subunit_2	DCTN2	Female	0.27562031555057	proximal	1.50470038703493
BMI	6240_70	RSPO1	RSPO1	Female	0.133847244970788	proximal	1.35216052218532
BMI	6407_63	LAD1	LAD1	Female	0.149234369059565	proximal	1.43139615480334
BMI	6411_58	DB135	DEFB135	Female	0.201245225702222	overall	1.12822127543096
BMI	6411_58	DB135	DEFB135	Female	0.201245225702222	rectal	1.18090961300785
BMI	6430_36	F19A2	FAM19A2	Female	0.12232421120416	rectal	1.22026335475129
BMI	6493_9	CBPZ	CPZ	Female	0.125285740105206	proximal	1.47076489176855
BMI	6494_60	sperm_acrosome_associated_5	SPACA5	Female	0.154226256356155	rectal	1.11628342860647
BMI	6497_10	XLRS1	RS1	Female	0.15253111740116	proximal	1.29967469689986
BMI	7006_4	COPA1	COL25A1	Female	0.134706446580935	proximal	1.25861121151941
BMI	7060_2	ERO1A	ERO1L	Female	0.195548923290515	rectal	1.21226038053716
BMI	7071_23	MA1B1	MAN1B1	Female	0.18994486731334	overall	1.12187321319727
BMI	7071_23	MA1B1	MAN1B1	Female	0.18994486731334	rectal	1.32715320389357
BMI	7132_55	C1QL4	C1QL4	Female	0.147111676390224	overall	1.2231797248541
BMI	7132_55	C1QL4	C1QL4	Female	0.147111676390224	rectal	1.2684843974734
BMI	7246_4	FREM2	FREM2	Female	0.157417143119228	proximal	1.20262984935542
BMI	7246_4	FREM2	FREM2	Female	0.157417143119228	rectal	1.07129253918599
BMI	7815_49	IBPL1	IGFBPL1	Female	0.153511124277104	proximal	1.2655068324491
BMI	7886_26	SPTC1	SPTLC1	Female	0.180790274055578	colon	1.20142661919338
BMI	7932_23	SYT8	SYT8	Female	0.128355744684026	proximal	1.22877863944989
BMI	7960_53	POTEG	POTEG	Female	0.145805489627899	proximal	1.30340386469603
BMI	7995_16	VWC2L	VWC2L	Female	0.145527946866462	overall	1.23734468436483
BMI	7995_16	VWC2L	VWC2L	Female	0.145527946866462	rectal	1.28394593797434
BMI	8040_9	LEMD1	LEMD1	Female	0.136910816690654	distal	1.24003672981896
BMI	8089_173	NR4A1	NR4A1	Female	0.106234161756455	proximal	1.25547275642833
BMI	8089_173	NR4A1	NR4A1	Female	0.106234161756455	rectal	1.11543370234992
BMI	8321_27	ZN843	ZNF843	Female	0.132349416256822	proximal	1.37294216114134
BMI	8357_43	ST4A1	SULT4A1	Female	0.115218965713589	overall	1.31260879043618
BMI	8357_43	ST4A1	SULT4A1	Female	0.115218965713589	distal	1.19989949605626
BMI	8357_43	ST4A1	SULT4A1	Female	0.115218965713589	proximal	1.50797742603363
BMI	8372_29	CDHR1	CDHR1	Female	0.123968797719815	rectal	1.14182790073995
BMI	8520_8	ADA30	ADAM30	Female	0.13226011738271	proximal	1.43793419963375
BMI	8748_45	HG2A	CD74	Female	0.146420404142212	rectal	1.22700764947464
BMI	8749_194	CD1D	CD1D	Female	0.120925938125234	proximal	1.35846175892047
BMI	8749_194	CD1D	CD1D	Female	0.120925938125234	rectal	1.23318148113783
BMI	8758_2	PCDA7	PCDHA7	Female	0.123216358933926	colon	1.06588940211495
BMI	8850_5	PA2GC	PLA2G2C	Female	0.170212542345041	rectal	1.07798810704483
BMI	8858_21	BATF3	BATF3	Female	0.137367889719088	proximal	1.09150003601092
BMI	8894_80	hnRNP_A_B	HNRNPAB	Female	0.125214063055588	proximal	1.27207802061707
BMI	8932_1	ENTP6	ENTPD6	Female	0.22895368924771	overall	1.0533480601626
BMI	8932_1	ENTP6	ENTPD6	Female	0.22895368924771	proximal	1.22294770966763
BMI	9255_5	IL_17C	IL17C	Female	0.177436011879268	proximal	1.19196237077131
BMI	9287_6	SPRE	SPR	Female	0.13738662700088	proximal	1.23858413422789
BMI	9302_90	G45IP	GADD45GIP1	Female	0.156000398201363	rectal	1.20376193628745
BMI	9402_18	DCBD1	DCBLD1	Female	0.179971297072665	rectal	1.14317959676743
BMI	9543_131	COG8	COG8	Female	0.148576360307842	proximal	1.73019635142014
BMI	9582_93	SUSD1	SUSD1	Female	0.129738446311923	proximal	1.36271658991925
BMI	9585_80	ACAM	CLMP	Female	0.131045030782331	proximal	1.33151687517597
BMI	9848_22	Cyclin_H	CCNH	Female	0.141588363818437	distal	2.06035026520364
BMI	9849_13	APEX1	APEX1	Female	0.145397144034442	colon	1.45754031611163
BMI	9926_4	S100P	S100P	Female	0.126606267775812	rectal	1.57849663935196
BMI	9971_5	CSMD2	CSMD2	Female	0.138279656691109	distal	1.55216510780867
WHR	11146_4	TBX22	TBX22	Female	0.116625	proximal	1.3275527043179
WHR	11149_3	TLR1	TLR1	Female	0.1273613	rectal	1.11020692059121
WHR	11284_24	LAIR1	LAIR1	Female	0.1151779	proximal	1.3035170762632
WHR	11593_21	MIG	CXCL9	Female	0.116215	proximal	1.30906096727749
WHR	12513_8	GLTP	GLTP	Female	0.1162087	proximal	1.30215607173675
WHR	12513_8	GLTP	GLTP	Female	0.1162087	rectal	1.17479431657833
WHR	12743_18	BAG5	BAG5	Female	0.119567	colon	1.11041148153781
WHR	12743_18	BAG5	BAG5	Female	0.119567	proximal	1.37502474099892
WHR	12795_2	ZN566	ZNF566	Female	0.1225873	proximal	1.31195204802902
WHR	13561_5	5HT6R	HTR6	Female	0.131545	overall	1.01517254499999
WHR	15405_23	IFNA4	IFNA4	Female	0.1115507	rectal	1.09277768539693
WHR	17419_17	TES	TES	Female	0.1021738	proximal	1.56443653822572
WHR	17509_6	HPPD	HPD	Female	0.1260871	rectal	1.27796376754161
WHR	17722_5	FKBP52_protein	FKBP4	Female	0.1192271	proximal	1.3005577480429
WHR	17785_11	RCL	RCL	Female	0.1462705	overall	1.16615092178841
WHR	19123_6	IKBD	NFKBID	Female	0.1378938	rectal	1.0780122435319
WHR	19190_4	UB2L6	UBE2L6	Female	0.14986	overall	1.13563923763139
WHR	19190_4	UB2L6	UBE2L6	Female	0.14986	proximal	1.20231170443385
WHR	19280_29	UB2D3	UBE2D3	Female	0.193967	overall	1.05739463586501
WHR	19467_3	RBSK	RBKS	Female	0.1244024	proximal	1.17803361382576
WHR	19467_3	RBSK	RBKS	Female	0.1244024	rectal	1.06178822482928
WHR	4717_55	IL_3	IL3	Female	0.1258074	proximal	1.33821548658765
WHR	4995_16	HPG_	HPGD	Female	0.1319894	rectal	1.1513780162308
WHR	5339_49	calgranulin_B	S100A9	Female	0.1531455	rectal	1.17039476747659
WHR	5484_63	RS3A	RPS3A	Female	0.1247908	proximal	1.22656563825164
WHR	5490_53	Testican_1	SPOCK1	Female	0.1302603	overall	1.21158764153591
WHR	5490_53	Testican_1	SPOCK1	Female	0.1302603	colon	1.14108241640239
WHR	5490_53	Testican_1	SPOCK1	Female	0.1302603	proximal	1.33390295837357
WHR	5764_4	GALT2	GALNT2	Female	0.1313014	proximal	1.37640234684495
WHR	5879_51	Dynactin_subunit_2	DCTN2	Female	0.1245974	proximal	1.50470038703493
WHR	6407_63	LAD1	LAD1	Female	0.1228594	proximal	1.43139615480334
WHR	6497_10	XLRS1	RS1	Female	0.1144201	proximal	1.29967469689986
WHR	7071_23	MA1B1	MAN1B1	Female	0.1402199	overall	1.12187321319727
WHR	7071_23	MA1B1	MAN1B1	Female	0.1402199	rectal	1.32715320389357
WHR	7886_26	SPTC1	SPTLC1	Female	0.1293689	colon	1.20142661919338
WHR	7995_16	VWC2L	VWC2L	Female	0.1165079	overall	1.23734468436483
WHR	7995_16	VWC2L	VWC2L	Female	0.1165079	rectal	1.28394593797434
WHR	8357_43	ST4A1	SULT4A1	Female	0.1178689	overall	1.31260879043618
WHR	8357_43	ST4A1	SULT4A1	Female	0.1178689	proximal	1.50797742603363
WHR	8520_8	ADA30	ADAM30	Female	0.121858	proximal	1.43793419963375
WHR	8932_1	ENTP6	ENTPD6	Female	0.1521503	overall	1.0533480601626
WHR	8932_1	ENTP6	ENTPD6	Female	0.1521503	proximal	1.22294770966763
WHR	9255_5	IL_17C	IL17C	Female	0.1340361	proximal	1.19196237077131
BMI	10490_3	RPN1	RPN1	Sex-combined	0.153293168345662	overall	1.09050132327757
BMI	10490_3	RPN1	RPN1	Sex-combined	0.153293168345662	overall-HRC-EUR	1.08819232681803
BMI	10490_3	RPN1	RPN1	Sex-combined	0.153293168345662	proximal	1.02090900419966
BMI	11126_102	TRIO	TRIO	Sex-combined	0.104361108663183	colon	1.15470761540193
BMI	11573_3	SRSF6	SRSF6	Sex-combined	0.243117939657104	overall-HRC-EUR	1.34464587111967
BMI	11573_3	SRSF6	SRSF6	Sex-combined	0.243117939657104	proximal	1.36351913845823
BMI	11671_19	BRPF1	BRPF1	Sex-combined	0.164171629910627	overall	1.01895814169612
BMI	12661_44	GBRL1	GABARAPL1	Sex-combined	0.211965053454922	proximal	1.23901457726181
BMI	12743_18	BAG5	BAG5	Sex-combined	0.147598672311432	colon	1.06734906538567
BMI	12743_18	BAG5	BAG5	Sex-combined	0.147598672311432	proximal	1.17574916078822
BMI	12842_43	STX10	STX10	Sex-combined	0.111345453503444	proximal	1.16277135669435
BMI	12892_10	SYTL1	SYTL1	Sex-combined	0.170210083548816	overall	1.02602721812567
BMI	13130_150	HXK2	HK2	Sex-combined	0.158731333213815	overall	1.05850351373263
BMI	13130_150	HXK2	HK2	Sex-combined	0.158731333213815	overall-HRC-EUR	1.0253607438859
BMI	13436_54	MAZ	MAZ	Sex-combined	0.148971679020588	rectal	1.15885169488621
BMI	13468_5	NEUL4	NEURL4	Sex-combined	0.127962503483302	proximal	1.11304021944253
BMI	13481_24	TCEA2	TCEA2	Sex-combined	0.145592472400787	proximal	1.05892649988157
BMI	13492_44	HSPA9B	HSPA9	Sex-combined	0.121640509223617	proximal	1.2523805277896
BMI	13509_5	SCAM5	SCAMP5	Sex-combined	0.117808058180165	overall	1.02418346759767
BMI	13561_5	5HT6R	HTR6	Sex-combined	0.182424814606373	overall	1.01306051459247
