exposure	direction_group	outcome	group
CCL26	negative	colon	Sex-combined
CCL28	negative	colon	Sex-combined
CCL3	negative	colon	Sex-combined
CCL5	negative	colon	Sex-combined
CCL8	negative	colon	Sex-combined
CCN1	negative	colon	Sex-combined
CCN4	positive	colon	Sex-combined
CD14	negative	colon	Sex-combined
CD163	negative	colon	Sex-combined
CD177	negative	colon	Sex-combined
CD1C	negative	colon	Sex-combined
CD207	negative	colon	Sex-combined
CD209	positive	colon	Sex-combined
CD22	positive	colon	Sex-combined
CD274	negative	colon	Sex-combined
CD28	negative	colon	Sex-combined
CD300C	positive	colon	Sex-combined
CD300E	negative	colon	Sex-combined
CD300LG	positive	colon	Sex-combined
CD34	negative	colon	Sex-combined
CD38	NA	colon	Sex-combined
CD40LG	negative	colon	Sex-combined
CD5	negative	colon	Sex-combined
CD55	negative	colon	Sex-combined
CD63	negative	colon	Sex-combined
CD69	negative	colon	Sex-combined
CD99L2	negative	colon	Sex-combined
CDC27	NA	colon	Sex-combined
CDC37	NA	colon	Sex-combined
CDCP1	negative	colon	Sex-combined
CDH1	negative	colon	Sex-combined
CDH15	NA	colon	Sex-combined
CDH17	negative	colon	Sex-combined
CDHR1	positive	colon	Sex-combined
CDKN1A	negative	colon	Sex-combined
CDKN2D	positive	colon	Sex-combined
CDON	negative	colon	Sex-combined
CDSN	negative	colon	Sex-combined
CEACAM21	NA	colon	Sex-combined
CEACAM3	NA	colon	Sex-combined
CERT	positive	colon	Sex-combined
CES1	negative	colon	Sex-combined
CES2	NA	colon	Sex-combined
CES3	negative	colon	Sex-combined
CETN2	positive	colon	Sex-combined
CGREF1	negative	colon	Sex-combined
CHAC2	NA	colon	Sex-combined
CHGB	positive	colon	Sex-combined
CHI3L1	negative	colon	Sex-combined
CHIT1	negative	colon	Sex-combined
CHMP1A	negative	colon	Sex-combined
CHRDL1	negative	colon	Sex-combined
CHRDL2	negative	colon	Sex-combined
CKAP4	negative	colon	Sex-combined
CKMT1A_CKMT1B	negative	colon	Sex-combined
CLEC10A	positive	colon	Sex-combined
CLEC1A	negative	colon	Sex-combined
CLEC1B	negative	colon	Sex-combined
CLEC5A	positive	colon	Sex-combined
CLIP2	NA	colon	Sex-combined
CLSTN2	positive	colon	Sex-combined
CLUL1	negative	colon	Sex-combined
CNPY4	NA	colon	Sex-combined
CNST	negative	colon	Sex-combined
CNTN2	positive	colon	Sex-combined
CNTN3	negative	colon	Sex-combined
CNTN5	negative	colon	Sex-combined
CNTNAP2	negative	colon	Sex-combined
COL18A1	positive	colon	Sex-combined
COL9A1	negative	colon	Sex-combined
COLEC12	negative	colon	Sex-combined
COMP	negative	colon	Sex-combined
COMT	NA	colon	Sex-combined
CORO1A	positive	colon	Sex-combined
COX5B	negative	colon	Sex-combined
CPA2	negative	colon	Sex-combined
CPB1	positive	colon	Sex-combined
CPM	positive	colon	Sex-combined
CPVL	positive	colon	Sex-combined
CPXM1	negative	colon	Sex-combined
CRADD	negative	colon	Sex-combined
CREG1	negative	colon	Sex-combined
CRELD2	positive	colon	Sex-combined
CRHBP	negative	colon	Sex-combined
CRIM1	negative	colon	Sex-combined
CRIP2	negative	colon	Sex-combined
CRISP2	positive	colon	Sex-combined
CRNN	positive	colon	Sex-combined
CRTAC1	NA	colon	Sex-combined
CST5	positive	colon	Sex-combined
CST6	negative	colon	Sex-combined
CTF1	NA	colon	Sex-combined
CTRB1	positive	colon	Sex-combined
CTSB	positive	colon	Sex-combined
CTSC	positive	colon	Sex-combined
CTSD	positive	colon	Sex-combined
CTSL	negative	colon	Sex-combined
CTSO	negative	colon	Sex-combined
CTSZ	negative	colon	Sex-combined
CXADR	negative	colon	Sex-combined
CXCL1	negative	colon	Sex-combined
CXCL10	negative	colon	Sex-combined
CXCL11	negative	colon	Sex-combined
CXCL13	positive	colon	Sex-combined
CXCL14	NA	colon	Sex-combined
CXCL3	negative	colon	Sex-combined
CXCL8	positive	colon	Sex-combined
DAB2	NA	colon	Sex-combined
DAG1	negative	colon	Sex-combined
DAPP1	NA	colon	Sex-combined
DCBLD2	negative	colon	Sex-combined
DDAH1	negative	colon	Sex-combined
DDC	positive	colon	Sex-combined
DFFA	NA	colon	Sex-combined
DKK1	negative	colon	Sex-combined
DKK3	negative	colon	Sex-combined
DKK4	positive	colon	Sex-combined
DKKL1	positive	colon	Sex-combined
DLK1	negative	colon	Sex-combined
DNAJB1	positive	colon	Sex-combined
DNMBP	positive	colon	Sex-combined
DOK2	negative	colon	Sex-combined
DPP4	negative	colon	Sex-combined
DPT	NA	colon	Sex-combined
DPY30	NA	colon	Sex-combined
DRG2	negative	colon	Sex-combined
DSC2	negative	colon	Sex-combined
DSG3	negative	colon	Sex-combined
DSG4	negative	colon	Sex-combined
DTX3	positive	colon	Sex-combined
DUSP3	NA	colon	Sex-combined
EBI3_IL27	negative	colon	Sex-combined
EDAR	positive	colon	Sex-combined
EDIL3	NA	colon	Sex-combined
EFEMP1	negative	colon	Sex-combined
EFNA1	positive	colon	Sex-combined
EGF	negative	colon	Sex-combined
EGLN1	negative	colon	Sex-combined
ELOA	NA	colon	Sex-combined
ENG	negative	colon	Sex-combined
ENO2	negative	colon	Sex-combined
ENPP2	negative	colon	Sex-combined
ENTPD2	NA	colon	Sex-combined
ENTPD5	negative	colon	Sex-combined
ENTPD6	positive	colon	Sex-combined
EPCAM	negative	colon	Sex-combined
EPHA1	negative	colon	Sex-combined
EPHA2	negative	colon	Sex-combined
EPHB6	positive	colon	Sex-combined
ERBB2	negative	colon	Sex-combined
ERBB3	negative	colon	Sex-combined
ERBIN	NA	colon	Sex-combined
EREG	negative	colon	Sex-combined
ESAM	negative	colon	Sex-combined
F3	negative	colon	Sex-combined
F9	NA	colon	Sex-combined
FABP1	NA	colon	Sex-combined
FABP2	positive	colon	Sex-combined
FABP5	NA	colon	Sex-combined
FABP6	NA	colon	Sex-combined
FADD	negative	colon	Sex-combined
FAM3B	positive	colon	Sex-combined
FAS	negative	colon	Sex-combined
FASLG	negative	colon	Sex-combined
FCAR	positive	colon	Sex-combined
FCRL5	negative	colon	Sex-combined
FCRL6	positive	colon	Sex-combined
FCRLB	negative	colon	Sex-combined
FETUB	positive	colon	Sex-combined
FGF19	negative	colon	Sex-combined
FGF2	negative	colon	Sex-combined
FGF21	negative	colon	Sex-combined
FGF23	positive	colon	Sex-combined
FGF5	NA	colon	Sex-combined
FHIT	NA	colon	Sex-combined
FIS1	positive	colon	Sex-combined
FKBP1B	negative	colon	Sex-combined
FKBP5	negative	colon	Sex-combined
FLRT2	positive	colon	Sex-combined
FLT1	negative	colon	Sex-combined
FOLR1	positive	colon	Sex-combined
FOXO1	positive	colon	Sex-combined
FRZB	NA	colon	Sex-combined
FSTL3	NA	colon	Sex-combined
FUS	NA	colon	Sex-combined
FUT3_FUT5	negative	colon	Sex-combined
FUT8	negative	colon	Sex-combined
FXN	negative	colon	Sex-combined
FXYD5	NA	colon	Sex-combined
FYB1	NA	colon	Sex-combined
GAL	positive	colon	Sex-combined
GALNT2	positive	colon	Sex-combined
GALNT7	positive	colon	Sex-combined
GAS6	negative	colon	Sex-combined
GFRA1	positive	colon	Sex-combined
GFRA2	negative	colon	Sex-combined
GFRA3	positive	colon	Sex-combined
GGH	negative	colon	Sex-combined
GGT5	negative	colon	Sex-combined
GHRL	negative	colon	Sex-combined
GKN1	negative	colon	Sex-combined
GLOD4	NA	colon	Sex-combined
GLRX	NA	colon	Sex-combined
GNE	positive	colon	Sex-combined
GOLM2	positive	colon	Sex-combined
GOPC	NA	colon	Sex-combined
GP1BA	negative	colon	Sex-combined
GP6	negative	colon	Sex-combined
GPA33	negative	colon	Sex-combined
GPC5	negative	colon	Sex-combined
GRAP2	positive	colon	Sex-combined
GRN	positive	colon	Sex-combined
GSTA1	negative	colon	Sex-combined
GSTA3	negative	colon	Sex-combined
GUCA2A	negative	colon	Sex-combined
GZMH	positive	colon	Sex-combined
HARS1	NA	colon	Sex-combined
HAVCR1	negative	colon	Sex-combined
HBEGF	negative	colon	Sex-combined
HBQ1	NA	colon	Sex-combined
HCLS1	positive	colon	Sex-combined
HDGF	NA	colon	Sex-combined
HGF	positive	colon	Sex-combined
HLA-DRA	positive	colon	Sex-combined
HNMT	positive	colon	Sex-combined
HS3ST3B1	negative	colon	Sex-combined
HS6ST1	positive	colon	Sex-combined
HSD11B1	negative	colon	Sex-combined
HSPA1A	NA	colon	Sex-combined
HSPB6	positive	colon	Sex-combined
HYAL1	negative	colon	Sex-combined
ICA1	NA	colon	Sex-combined
ICAM2	negative	colon	Sex-combined
ICAM3	negative	colon	Sex-combined
ICAM4	negative	colon	Sex-combined
ICAM5	positive	colon	Sex-combined
ICOSLG	positive	colon	Sex-combined
IFNG	NA	colon	Sex-combined
IFNGR1	negative	colon	Sex-combined
IFNGR2	negative	colon	Sex-combined
IFNLR1	NA	colon	Sex-combined
IGF2R	positive	colon	Sex-combined
IGFBP1	NA	colon	Sex-combined
IGFBP3	negative	colon	Sex-combined
IGFBP4	negative	colon	Sex-combined
IGFBP6	negative	colon	Sex-combined
IGFBPL1	NA	colon	Sex-combined
IGSF3	positive	colon	Sex-combined
IL13RA1	NA	colon	Sex-combined
IL15	positive	colon	Sex-combined
IL17C	NA	colon	Sex-combined
IL17D	NA	colon	Sex-combined
IL17RB	positive	colon	Sex-combined
IL18BP	negative	colon	Sex-combined
IL18R1	negative	colon	Sex-combined
IL1B	NA	colon	Sex-combined
IL1R1	negative	colon	Sex-combined
IL1R2	positive	colon	Sex-combined
IL1RAP	negative	colon	Sex-combined
IL1RN	NA	colon	Sex-combined
IL22RA1	NA	colon	Sex-combined
IL2RA	negative	colon	Sex-combined
IL32	positive	colon	Sex-combined
IL4R	positive	colon	Sex-combined
IL5RA	negative	colon	Sex-combined
IL6	negative	colon	Sex-combined
IL7	negative	colon	Sex-combined
IL7R	negative	colon	Sex-combined
INHBC	negative	colon	Sex-combined
INPP1	NA	colon	Sex-combined
IPCEF1	NA	colon	Sex-combined
IRAG2	NA	colon	Sex-combined
ISM1	NA	colon	Sex-combined
ITGA5	negative	colon	Sex-combined
ITGB1	negative	colon	Sex-combined
ITGB2	negative	colon	Sex-combined
ITGB5	negative	colon	Sex-combined
ITGB6	negative	colon	Sex-combined
JCHAIN	positive	colon	Sex-combined
KAZALD1	negative	colon	Sex-combined
KDR	positive	colon	Sex-combined
KEL	positive	colon	Sex-combined
KIFBP	NA	colon	Sex-combined
KIR3DL1	NA	colon	Sex-combined
KLB	negative	colon	Sex-combined
KLK1	positive	colon	Sex-combined
KLK12	negative	colon	Sex-combined
KLK13	positive	colon	Sex-combined
KLK4	negative	colon	Sex-combined
KLK6	NA	colon	Sex-combined
KLK8	negative	colon	Sex-combined
KLRB1	negative	colon	Sex-combined
KRT18	negative	colon	Sex-combined
KRT19	negative	colon	Sex-combined
KRT5	negative	colon	Sex-combined
KYAT1	negative	colon	Sex-combined
L1CAM	negative	colon	Sex-combined
LACTB2	negative	colon	Sex-combined
LAMP2	NA	colon	Sex-combined
LAT	negative	colon	Sex-combined
LBP	NA	colon	Sex-combined
LEFTY2	negative	colon	Sex-combined
LEPR	negative	colon	Sex-combined
LGALS1	NA	colon	Sex-combined
LGALS3	positive	colon	Sex-combined
LGALS7_LGALS7B	negative	colon	Sex-combined
LGALS8	positive	colon	Sex-combined
LGMN	negative	colon	Sex-combined
LIFR	positive	colon	Sex-combined
LILRA5	negative	colon	Sex-combined
LILRB1	positive	colon	Sex-combined
LILRB2	positive	colon	Sex-combined
LILRB4	NA	colon	Sex-combined
LILRB5	NA	colon	Sex-combined
LPO	positive	colon	Sex-combined
LRP1	positive	colon	Sex-combined
LRP11	positive	colon	Sex-combined
LRPAP1	positive	colon	Sex-combined
LRRC25	negative	colon	Sex-combined
LSP1	NA	colon	Sex-combined
LTA	negative	colon	Sex-combined
LTBP3	negative	colon	Sex-combined
LY6D	positive	colon	Sex-combined
LY9	negative	colon	Sex-combined
LY96	negative	colon	Sex-combined
LYPD3	positive	colon	Sex-combined
LYPD8	positive	colon	Sex-combined
MANF	negative	colon	Sex-combined
MAP2K6	NA	colon	Sex-combined
MAP4K5	NA	colon	Sex-combined
MARCO	negative	colon	Sex-combined
MDGA1	positive	colon	Sex-combined
MEGF9	positive	colon	Sex-combined
MERTK	negative	colon	Sex-combined
MESD	negative	colon	Sex-combined
METAP1D	negative	colon	Sex-combined
MFGE8	positive	colon	Sex-combined
MGMT	positive	colon	Sex-combined
MIA	positive	colon	Sex-combined
MIF	positive	colon	Sex-combined
MILR1	positive	colon	Sex-combined
MITD1	NA	colon	Sex-combined
MMP1	negative	colon	Sex-combined
MMP10	NA	colon	Sex-combined
MMP12	NA	colon	Sex-combined
MMP3	negative	colon	Sex-combined
MMP7	negative	colon	Sex-combined
MMP8	NA	colon	Sex-combined
MMP9	positive	colon	Sex-combined
MPHOSPH8	NA	colon	Sex-combined
MPI	negative	colon	Sex-combined
MPIG6B	negative	colon	Sex-combined
MPO	positive	colon	Sex-combined
MSLN	positive	colon	Sex-combined
MSMB	negative	colon	Sex-combined
MSRA	NA	colon	Sex-combined
MSTN	positive	colon	Sex-combined
MUC16	NA	colon	Sex-combined
MYOC	positive	colon	Sex-combined
MZT1	NA	colon	Sex-combined
NAAA	positive	colon	Sex-combined
NADK	negative	colon	Sex-combined
NBN	positive	colon	Sex-combined
NCAM1	positive	colon	Sex-combined
NCAM2	positive	colon	Sex-combined
NCAN	positive	colon	Sex-combined
NCF2	positive	colon	Sex-combined
NCR1	negative	colon	Sex-combined
NECTIN2	positive	colon	Sex-combined
NEFL	NA	colon	Sex-combined
NELL1	positive	colon	Sex-combined
NFASC	positive	colon	Sex-combined
NFKBIE	NA	colon	Sex-combined
NID1	negative	colon	Sex-combined
NID2	positive	colon	Sex-combined
NME3	negative	colon	Sex-combined
NOMO1	negative	colon	Sex-combined
NOS3	NA	colon	Sex-combined
NOTCH1	negative	colon	Sex-combined
NPDC1	negative	colon	Sex-combined
NPPB	NA	colon	Sex-combined
NPPC	NA	colon	Sex-combined
NPTX1	positive	colon	Sex-combined
NPTXR	negative	colon	Sex-combined
NRP2	positive	colon	Sex-combined
NSFL1C	NA	colon	Sex-combined
NT5C3A	positive	colon	Sex-combined
NTF3	negative	colon	Sex-combined
NUB1	positive	colon	Sex-combined
NUDC	NA	colon	Sex-combined
NUDT2	NA	colon	Sex-combined
NUDT5	NA	colon	Sex-combined
OBP2B	positive	colon	Sex-combined
ODAM	NA	colon	Sex-combined
OGFR	NA	colon	Sex-combined
OGN	positive	colon	Sex-combined
OPTC	negative	colon	Sex-combined
OSMR	positive	colon	Sex-combined
OXT	negative	colon	Sex-combined
PAEP	negative	colon	Sex-combined
PAG1	negative	colon	Sex-combined
PAM	negative	colon	Sex-combined
PAPPA	positive	colon	Sex-combined
PARK7	negative	colon	Sex-combined
PARP1	NA	colon	Sex-combined
PCDH1	negative	colon	Sex-combined
PCSK9	negative	colon	Sex-combined
PDCD1	negative	colon	Sex-combined
PDCD5	NA	colon	Sex-combined
PDGFA	negative	colon	Sex-combined
PDGFRA	negative	colon	Sex-combined
PDLIM7	negative	colon	Sex-combined
PEBP1	NA	colon	Sex-combined
PFKFB2	positive	colon	Sex-combined
PGF	NA	colon	Sex-combined
PGLYRP1	positive	colon	Sex-combined
PI3	positive	colon	Sex-combined
PIGR	positive	colon	Sex-combined
PILRA	positive	colon	Sex-combined
PILRB	positive	colon	Sex-combined
PKLR	positive	colon	Sex-combined
PLA2G10	negative	colon	Sex-combined
PLA2G15	negative	colon	Sex-combined
PLA2G1B	positive	colon	Sex-combined
PLA2G2A	negative	colon	Sex-combined
PLA2G4A	NA	colon	Sex-combined
PLA2G7	positive	colon	Sex-combined
PLIN3	NA	colon	Sex-combined
PLPBP	NA	colon	Sex-combined
PLXDC1	positive	colon	Sex-combined
PLXNA4	positive	colon	Sex-combined
PLXNB2	positive	colon	Sex-combined
PLXNB3	negative	colon	Sex-combined
PM20D1	positive	colon	Sex-combined
PMVK	negative	colon	Sex-combined
PNPT1	NA	colon	Sex-combined
PODXL2	positive	colon	Sex-combined
PON3	positive	colon	Sex-combined
PPCDC	NA	colon	Sex-combined
PPIB	negative	colon	Sex-combined
PPP1R9B	NA	colon	Sex-combined
PRCP	negative	colon	Sex-combined
PRDX1	NA	colon	Sex-combined
PRDX5	NA	colon	Sex-combined
PRKAR1A	positive	colon	Sex-combined
PRL	positive	colon	Sex-combined
PROC	negative	colon	Sex-combined
PROK1	NA	colon	Sex-combined
PRSS2	positive	colon	Sex-combined
PRSS27	positive	colon	Sex-combined
PRTFDC1	negative	colon	Sex-combined
PRTG	positive	colon	Sex-combined
PRTN3	positive	colon	Sex-combined
PSG1	negative	colon	Sex-combined
PSME1	NA	colon	Sex-combined
PSRC1	NA	colon	Sex-combined
PTGDS	NA	colon	Sex-combined
PTN	negative	colon	Sex-combined
PTPN1	NA	colon	Sex-combined
PTPN6	NA	colon	Sex-combined
PTPRM	negative	colon	Sex-combined
PTPRS	positive	colon	Sex-combined
PVALB	positive	colon	Sex-combined
PVR	NA	colon	Sex-combined
QPCT	positive	colon	Sex-combined
RAB6A	NA	colon	Sex-combined
RABGAP1L	NA	colon	Sex-combined
RAD23B	NA	colon	Sex-combined
RBP5	negative	colon	Sex-combined
REG1A	negative	colon	Sex-combined
REG1B	negative	colon	Sex-combined
REG3A	negative	colon	Sex-combined
REG4	NA	colon	Sex-combined
REN	NA	colon	Sex-combined
RET	negative	colon	Sex-combined
RETN	negative	colon	Sex-combined
RGMA	positive	colon	Sex-combined
RILP	positive	colon	Sex-combined
RNASE3	positive	colon	Sex-combined
ROBO1	negative	colon	Sex-combined
ROBO2	negative	colon	Sex-combined
RP2	NA	colon	Sex-combined
RSPO3	positive	colon	Sex-combined
RTBDN	NA	colon	Sex-combined
RWDD1	NA	colon	Sex-combined
S100A11	NA	colon	Sex-combined
S100A12	positive	colon	Sex-combined
S100A4	negative	colon	Sex-combined
S100P	negative	colon	Sex-combined
SAMD9L	NA	colon	Sex-combined
SCARB2	negative	colon	Sex-combined
SCG3	positive	colon	Sex-combined
SCGB3A2	negative	colon	Sex-combined
SCGN	negative	colon	Sex-combined
SCLY	negative	colon	Sex-combined
SCRN1	NA	colon	Sex-combined
SELPLG	positive	colon	Sex-combined
SEMA4D	negative	colon	Sex-combined
SEPTIN9	NA	colon	Sex-combined
SERPINA11	positive	colon	Sex-combined
SERPINA12	positive	colon	Sex-combined
SERPINB1	positive	colon	Sex-combined
SERPINB8	NA	colon	Sex-combined
SERPINB9	NA	colon	Sex-combined
SERPINE1	negative	colon	Sex-combined
SESTD1	positive	colon	Sex-combined
SETMAR	NA	colon	Sex-combined
SEZ6L	positive	colon	Sex-combined
SEZ6L2	negative	colon	Sex-combined
SFRP1	negative	colon	Sex-combined
SFTPA2	negative	colon	Sex-combined
SFTPD	positive	colon	Sex-combined
SH2D1A	NA	colon	Sex-combined
SHMT1	positive	colon	Sex-combined
SIGLEC5	positive	colon	Sex-combined
SIGLEC7	negative	colon	Sex-combined
SIRPA	negative	colon	Sex-combined
SIRT2	NA	colon	Sex-combined
SIT1	negative	colon	Sex-combined
SLAMF7	negative	colon	Sex-combined
SLC39A14	NA	colon	Sex-combined
SLC39A5	negative	colon	Sex-combined
SLITRK6	positive	colon	Sex-combined
SMOC1	positive	colon	Sex-combined
SMOC2	positive	colon	Sex-combined
SNAP23	NA	colon	Sex-combined
SNX9	NA	colon	Sex-combined
SOD1	negative	colon	Sex-combined
SOST	positive	colon	Sex-combined
SPARC	negative	colon	Sex-combined
SPARCL1	positive	colon	Sex-combined
SPINK4	negative	colon	Sex-combined
SPINK5	positive	colon	Sex-combined
SPINT2	negative	colon	Sex-combined
SRP14	NA	colon	Sex-combined
SRPK2	positive	colon	Sex-combined
SSC4D	positive	colon	Sex-combined
SSC5D	negative	colon	Sex-combined
ST3GAL1	negative	colon	Sex-combined
STAMBP	positive	colon	Sex-combined
STAT5B	NA	colon	Sex-combined
STIP1	NA	colon	Sex-combined
STK24	NA	colon	Sex-combined
STX4	NA	colon	Sex-combined
STX8	NA	colon	Sex-combined
SULT2A1	positive	colon	Sex-combined
SUMF2	positive	colon	Sex-combined
SUSD1	negative	colon	Sex-combined
SUSD2	positive	colon	Sex-combined
TACC3	positive	colon	Sex-combined
TAFA5	NA	colon	Sex-combined
TARBP2	NA	colon	Sex-combined
TBC1D23	positive	colon	Sex-combined
TBC1D5	NA	colon	Sex-combined
TBCC	negative	colon	Sex-combined
TBL1X	negative	colon	Sex-combined
TCL1A	positive	colon	Sex-combined
TDGF1	NA	colon	Sex-combined
TDRKH	positive	colon	Sex-combined
TFF1	positive	colon	Sex-combined
TFF3	negative	colon	Sex-combined
TFPI	positive	colon	Sex-combined
TFPI2	negative	colon	Sex-combined
TGFB1	negative	colon	Sex-combined
TGFBI	negative	colon	Sex-combined
TGFBR3	negative	colon	Sex-combined
TGM2	NA	colon	Sex-combined
THBD	negative	colon	Sex-combined
THBS2	positive	colon	Sex-combined
THPO	negative	colon	Sex-combined
THY1	positive	colon	Sex-combined
TIA1	NA	colon	Sex-combined
TIE1	negative	colon	Sex-combined
TIGAR	NA	colon	Sex-combined
TIMP1	negative	colon	Sex-combined
TINAGL1	positive	colon	Sex-combined
TLR3	negative	colon	Sex-combined
TMPRSS15	negative	colon	Sex-combined
TMPRSS5	positive	colon	Sex-combined
TNC	positive	colon	Sex-combined
TNFRSF10C	negative	colon	Sex-combined
TNFRSF11A	positive	colon	Sex-combined
TNFRSF11B	negative	colon	Sex-combined
TNFRSF12A	NA	colon	Sex-combined
TNFRSF13B	positive	colon	Sex-combined
TNFRSF13C	positive	colon	Sex-combined
TNFRSF14	positive	colon	Sex-combined
TNFRSF19	positive	colon	Sex-combined
TNFRSF6B	positive	colon	Sex-combined
TNFRSF9	positive	colon	Sex-combined
TNFSF10	negative	colon	Sex-combined
TNR	negative	colon	Sex-combined
TNXB	positive	colon	Sex-combined
TPMT	NA	colon	Sex-combined
TREM2	positive	colon	Sex-combined
TSHB	positive	colon	Sex-combined
TXLNA	NA	colon	Sex-combined
TXNDC15	positive	colon	Sex-combined
TXNDC5	negative	colon	Sex-combined
TYMP	NA	colon	Sex-combined
ULBP2	negative	colon	Sex-combined
UMOD	negative	colon	Sex-combined
USO1	negative	colon	Sex-combined
UXS1	negative	colon	Sex-combined
VCAM1	negative	colon	Sex-combined
VCAN	negative	colon	Sex-combined
VEGFC	negative	colon	Sex-combined
VPS37A	NA	colon	Sex-combined
VSIG4	positive	colon	Sex-combined
VSIR	negative	colon	Sex-combined
VSTM1	NA	colon	Sex-combined
VSTM2L	NA	colon	Sex-combined
VTA1	positive	colon	Sex-combined
VWA1	negative	colon	Sex-combined
VWC2	NA	colon	Sex-combined
WAS	NA	colon	Sex-combined
WASF1	NA	colon	Sex-combined
WFDC2	positive	colon	Sex-combined
WFIKKN2	negative	colon	Sex-combined
WWP2	NA	colon	Sex-combined
XCL1	negative	colon	Sex-combined
YES1	NA	colon	Sex-combined
ZBTB16	positive	colon	Sex-combined
ZBTB17	NA	colon	Sex-combined
