exposure	direction_group	outcome	group
CDON	positive	overall	Male
CDSN	negative	overall	Male
CEACAM21	NA	overall	Male
CEACAM3	NA	overall	Male
CEACAM5	positive	overall	Male
CEP20	negative	overall	Male
CES2	NA	overall	Male
CES3	negative	overall	Male
CETN2	positive	overall	Male
CHAC2	NA	overall	Male
CHGB	positive	overall	Male
CHI3L1	negative	overall	Male
CHIT1	negative	overall	Male
CHL1	positive	overall	Male
CHMP1A	negative	overall	Male
CHRDL2	positive	overall	Male
CKAP4	negative	overall	Male
CKMT1A_CKMT1B	negative	overall	Male
CLEC10A	positive	overall	Male
CLEC14A	negative	overall	Male
CLEC1A	negative	overall	Male
CLEC1B	negative	overall	Male
CLEC4C	negative	overall	Male
CLEC4D	negative	overall	Male
CLEC4G	positive	overall	Male
CLEC5A	positive	overall	Male
CLEC6A	positive	overall	Male
CLIP2	NA	overall	Male
CLSTN2	positive	overall	Male
CLUL1	negative	overall	Male
CNPY4	NA	overall	Male
CNST	negative	overall	Male
CNTN1	positive	overall	Male
CNTN2	positive	overall	Male
CNTN3	negative	overall	Male
CNTN4	positive	overall	Male
COL1A1	positive	overall	Male
COL6A3	positive	overall	Male
COL9A1	positive	overall	Male
COLEC12	negative	overall	Male
COMP	positive	overall	Male
COMT	NA	overall	Male
CORO1A	positive	overall	Male
COX5B	positive	overall	Male
CPA1	negative	overall	Male
CPA2	negative	overall	Male
CPM	positive	overall	Male
CPVL	positive	overall	Male
CPXM1	negative	overall	Male
CR2	positive	overall	Male
CRACR2A	negative	overall	Male
CRADD	negative	overall	Male
CREG1	negative	overall	Male
CRELD2	positive	overall	Male
CRH	positive	overall	Male
CRHBP	negative	overall	Male
CRIM1	negative	overall	Male
CRIP2	negative	overall	Male
CRISP2	positive	overall	Male
CRNN	negative	overall	Male
CRTAC1	NA	overall	Male
CST5	negative	overall	Male
CST6	negative	overall	Male
CTF1	NA	overall	Male
CTRB1	positive	overall	Male
CTSC	positive	overall	Male
CTSF	negative	overall	Male
CTSL	negative	overall	Male
CTSZ	negative	overall	Male
CX3CL1	negative	overall	Male
CXCL1	negative	overall	Male
CXCL13	positive	overall	Male
CXCL14	NA	overall	Male
CXCL17	positive	overall	Male
CXCL3	negative	overall	Male
CXCL5	negative	overall	Male
DAB2	NA	overall	Male
DAPP1	NA	overall	Male
DARS1	negative	overall	Male
DBI	positive	overall	Male
DBNL	positive	overall	Male
DCBLD2	negative	overall	Male
DCXR	negative	overall	Male
DDAH1	negative	overall	Male
DDC	negative	overall	Male
DDR1	positive	overall	Male
DECR1	negative	overall	Male
DFFA	NA	overall	Male
DKK1	negative	overall	Male
DKK3	negative	overall	Male
DKK4	positive	overall	Male
DKKL1	positive	overall	Male
DLK1	positive	overall	Male
DNAJB1	negative	overall	Male
DNER	negative	overall	Male
DNMBP	positive	overall	Male
DPEP1	positive	overall	Male
DPP10	positive	overall	Male
DPP4	negative	overall	Male
DPP7	negative	overall	Male
DPT	NA	overall	Male
DPY30	NA	overall	Male
DRAXIN	negative	overall	Male
DRG2	negative	overall	Male
DSC2	positive	overall	Male
DSG2	negative	overall	Male
DSG4	negative	overall	Male
DTX3	positive	overall	Male
DUSP3	NA	overall	Male
ECE1	positive	overall	Male
EDA2R	negative	overall	Male
EDAR	positive	overall	Male
EDIL3	NA	overall	Male
EFEMP1	negative	overall	Male
EGF	negative	overall	Male
EGLN1	negative	overall	Male
EIF4G1	positive	overall	Male
ELOA	NA	overall	Male
ENG	negative	overall	Male
ENO1	negative	overall	Male
ENO2	negative	overall	Male
ENPP5	negative	overall	Male
ENPP7	positive	overall	Male
ENTPD2	NA	overall	Male
ENTPD5	negative	overall	Male
ENTPD6	negative	overall	Male
EPHA1	negative	overall	Male
EPHA2	negative	overall	Male
EPHB4	negative	overall	Male
EPHB6	positive	overall	Male
ERBB2	negative	overall	Male
ERBB4	positive	overall	Male
ERBIN	NA	overall	Male
EREG	negative	overall	Male
ERP44	positive	overall	Male
ESAM	negative	overall	Male
F3	negative	overall	Male
F7	negative	overall	Male
F9	NA	overall	Male
FABP1	NA	overall	Male
FABP5	NA	overall	Male
FABP6	NA	overall	Male
FABP9	positive	overall	Male
FADD	positive	overall	Male
FAM3B	positive	overall	Male
FAS	negative	overall	Male
FASLG	negative	overall	Male
FCAR	positive	overall	Male
FCER2	positive	overall	Male
FCRL1	negative	overall	Male
FCRL2	negative	overall	Male
FCRL6	positive	overall	Male
FCRLB	negative	overall	Male
FETUB	negative	overall	Male
FGF19	negative	overall	Male
FGF2	negative	overall	Male
FGF21	negative	overall	Male
FGF23	positive	overall	Male
FGF5	NA	overall	Male
FGFR2	positive	overall	Male
FHIT	NA	overall	Male
FIS1	positive	overall	Male
FKBP5	negative	overall	Male
FLRT2	positive	overall	Male
FLT1	negative	overall	Male
FLT3LG	negative	overall	Male
FOLR1	positive	overall	Male
FOXO1	positive	overall	Male
FRZB	NA	overall	Male
FSTL3	NA	overall	Male
FUCA1	negative	overall	Male
FURIN	negative	overall	Male
FUS	NA	overall	Male
FUT3_FUT5	negative	overall	Male
FXYD5	NA	overall	Male
FYB1	NA	overall	Male
GAL	positive	overall	Male
GFAP	positive	overall	Male
GFRA3	positive	overall	Male
GGH	negative	overall	Male
GGT5	positive	overall	Male
GKN1	negative	overall	Male
GLOD4	NA	overall	Male
GLRX	NA	overall	Male
GNLY	positive	overall	Male
GOLM2	positive	overall	Male
GOPC	NA	overall	Male
GP1BA	negative	overall	Male
GP2	positive	overall	Male
GP6	negative	overall	Male
GPA33	positive	overall	Male
GPC5	negative	overall	Male
GPNMB	positive	overall	Male
GPR37	negative	overall	Male
GRAP2	positive	overall	Male
GRN	positive	overall	Male
GSTA3	positive	overall	Male
GUCA2A	negative	overall	Male
GYS1	negative	overall	Male
HAO1	positive	overall	Male
HARS1	NA	overall	Male
HAVCR1	negative	overall	Male
HAVCR2	positive	overall	Male
HBEGF	negative	overall	Male
HBQ1	NA	overall	Male
HCLS1	positive	overall	Male
HDGF	NA	overall	Male
HGF	positive	overall	Male
HLA-DRA	positive	overall	Male
HMOX2	positive	overall	Male
HNMT	positive	overall	Male
HS6ST1	positive	overall	Male
HSD11B1	negative	overall	Male
HSPA1A	NA	overall	Male
HSPB6	positive	overall	Male
HSPG2	positive	overall	Male
HYAL1	negative	overall	Male
ICA1	NA	overall	Male
ICAM2	negative	overall	Male
ICAM3	negative	overall	Male
ICAM4	positive	overall	Male
ICAM5	negative	overall	Male
ICOSLG	positive	overall	Male
IDS	negative	overall	Male
IDUA	negative	overall	Male
IFNG	NA	overall	Male
IFNGR1	negative	overall	Male
IFNGR2	negative	overall	Male
IFNLR1	NA	overall	Male
IGF2R	positive	overall	Male
IGFBP1	NA	overall	Male
IGFBP2	positive	overall	Male
IGFBP4	negative	overall	Male
IGFBP6	negative	overall	Male
IGFBP7	negative	overall	Male
IGFBPL1	NA	overall	Male
IGSF8	positive	overall	Male
IL10	negative	overall	Male
IL13RA1	NA	overall	Male
IL15	positive	overall	Male
IL17C	NA	overall	Male
IL17D	NA	overall	Male
IL17RA	positive	overall	Male
IL17RB	positive	overall	Male
IL18R1	negative	overall	Male
IL1B	NA	overall	Male
IL1R2	positive	overall	Male
IL1RAP	positive	overall	Male
IL1RL2	negative	overall	Male
IL1RN	NA	overall	Male
IL22RA1	NA	overall	Male
IL2RA	negative	overall	Male
IL32	positive	overall	Male
IL4R	positive	overall	Male
IL5RA	negative	overall	Male
IL6	negative	overall	Male
IL6ST	positive	overall	Male
IL7R	negative	overall	Male
INHBC	negative	overall	Male
INPP1	NA	overall	Male
IPCEF1	NA	overall	Male
IRAG2	NA	overall	Male
ISLR2	negative	overall	Male
ISM1	NA	overall	Male
ITGA6	positive	overall	Male
ITGB6	negative	overall	Male
KDR	positive	overall	Male
KEL	negative	overall	Male
KIFBP	NA	overall	Male
KIR2DL3	positive	overall	Male
KIR3DL1	NA	overall	Male
KIT	positive	overall	Male
KLB	positive	overall	Male
KLK1	positive	overall	Male
KLK11	positive	overall	Male
KLK6	NA	overall	Male
KLK8	negative	overall	Male
KLRB1	negative	overall	Male
KRT18	negative	overall	Male
KRT19	negative	overall	Male
KRT5	negative	overall	Male
KYAT1	negative	overall	Male
L1CAM	positive	overall	Male
LAIR2	positive	overall	Male
LAMA4	negative	overall	Male
LAMP2	NA	overall	Male
LAT	negative	overall	Male
LAYN	negative	overall	Male
LBP	NA	overall	Male
LEFTY2	negative	overall	Male
LEPR	negative	overall	Male
LGALS1	NA	overall	Male
LGALS3	positive	overall	Male
LGALS4	negative	overall	Male
LGALS8	negative	overall	Male
LGMN	positive	overall	Male
LIFR	negative	overall	Male
LILRA2	positive	overall	Male
LILRA5	negative	overall	Male
LILRB1	positive	overall	Male
LILRB2	positive	overall	Male
LILRB4	NA	overall	Male
LILRB5	NA	overall	Male
LPL	positive	overall	Male
LPO	positive	overall	Male
LRIG1	negative	overall	Male
LRP1	positive	overall	Male
LRP11	positive	overall	Male
LRPAP1	positive	overall	Male
LRRN1	positive	overall	Male
LSP1	NA	overall	Male
LTA	negative	overall	Male
LTBP3	negative	overall	Male
LY6D	positive	overall	Male
LY96	negative	overall	Male
LYPD8	positive	overall	Male
MANSC1	positive	overall	Male
MAP2K6	NA	overall	Male
MAP4K5	NA	overall	Male
MASP1	negative	overall	Male
MATN3	negative	overall	Male
MB	negative	overall	Male
MDGA1	positive	overall	Male
MDK	negative	overall	Male
MEGF10	positive	overall	Male
MEGF9	positive	overall	Male
MEP1B	positive	overall	Male
MERTK	negative	overall	Male
MET	negative	overall	Male
METAP1D	NA	overall	Male
METAP2	positive	overall	Male
MFAP5	negative	overall	Male
MGMT	positive	overall	Male
MIA	positive	overall	Male
MIF	positive	overall	Male
MILR1	positive	overall	Male
MITD1	NA	overall	Male
MME	positive	overall	Male
MMP1	negative	overall	Male
MMP10	NA	overall	Male
MMP12	NA	overall	Male
MMP7	negative	overall	Male
MMP8	NA	overall	Male
MMP9	negative	overall	Male
MPHOSPH8	NA	overall	Male
MPI	negative	overall	Male
MPIG6B	negative	overall	Male
MPO	positive	overall	Male
MSLN	positive	overall	Male
MSMB	positive	overall	Male
MSR1	positive	overall	Male
MSRA	NA	overall	Male
MSTN	positive	overall	Male
MUC13	negative	overall	Male
MUC16	NA	overall	Male
MZT1	NA	overall	Male
NAAA	positive	overall	Male
NADK	negative	overall	Male
NBN	positive	overall	Male
NCAM2	positive	overall	Male
NCAN	positive	overall	Male
NCF2	positive	overall	Male
NCR1	negative	overall	Male
NCS1	positive	overall	Male
NEFL	NA	overall	Male
NELL1	positive	overall	Male
NFASC	positive	overall	Male
NFKBIE	NA	overall	Male
NID1	positive	overall	Male
NID2	positive	overall	Male
NME3	negative	overall	Male
NOMO1	negative	overall	Male
NOS3	NA	overall	Male
NOTCH1	negative	overall	Male
NOTCH3	positive	overall	Male
NPDC1	negative	overall	Male
NPPB	NA	overall	Male
NPPC	NA	overall	Male
NPY	negative	overall	Male
NRCAM	positive	overall	Male
NSFL1C	NA	overall	Male
NT5C3A	negative	overall	Male
NT5E	positive	overall	Male
NTRK2	positive	overall	Male
NTRK3	positive	overall	Male
NUB1	positive	overall	Male
NUDC	NA	overall	Male
NUDT2	NA	overall	Male
NUDT5	NA	overall	Male
OBP2B	positive	overall	Male
ODAM	NA	overall	Male
OGN	negative	overall	Male
OLR1	negative	overall	Male
OMD	negative	overall	Male
OSM	negative	overall	Male
OSMR	positive	overall	Male
OXT	negative	overall	Male
PAEP	positive	overall	Male
PAG1	negative	overall	Male
PARP1	NA	overall	Male
PDCD1LG2	positive	overall	Male
PDCD5	NA	overall	Male
PDGFA	negative	overall	Male
PDGFC	positive	overall	Male
PDGFRA	negative	overall	Male
PDLIM7	negative	overall	Male
PEBP1	NA	overall	Male
PFKFB2	positive	overall	Male
PGF	NA	overall	Male
PI3	positive	overall	Male
PIGR	positive	overall	Male
PIK3AP1	negative	overall	Male
PILRA	positive	overall	Male
PILRB	positive	overall	Male
PKLR	positive	overall	Male
PLA2G10	negative	overall	Male
PLA2G15	negative	overall	Male
PLA2G1B	positive	overall	Male
PLA2G2A	negative	overall	Male
PLA2G4A	NA	overall	Male
PLA2G7	positive	overall	Male
PLAT	positive	overall	Male
PLAU	positive	overall	Male
PLIN3	NA	overall	Male
PLPBP	NA	overall	Male
PLTP	positive	overall	Male
PLXDC1	positive	overall	Male
PLXNA4	positive	overall	Male
PLXNB2	positive	overall	Male
PLXNB3	negative	overall	Male
PMVK	negative	overall	Male
PNLIPRP2	positive	overall	Male
PNPT1	NA	overall	Male
PODXL	negative	overall	Male
PODXL2	positive	overall	Male
PON3	positive	overall	Male
PPCDC	NA	overall	Male
PPP1R12A	positive	overall	Male
PPP1R9B	NA	overall	Male
PRCP	negative	overall	Male
PRDX1	NA	overall	Male
PRDX5	NA	overall	Male
PRL	negative	overall	Male
PROC	negative	overall	Male
PROK1	NA	overall	Male
PRSS27	positive	overall	Male
PRSS8	positive	overall	Male
PRTFDC1	negative	overall	Male
PRTG	positive	overall	Male
PRTN3	positive	overall	Male
PSG1	negative	overall	Male
PSME1	NA	overall	Male
PSRC1	NA	overall	Male
PTGDS	NA	overall	Male
PTN	negative	overall	Male
PTPN1	NA	overall	Male
PTPN6	NA	overall	Male
PTPRM	negative	overall	Male
PTPRS	positive	overall	Male
PTS	negative	overall	Male
PTX3	negative	overall	Male
PVR	NA	overall	Male
QPCT	positive	overall	Male
RAB6A	NA	overall	Male
RABGAP1L	NA	overall	Male
RAD23B	NA	overall	Male
RBP5	positive	overall	Male
REG1B	negative	overall	Male
REG3A	negative	overall	Male
REG4	NA	overall	Male
RELT	positive	overall	Male
REN	NA	overall	Male
RET	negative	overall	Male
RGMA	positive	overall	Male
RGMB	positive	overall	Male
RILP	positive	overall	Male
RNASE3	positive	overall	Male
RNASET2	negative	overall	Male
RP2	NA	overall	Male
RSPO3	positive	overall	Male
RTBDN	NA	overall	Male
RWDD1	NA	overall	Male
S100A11	NA	overall	Male
S100A12	positive	overall	Male
S100A16	positive	overall	Male
S100A4	negative	overall	Male
S100P	negative	overall	Male
SAMD9L	NA	overall	Male
SCARB2	negative	overall	Male
SCARF2	positive	overall	Male
SCGB1A1	negative	overall	Male
SCGB3A2	negative	overall	Male
SCGN	negative	overall	Male
SCLY	negative	overall	Male
SCRN1	NA	overall	Male
SDC1	positive	overall	Male
SDC4	negative	overall	Male
SELE	negative	overall	Male
SEMA4C	negative	overall	Male
SEPTIN9	NA	overall	Male
SERPINA11	negative	overall	Male
SERPINB8	NA	overall	Male
SERPINB9	NA	overall	Male
SERPINE1	negative	overall	Male
SESTD1	negative	overall	Male
SETMAR	NA	overall	Male
SEZ6L	positive	overall	Male
SEZ6L2	positive	overall	Male
SF3B4	negative	overall	Male
SFRP1	negative	overall	Male
SFTPA2	positive	overall	Male
SFTPD	negative	overall	Male
SH2D1A	NA	overall	Male
SHMT1	positive	overall	Male
SIGLEC5	positive	overall	Male
SIRPB1	positive	overall	Male
SIRT2	NA	overall	Male
SIT1	negative	overall	Male
SKAP2	positive	overall	Male
SLAMF1	positive	overall	Male
SLAMF7	negative	overall	Male
SLC27A4	negative	overall	Male
SLC39A14	NA	overall	Male
SLC39A5	negative	overall	Male
SLITRK2	positive	overall	Male
SLITRK6	positive	overall	Male
SMOC1	positive	overall	Male
SMPD1	negative	overall	Male
SMPDL3A	negative	overall	Male
SNAP23	NA	overall	Male
SNX9	NA	overall	Male
SOD1	positive	overall	Male
SOD2	negative	overall	Male
SORCS2	negative	overall	Male
SOST	positive	overall	Male
SPARCL1	positive	overall	Male
SPINK4	negative	overall	Male
SPINK5	positive	overall	Male
SPINT2	negative	overall	Male
SPRY2	positive	overall	Male
SRP14	NA	overall	Male
ST6GAL1	negative	overall	Male
STAMBP	negative	overall	Male
STAT5B	NA	overall	Male
STIP1	NA	overall	Male
STK24	NA	overall	Male
STK4	positive	overall	Male
STX4	NA	overall	Male
STX8	negative	overall	Male
SULT2A1	positive	overall	Male
SUMF2	negative	overall	Male
SUSD1	negative	overall	Male
TAFA5	NA	overall	Male
TARBP2	NA	overall	Male
TBC1D23	positive	overall	Male
TBC1D5	NA	overall	Male
TBCC	negative	overall	Male
TCL1A	positive	overall	Male
TDGF1	NA	overall	Male
TDRKH	positive	overall	Male
TFF1	positive	overall	Male
TFF3	negative	overall	Male
TFPI	positive	overall	Male
TFPI2	negative	overall	Male
TFRC	positive	overall	Male
TGFA	negative	overall	Male
TGFB1	positive	overall	Male
TGFBR3	negative	overall	Male
TGM2	NA	overall	Male
THBD	negative	overall	Male
THBS2	positive	overall	Male
THBS4	positive	overall	Male
THY1	negative	overall	Male
TIA1	NA	overall	Male
TIE1	negative	overall	Male
TIGAR	NA	overall	Male
TIMD4	positive	overall	Male
TIMP3	negative	overall	Male
TIMP4	positive	overall	Male
TINAGL1	positive	overall	Male
TLR3	positive	overall	Male
TMPRSS15	negative	overall	Male
TMPRSS5	positive	overall	Male
TNF	negative	overall	Male
TNFRSF10A	negative	overall	Male
TNFRSF10B	negative	overall	Male
TNFRSF10C	negative	overall	Male
TNFRSF11A	positive	overall	Male
TNFRSF11B	negative	overall	Male
TNFRSF12A	NA	overall	Male
TNFRSF13B	positive	overall	Male
TNFRSF13C	positive	overall	Male
TNFRSF14	positive	overall	Male
TNFRSF19	positive	overall	Male
TNFRSF1A	negative	overall	Male
TNFRSF4	negative	overall	Male
TNFRSF6B	positive	overall	Male
TNFSF10	negative	overall	Male
TNFSF11	positive	overall	Male
TNFSF12	negative	overall	Male
TNFSF14	negative	overall	Male
TNR	negative	overall	Male
TNXB	positive	overall	Male
TPMT	NA	overall	Male
TPSAB1	positive	overall	Male
TREM2	negative	overall	Male
TRIM21	negative	overall	Male
TSHB	negative	overall	Male
TSPAN1	positive	overall	Male
TXLNA	NA	overall	Male
TXNDC15	positive	overall	Male
TYMP	NA	overall	Male
TYRO3	positive	overall	Male
UMOD	negative	overall	Male
USO1	positive	overall	Male
USP8	negative	overall	Male
UXS1	negative	overall	Male
VASH1	negative	overall	Male
VCAM1	negative	overall	Male
VEGFA	positive	overall	Male
VEGFC	negative	overall	Male
VMO1	positive	overall	Male
VPS37A	NA	overall	Male
VSIG4	positive	overall	Male
VSIR	negative	overall	Male
VSTM1	NA	overall	Male
VSTM2L	NA	overall	Male
VWA1	negative	overall	Male
VWF	positive	overall	Male
WAS	NA	overall	Male
WASF1	NA	overall	Male
WFDC2	positive	overall	Male
WFIKKN2	negative	overall	Male
WIF1	positive	overall	Male
WWP2	NA	overall	Male
XCL1	negative	overall	Male
XPNPEP2	positive	overall	Male
YES1	NA	overall	Male
ZBTB16	negative	overall	Male
ZBTB17	NA	overall	Male
