exposure	group	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	OR	lower_ci	upper_ci
11567_23_ZNF10_ZNF10	Male	overall	11567_23	ZNF10	ZNF10	2	IVW-MRE	-0.0763731675060731	0.0117371128173256	7.6676218368193e-11	0.926470413390392	0.905400484708055	0.948030668621232
11573_3_SRSF6_SRSF6	Male	overall	11573_3	SRSF6	SRSF6	2	IVW-MRE	0.46358345755209	0.0195490521864392	2.59448338514472e-124	1.58976062971881	1.52999935718949	1.65185615793101
11601_26_DHX8_DHX8	Male	overall	11601_26	DHX8	DHX8	7	IVW-MRE	-0.0887465196040755	0.0180619704446489	8.94893083041409e-07	0.915077498385606	0.88324912652562	0.948052823268056
11617_1_ITGAL_LFA_1_alpha_L_chain	Male	overall	11617_1	LFA_1_alpha_L_chain	ITGAL	2	IVW-MRE	-0.300130968989271	0.0034360562718559	0	0.740721202821426	0.735749450090683	0.745726551669994
11657_86_SOCS7_SOCS7	Male	overall	11657_86	SOCS7	SOCS7	2	IVW-MRE	-0.237653309879424	0.0484934450362656	9.54809126508616e-07	0.788476000553891	0.716984926116808	0.867095500621691
11716_28_LRIT2_LRIT2	Male	overall	11716_28	LRIT2	LRIT2	2	IVW-MRE	-0.236368063402949	0.0449031488069785	1.40990532604383e-07	0.789490038059867	0.72297673550588	0.862122513194895
12577_100_FEN1_FLAP_endonuclease_1	Male	overall	12577_100	FLAP_endonuclease_1	FEN1	2	IVW-MRE	-0.295566276324796	0.0426131304502406	4.0325023045899e-12	0.744110096206389	0.684485367084048	0.80892866656168
12591_27_OPHN1_Oligophrenin_1	Male	overall	12591_27	Oligophrenin_1	OPHN1	2	IVW-MRE	0.0249261093086082	0.00605334485810286	3.82603514230719e-05	1.02523936208024	1.01314722808367	1.03747581834363
12650_43_GNAI3_GNAI3	Male	overall	12650_43	GNAI3	GNAI3	4	IVW-MRE	-0.09111193	0.01999299	5.184138e-06	0.9129155	0.8778336	0.9493994
12686_15_MPST_THTM	Male	overall	12686_15	THTM	MPST	2	IVW-MRE	-0.23806	0.04706606	4.23684e-07	0.7881554	0.7187013	0.8643215
12734_112_KIF22_KIF22	Male	overall	12734_112	KIF22	KIF22	2	IVW-MRE	-0.1366735	0.03120549	1.187943e-05	0.872255	0.8205042	0.9272698
12807_89_ARHGAP30_RHG30	Male	overall	12807_89	RHG30	ARHGAP30	2	IVW-MRE	0.1683314	0.01584392	2.295872e-26	1.183329	1.147146	1.220652
12993_21_NPLOC4_NPL4	Male	overall	12993_21	NPL4	NPLOC4	3	IVW-MRE	-0.2457734	0.01771909	9.554948e-44	0.7820995	0.7554039	0.8097385
13088_397_BTC_BTC	Male	overall	13088_397	BTC	BTC	3	IVW-MRE	-0.04629567	0.0103529	7.757852e-06	0.9547596	0.9355812	0.9743312
13434_172_PARVA_PARVA	Male	overall	13434_172	PARVA	PARVA	2	IVW-MRE	-0.1513219	0.007251626	1.06157e-96	0.859571	0.8474402	0.8718755
13492_44_HSPA9_HSPA9B	Male	overall	13492_44	HSPA9B	HSPA9	2	IVW-MRE	0.1804488	0.0305281	3.402306e-09	1.197755	1.128189	1.27161
13519_112_ARHGEF25_ARHGP	Male	overall	13519_112	ARHGP	ARHGEF25	3	IVW-MRE	-0.07691426	0.01780974	1.569782e-05	0.9259692	0.894204	0.9588629
13547_5_HTR7_5HT7R	Male	overall	13547_5	5HT7R	HTR7	2	IVW-MRE	-0.3567259	0.07816597	5.026032e-06	0.6999643	0.6005369	0.8158534
13587_10_RACGAP1_RGAP1	Male	overall	13587_10	RGAP1	RACGAP1	10	IVW-MRE	0.1157887	0.02775957	3.030972e-05	1.122759	1.063303	1.185539
13595_20_THTPA_THTPA	Male	overall	13595_20	THTPA	THTPA	4	IVW-MRE	-0.1110026	0.0133514	9.2588e-17	0.8949364	0.8718208	0.9186649
13985_12_SMURF2_SMUF2	Male	overall	13985_12	SMUF2	SMURF2	3	IVW-MRE	-0.2147668	0.04139144	2.117936e-07	0.8067295	0.7438662	0.8749053
14025_18_TNFRSF9_4_1BB	Male	overall	14025_18	4_1BB	TNFRSF9	3	IVW-MRE	-0.1338614	0.01614806	1.13605e-16	0.8747113	0.84746	0.9028388
14063_17_OSM_OSM	Male	overall	14063_17	OSM	OSM	2	IVW-MRE	-0.283558	0.06510021	1.326328e-05	0.7530994	0.6628845	0.855592
14157_21_YWHAE_14_3_3E	Male	overall	14157_21	14_3_3E	YWHAE	2	IVW-MRE	-0.0937925	0.003809258	7.299054e-134	0.9104717	0.9036993	0.9172948
14332_3_RALA_RALA	Male	overall	14332_3	RALA	RALA	2	IVW-MRE	0.08835844	0.01736291	3.601113e-07	1.09238	1.05583	1.130195
14615_46_KRTAP2_4_KRA24	Male	overall	14615_46	4_KRA24	KRTAP2	2	IVW-MRE	-0.1683031	0.003546084	0	0.8450976	0.8392443	0.8509918
15318_75_S100A10_Calpactin_I_light_chain	Male	overall	15318_75	Calpactin_I_light_chain	S100A10	4	IVW-MRE	-0.07154303	0.008604107	9.176317e-17	0.9309562	0.9153882	0.946789
15361_37_ANKRD1_ANKR1	Male	overall	15361_37	ANKR1	ANKRD1	3	IVW-MRE	-0.1241645	0.02771453	7.459989e-06	0.8832345	0.8365366	0.9325393
15365_41_BAI3_BAI3	Male	overall	15365_41	BAI3	BAI3	3	IVW-MRE	-0.2834875	0.04989404	1.332924e-08	0.7531526	0.6829868	0.8305268
15437_11_RAMP3_RAMP3	Male	overall	15437_11	RAMP3	RAMP3	3	IVW-MRE	-0.1757885	0.007775657	3.653335e-113	0.8387954	0.8261088	0.8516768
15472_16_LRP11_LRP11	Male	overall	15472_16	LRP11	LRP11	13	IVW-MRE	0.07341177	0.01777127	3.613063e-05	1.076174	1.039334	1.114319
15482_12_A2ML1_A2ML1	Male	overall	15482_12	A2ML1	A2ML1	2	IVW-MRE	-0.1125808	0.003009808	3.283161e-306	0.8935251	0.8882695	0.8988118
15574_37_CCNA2_Cyclin_A	Male	overall	15574_37	Cyclin_A	CCNA2	2	IVW-MRE	-0.1525889	0.02098488	3.55845e-13	0.8584825	0.8238891	0.8945284
15603_20_ITGA2_Integrin_alpha_2	Male	overall	15603_20	Integrin_alpha_2	ITGA2	2	IVW-MRE	-0.08118964	0.01003753	6.03525e-16	0.9220188	0.9040567	0.9403378
15640_54_TAGLN_TAGL	Male	overall	15640_54	TAGL	TAGLN	2	IVW-MRE	-0.1544783	0.02079043	1.08385e-13	0.8568621	0.8226474	0.8924997
16883_57_RAB4A_RAB4A	Male	overall	16883_57	RAB4A	RAB4A	2	IVW-MRE	0.01501535	0.001785801	4.163878e-17	1.015129	1.011582	1.018688
17736_105_APTX_APTX	Male	overall	17736_105	APTX	APTX	3	IVW-MRE	-0.135843	0.01138953	8.559699e-33	0.8729797	0.8537077	0.8926868
18170_46_PYCR1_P5CR1	Male	overall	18170_46	P5CR1	PYCR1	2	IVW-MRE	-0.1056537	0.01406547	5.842434e-14	0.8997362	0.8752707	0.9248854
18294_26_SOX2_SOX2	Male	overall	18294_26	SOX2	SOX2	2	IVW-MRE	-0.214063	0.04992894	1.80815e-05	0.8072976	0.7320374	0.8902951
18316_75_SEPT3_SEPT3	Male	overall	18316_75	SEPT3	SEPT3	3	IVW-MRE	-0.195416	0.02418138	6.410137e-16	0.8224924	0.7844194	0.8624135
18383_9_FKBP3_FKBP3	Male	overall	18383_9	FKBP3	FKBP3	2	IVW-MRE	0.01381154	0.0002945014	0	1.013907	1.013322	1.014493
18386_36_GLRX_GLRX1	Male	overall	18386_36	GLRX1	GLRX	3	IVW-MRE	-0.1236082	0.01130726	8.126634e-28	0.8837261	0.8643561	0.90353
18876_77_CHST4_CHST4	Male	overall	18876_77	CHST4	CHST4	2	IVW-MRE	-0.1023274	0.005934737	1.282583e-66	0.9027339	0.8922941	0.9132959
18878_15_GREM1_GREM1	Male	overall	18878_15	GREM1	GREM1	14	IVW-MRE	0.1998064	0.03761874	1.088146e-07	1.221166	1.134366	1.314609
18896_23_HS6ST3_H6ST3	Male	overall	18896_23	H6ST3	HS6ST3	3	IVW-MRE	0.366294	0.03097813	2.924079e-32	1.442379	1.357408	1.53267
19130_81_SERPINB8_SPB8	Male	overall	19130_81	SPB8	SERPINB8	3	IVW-MRE	-0.06948938	0.01604484	1.484671e-05	0.93287	0.9039897	0.962673
19141_22_DAP_DAP1	Male	overall	19141_22	DAP1	DAP	10	IVW-MRE	-0.02991015	0.005698149	1.52845e-07	0.9705327	0.9597538	0.9814328
19188_21_NAP1L4_NAP2L	Male	overall	19188_21	NAP2L	NAP1L4	3	IVW-MRE	-0.1180128	0.02597793	5.550922e-06	0.8886847	0.8445684	0.9351054
19347_37_CA12_Carbonic_Anhydrase_XII	Male	overall	19347_37	Carbonic_Anhydrase_XII	CA12	2	IVW-MRE	0.1639832	0.0004340005	0	1.178195	1.177193	1.179197
19503_2_SNX3_SNX3	Male	overall	19503_2	SNX3	SNX3	2	IVW-MRE	0.01324956	0.003055417	1.448258e-05	1.013338	1.007287	1.019424
2645_54_PRKCZ_PKC_Z	Male	overall	2645_54	PKC_Z	PRKCZ	2	IVW-MRE	-0.1682796	0.0383862	1.165967e-05	0.8451175	0.7838665	0.9111547
2879_9_SERPINA3_a1_Antichymotrypsin	Male	overall	2879_9	a1_Antichymotrypsin	SERPINA3	3	IVW-MRE	-0.02859743	0.005183131	3.440436e-08	0.9718076	0.9619851	0.9817305
3005_5_PTPN1_PTP_1B	Male	overall	3005_5	PTP_1B	PTPN1	2	IVW-MRE	-0.01288145	0.002670238	1.406489e-06	0.9872012	0.982048	0.9923814
3174_2_ADAMTS1_ATS1	Male	overall	3174_2	ATS1	ADAMTS1	2	IVW-MRE	-0.1773077	0.02481124	8.917041e-13	0.8375221	0.7977678	0.8792573
3351_1_CAMK2B_CAMK2B	Male	overall	3351_1	CAMK2B	CAMK2B	2	IVW-MRE	0.01892773	0.0006040915	1.681891e-215	1.019108	1.017902	1.020315
3587_53_BMP10_BMP10	Male	overall	3587_53	BMP10	BMP10	2	IVW-MRE	-0.093942	0.01028808	6.777578e-20	0.9103356	0.8921628	0.9288785
3603_60_CLEC7A_CLC7A	Male	overall	3603_60	CLC7A	CLEC7A	2	IVW-MRE	-0.1115692	0.0154987	6.082686e-13	0.8944295	0.8676676	0.9220169
3605_77_MASP1_MASP3	Male	overall	3605_77	MASP3	MASP1	7	IVW-MRE	-0.1595106	0.02717783	4.380515e-09	0.852561	0.8083347	0.899207
4184_43_EIF4EBP2_4EBP2	Male	overall	4184_43	4EBP2	EIF4EBP2	2	IVW-MRE	-0.1366876	0.03032623	6.567613e-06	0.8722426	0.8219078	0.9256601
4261_55_PON1_paraoxonase_1	Male	overall	4261_55	paraoxonase_1	PON1	2	IVW-MRE	-0.1683157	0.004831585	6.809754e-266	0.845087	0.8371219	0.8531279
4304_18_LCORL_transcription_factor_MLR1__isoform_CRA_b	Male	overall	4304_18	transcription_factor_MLR1__isoform_CRA_b	LCORL	3	IVW-MRE	-0.2211674	0.04455181	6.895835e-07	0.8015825	0.734556	0.8747249
4374_45_GDF15_MIC_1	Male	overall	4374_45	MIC_1	GDF15	7	IVW-MRE	0.07439449	0.01757585	2.308323e-05	1.077232	1.040754	1.114987
5021_13_PPA1_PPase	Male	overall	5021_13	PPase	PPA1	2	IVW-MRE	-0.02557465	0.004836315	1.236315e-07	0.9747496	0.9655534	0.9840334
5117_14_ROBO3_ROBO3	Male	overall	5117_14	ROBO3	ROBO3	2	IVW-MRE	-0.1758205	0.02995233	4.357714e-09	0.8387686	0.7909448	0.8894839
5236_2_NR1D1_NR1D1	Male	overall	5236_2	NR1D1	NR1D1	3	IVW-MRE	-0.1941118	0.04447411	1.27355e-05	0.8235659	0.7548162	0.8985773
5353_89_IL1RN_IL_1Ra	Male	overall	5353_89	IL_1Ra	IL1RN	5	IVW-MRE	-0.1795291	0.03676343	1.042929e-06	0.8356636	0.777567	0.898101
5355_69_TNFSF14_LIGHT	Male	overall	5355_69	LIGHT	TNFSF14	2	IVW-MRE	-0.2291952	0.007513864	2.379707e-204	0.7951733	0.7835485	0.8069706
5605_77_MFNG_MFNG	Male	overall	5605_77	MFNG	MFNG	2	IVW-MRE	0.2197999	0.02618784	4.730639e-17	1.245827	1.183495	1.311443
5611_56_DEFB108B_D108B	Male	overall	5611_56	D108B	DEFB108B	2	IVW-MRE	-0.1176497	0.02454651	1.643637e-06	0.8890074	0.8472488	0.9328242
5724_58_SBSN_SBSN	Male	overall	5724_58	SBSN	SBSN	2	IVW-MRE	-0.2278846	0.01449921	1.156082e-55	0.7962162	0.7739074	0.819168
5727_35_B3GALTL_B3GLT	Male	overall	5727_35	B3GLT	B3GALTL	2	IVW-MRE	-0.04207705	0.007424672	1.451554e-08	0.9587959	0.9449442	0.9728507
5755_29_GIP_GIP	Male	overall	5755_29	GIP	GIP	2	IVW-MRE	-0.1319375	0.01871751	1.80361e-12	0.8763958	0.8448267	0.9091445
5897_58_GRP_Gastrin_releasing_peptide	Male	overall	5897_58	Gastrin_releasing_peptide	GRP	2	IVW-MRE	-0.1560641	0.01770699	1.210849e-18	0.8555044	0.8263228	0.8857165
6086_15_CHRDL2_CRDL2	Male	overall	6086_15	CRDL2	CHRDL2	9	IVW-MRE	0.384437	0.05456357	1.84569e-12	1.468787	1.319816	1.634573
6119_14_MAMDC2_MAMC2	Male	overall	6119_14	MAMC2	MAMDC2	2	IVW-MRE	-0.2021459	0.03729272	5.942645e-08	0.8169757	0.7593902	0.8789281
6228_58_SPACA1_sperm_acrosome_associated_1	Male	overall	6228_58	sperm_acrosome_associated_1	SPACA1	2	IVW-MRE	-0.1786088	0.01693438	5.238124e-26	0.836433	0.8091263	0.8646613
6456_17_PSG6_PSG6	Male	overall	6456_17	PSG6	PSG6	3	IVW-MRE	-0.2162118	0.05047158	1.837016e-05	0.8055647	0.7296896	0.8893295
6493_9_CPZ_CBPZ	Male	overall	6493_9	CBPZ	CPZ	2	IVW-MRE	-0.07968378	0.003808324	3.266182e-97	0.9234083	0.9165414	0.9303267
6544_33_NELL1_NELL1	Male	overall	6544_33	NELL1	NELL1	25	IVW-MRE	0.1040156	0.02237296	3.3328e-06	1.109618	1.062011	1.159358
6609_22_CNP_CN37	Male	overall	6609_22	CN37	CNP	2	IVW-MRE	-0.2420478	0.01920174	1.968783e-36	0.7850186	0.7560232	0.8151261
6647_55_UBC_PolyUbiquitin_K63	Male	overall	6647_55	PolyUbiquitin_K63	UBC	2	IVW-MRE	0.2092722	0.03636655	8.688523e-09	1.232781	1.147968	1.323859
6900_30_UBE2J1_UB2J1	Male	overall	6900_30	UB2J1	UBE2J1	2	IVW-MRE	0.08929808	0.007189361	2.013758e-35	1.093407	1.078107	1.108923
7060_2_ERO1L_ERO1A	Male	overall	7060_2	ERO1A	ERO1L	2	IVW-MRE	-0.1280277	0.001931353	0	0.879829	0.8765048	0.8831659
7070_25_KEL_KELL	Male	overall	7070_25	KELL	KEL	2	IVW-MRE	-0.1493167	0.0153597	2.445683e-22	0.8612963	0.8357534	0.8876199
7132_55_C1QL4_C1QL4	Male	overall	7132_55	C1QL4	C1QL4	2	IVW-MRE	-0.1558062	0.01596351	1.669119e-22	0.855725	0.8293652	0.8829226
7146_16_PDIA4_PDIA4	Male	overall	7146_16	PDIA4	PDIA4	3	IVW-MRE	-0.2172458	0.03814485	1.231663e-08	0.8047321	0.7467613	0.8672033
7178_59_DEPP_DEPP	Male	overall	7178_59	DEPP	DEPP	11	IVW-MRE	0.04318813	0.008100149	9.725999e-08	1.044134	1.027688	1.060844
7191_32_SLMAP_SLMAP	Male	overall	7191_32	SLMAP	SLMAP	2	IVW-MRE	0.02270488	0.002763064	2.081632e-16	1.022965	1.01744	1.02852
7625_27_YWHAQ_14_3_3_protein_theta	Male	overall	7625_27	14_3_3_protein_theta	YWHAQ	2	IVW-MRE	-0.195424	0.01777526	4.077098e-28	0.8224859	0.7943243	0.8516459
7790_21_LIF_LIF	Male	overall	7790_21	LIF	LIF	2	IVW-MRE	-0.1410297	0.02336653	1.584298e-09	0.8684635	0.8295863	0.9091626
7853_19_SCO1_SCO1	Male	overall	7853_19	SCO1	SCO1	2	IVW-MRE	-0.1578913	0.004841284	2.638074e-233	0.8539426	0.8458779	0.8620842
7886_26_SPTLC1_SPTC1	Male	overall	7886_26	SPTC1	SPTLC1	3	IVW-MRE	0.1504229	0.01070857	8.041644e-45	1.162326	1.138184	1.186979
7950_142_BTNL9_BTNL9	Male	overall	7950_142	BTNL9	BTNL9	4	IVW-MRE	-0.2697488	0.05855297	4.086786e-06	0.7635713	0.6807824	0.856428
7995_16_VWC2L_VWC2L	Male	overall	7995_16	VWC2L	VWC2L	2	IVW-MRE	-0.1624831	0.02652003	8.966029e-10	0.8500305	0.8069752	0.8953829
8221_19_MIF_MIF	Male	overall	8221_19	MIF	MIF	2	IVW-MRE	0.03453038	0.005633626	8.824744e-10	1.035133	1.023766	1.046627
8305_18_SULF2_SULF2	Male	overall	8305_18	SULF2	SULF2	4	IVW-MRE	-0.185526	0.02493036	9.934582e-14	0.8306672	0.7910536	0.8722646
8372_29_CDHR1_CDHR1	Male	overall	8372_29	CDHR1	CDHR1	2	IVW-MRE	-0.1343868	0.02462776	4.850135e-08	0.8742519	0.8330537	0.9174875
8374_5_NGFR_NGF_R	Male	overall	8374_5	NGF_R	NGFR	4	IVW-MRE	0.05219942	0.009236155	1.589241e-08	1.053586	1.034685	1.072832
8386_11_PATE1_PATE	Male	overall	8386_11	PATE	PATE1	2	IVW-MRE	-0.1485901	0.03143311	2.276552e-06	0.8619223	0.810423	0.9166943
8402_22_CYTL1_CYTL1	Male	overall	8402_22	CYTL1	CYTL1	4	IVW-MRE	-0.07015331	0.007470455	5.956447e-21	0.9322509	0.9187002	0.9460014
8450_36_ADCYAP1_PACAP_38	Male	overall	8450_36	PACAP_38	ADCYAP1	2	IVW-MRE	-0.1952103	0.02346227	8.782951e-17	0.8226616	0.7856874	0.8613759
8828_21_ESRP1_ESRP1	Male	overall	8828_21	ESRP1	ESRP1	2	IVW-MRE	-0.1271385	0.02348945	6.212368e-08	0.8806117	0.8409881	0.9221023
8838_10_CASC4_CASC4	Male	overall	8838_10	CASC4	CASC4	2	IVW-MRE	0.3526762	0.01253929	4.752572e-174	1.42287	1.388327	1.458273
8850_5_PLA2G2C_PA2GC	Male	overall	8850_5	PA2GC	PLA2G2C	2	IVW-MRE	-0.06182618	0.01381715	7.655513e-06	0.9400463	0.9149299	0.9658521
8924_55_CALY_CALY	Male	overall	8924_55	CALY	CALY	2	IVW-MRE	-0.1392379	0.01579767	1.209487e-18	0.870021	0.843495	0.8973813
8935_22_ABCC6_MRP6	Male	overall	8935_22	MRP6	ABCC6	2	IVW-MRE	-0.2397086	0.04677683	2.983045e-07	0.7868571	0.7179243	0.8624087
9030_56_C17orf89_CQ089	Male	overall	9030_56	CQ089	C17orf89	2	IVW-MRE	-0.2720363	0.04116479	3.883079e-11	0.7618266	0.7027744	0.8258407
9061_3_ARHGEF10_ARHGA	Male	overall	9061_3	ARHGA	ARHGEF10	3	IVW-MRE	-0.4801316	0.1115865	1.686719e-05	0.618702	0.4971611	0.7699559
9115_78_ADAMDEC1_ADEC1	Male	overall	9115_78	ADEC1	ADAMDEC1	3	IVW-MRE	-0.1393239	0.03186107	1.226309e-05	0.8699462	0.8172816	0.9260045
9288_7_FKBP7_FKBP7	Male	overall	9288_7	FKBP7	FKBP7	7	IVW-MRE	-0.1200888	0.02717288	9.895828e-06	0.8868416	0.8408452	0.9353542
9774_59_RNF150_RN150	Male	overall	9774_59	RN150	RNF150	2	IVW-MRE	0.522068	0.06363397	2.320658e-16	1.68551	1.48787	1.909403
9834_62_ADH1B_ADH1B	Male	overall	9834_62	ADH1B	ADH1B	2	IVW-MRE	0.1149192	0.004881932	1.600734e-122	1.121783	1.1111	1.132568
9840_2_CDC42_Cdc42Hs	Male	overall	9840_2	Cdc42Hs	CDC42	2	IVW-MRE	-0.2311212	0.01094681	6.027309e-99	0.7936433	0.7767965	0.8108555
9872_23_CTNNA2_CTNA2	Male	overall	9872_23	CTNA2	CTNNA2	2	IVW-MRE	-0.1519276	0.007908037	2.949039e-82	0.8590505	0.8458381	0.8724693
9894_13_MYO6_MYO6	Male	overall	9894_13	MYO6	MYO6	2	IVW-MRE	0.01296892	0.001062912	3.058758e-34	1.013053	1.010945	1.015166
9927_96_TNS4_TENS4	Male	overall	9927_96	TENS4	TNS4	4	IVW-MRE	-0.0717911	0.0125609	1.094191e-08	0.9307253	0.9080912	0.9539236
10056_5_FOXM1_FOXM1	Male	colon	10056_5	FOXM1	FOXM1	3	IVW-MRE	0.202816735249422	0.0467350651590655	1.42669402440477e-05	1.22484797621853	1.11763629864716	1.34234416568486
10078_5_BAG3_BAG3	Male	colon	10078_5	BAG3	BAG3	2	IVW-MRE	0.168327021884297	0.00433010875364438	0	1.1833235200677	1.17332313451236	1.19340914020874
10342_55_PIAS4_PIAS4	Male	colon	10342_55	PIAS4	PIAS4	2	IVW-MRE	0.212486198227979	0.00916942560538716	8.45859591477935e-119	1.23674904411914	1.21472063952851	1.25917692377672
10364_6_SMAD2_SMAD2	Male	colon	10364_6	SMAD2	SMAD2	2	IVW-MRE	-0.407841528772641	0.0110214519871732	9.75204057859523e-300	0.665084267191788	0.650871155183106	0.67960775177016
10435_2_AGA_ASPG	Male	colon	10435_2	ASPG	AGA	4	IVW-MRE	0.194757598982945	0.0395743840816148	8.59692015859709e-07	1.21501642957246	1.12433506342684	1.31301154980573
10668_5_STX4_STX4	Male	colon	10668_5	STX4	STX4	2	IVW-MRE	-0.124110529863129	0.0095272360965608	8.60115000527209e-39	0.883282206425708	0.866941383755399	0.899931034332064
10700_10_IGSF11_IGS11	Male	colon	10700_10	IGS11	IGSF11	2	IVW-MRE	-0.489878537778486	0.0429094283183271	3.45601990955361e-30	0.612700809666455	0.563278547578113	0.666459398782395
10833_64_HHIP_HHIP	Male	colon	10833_64	HHIP	HHIP	7	IVW-MRE	0.384978815738505	0.082291361563	2.89346450050258e-06	1.46958318907682	1.25068042982774	1.7267998268068
10889_2_MRAP2_MRAP2	Male	colon	10889_2	MRAP2	MRAP2	4	IVW-MRE	-0.263024999627066	0.0347120441747189	3.52708543669576e-14	0.76872267929064	0.718161642666618	0.822843385872812
11144_10_DEFB116_DB116	Male	colon	11144_10	DB116	DEFB116	2	IVW-MRE	0.0503620295140739	0.00256744771599991	1.13784529099103e-85	1.05165175644114	1.04637293026459	1.05695721366384
11229_16_ERN1_ERN1	Male	colon	11229_16	ERN1	ERN1	3	IVW-MRE	-0.433303033396826	0.068257734640811	2.18071162027e-10	0.648363986091498	0.567174539230845	0.741175474890912
11319_106_MRE11A_MRE11	Male	colon	11319_106	MRE11	MRE11A	2	IVW-MRE	0.187498420533665	0.0393242417047547	1.86053545064833e-06	1.20622834422241	1.11675025187434	1.30287574680508
11352_42_TTN_TITIN	Male	colon	11352_42	TITIN	TTN	2	IVW-MRE	0.563670277505921	0.0915178622376585	7.31463373103239e-10	1.75710976023302	1.46857900135061	2.10232796919111
11370_20_INPP5E_INP5E	Male	colon	11370_20	INP5E	INPP5E	5	IVW-MRE	-0.184259898471363	0.0418205233145253	1.05312382910181e-05	0.831719613078024	0.766264304154337	0.902766200941716
11448_34_GALK1_GALK1	Male	colon	11448_34	GALK1	GALK1	3	IVW-MRE	-0.0958527084846966	0.0178897763270275	8.41668021697297e-08	0.908597834965184	0.877290875918762	0.94102201261223
11568_2_FKBP1B_FKB1B	Male	colon	11568_2	FKB1B	FKBP1B	3	IVW-MRE	-0.0917016340385746	0.00886402351645577	4.3920031677134e-25	0.912377331277819	0.896663057522032	0.928367002126861
11573_3_SRSF6_SRSF6	Male	colon	11573_3	SRSF6	SRSF6	2	IVW-MRE	0.600498861476084	0.108051423958495	2.73621414012654e-08	1.82302801203135	1.47508862173254	2.25303828101358
11617_1_ITGAL_LFA_1_alpha_L_chain	Male	colon	11617_1	LFA_1_alpha_L_chain	ITGAL	2	IVW-MRE	-0.331784407101681	0.0588062066378032	1.68089599292931e-08	0.717642024701595	0.639515403087509	0.805313012214239
